id,token,tag,nested_1,nested_2,wiki_id
0,Компьютерный,B-TERM,,,
1,анализ,I-TERM,,,
2,альтернативного,I-TERM,B-TERM,,"Q21114084:2,3,4"
3,сплайсинга,I-TERM,I-TERM,,
4,генов,I-TERM,I-TERM,B-TERM,
5,в,O,,,
6,культурах,B-TERM,,,
7,клеток,I-TERM,,,
8,глиом,I-TERM,B-TERM,,Q1365309:8
9,по,O,,,
10,данным,B-TERM,,,
11,RNA,I-TERM,B-TERM,,"Q2542347:11,12,13"
12,-,I-TERM,I-TERM,,
13,seq,I-TERM,I-TERM,,
14,Современные,O,,,
15,постгеномные,B-TERM,,,
16,методы,I-TERM,,,
17,изучения,I-TERM,,,
18,экспрессии,B-TERM,B-TERM,,"Q26972:18,19"
19,генов,I-TERM,B-TERM,,
20,с,O,,,
21,помощью,O,,,
22,транскриптомного,B-TERM,,,
23,профилирования,I-TERM,,,
24,имеют,O,,,
25,большое,O,,,
26,значение,O,,,
27,для,O,,,
28,фундаментальных,B-TERM,,,
29,биомедицинских,I-TERM,,,
30,исследований,I-TERM,,,
31,в,O,,,
32,онкологии,B-TERM,,,Q162555:32
33,",",O,,,
34,поиска,O,,,
35,новых,O,,,
36,маркеров,B-TERM,,,
37,развития,I-TERM,,,
38,опухолей,I-TERM,,,
39,на,O,,,
40,культурах,B-TERM,,,
41,клеток,I-TERM,,,
42,глиом,I-TERM,B-TERM,,Q1365309:42
43,.,O,,,
44,Такие,O,,,
45,эксперименты,B-TERM,,,
46,требуют,O,,,
47,разработки,O,,,
48,новых,O,,,
49,компьютерных,B-TERM,B-TERM,,
50,инструментов,I-TERM,I-TERM,,
51,анализа,I-TERM,,,
52,объемных,I-TERM,,,
53,данных,I-TERM,B-TERM,,
54,секвенирования,I-TERM,I-TERM,,
55,.,O,,,
56,Цель,O,,,
57,представленного,O,,,
58,исследования,O,,,
59,–,O,,,
60,компьютерный,B-TERM,,,
61,поиск,I-TERM,,,
62,генов,I-TERM,B-TERM,,Q7187:62
63,и,O,,,
64,их,O,,,
65,изоформ,B-TERM,,,Q609809:65
66,",",O,,,
67,нарушение,B-TERM,,,
68,экспрессии,I-TERM,B-TERM,,Q26972:68
69,которых,O,,,
70,связано,O,,,
71,с,O,,,
72,развитием,O,,,
73,глиобластом,B-TERM,,,Q282142:73
74,",",O,,,
75,с,O,,,
76,помощью,O,,,
77,современных,O,,,
78,высокопроизводительных,O,,,
79,технологий,B-TERM,,,
80,секвенирования,I-TERM,,,
81,транскриптом,I-TERM,,,
82,и,O,,,
83,международных,O,,,
84,биомедицинских,B-TERM,,,
85,банков,I-TERM,,,
86,данных,I-TERM,,,
87,.,O,,,
88,Поиск,O,,,
89,генов,B-TERM,B-TERM,,"Q1423575:89,90,91"
90,–,I-TERM,,,
91,кандидатов,I-TERM,,,
92,для,O,,,
93,терапевтического,B-TERM,,,
94,воздействия,I-TERM,,,
95,в,O,,,
96,опухолях,B-TERM,,,Q133212:96
97,",",O,,,
98,в,O,,,
99,том,O,,,
100,числе,O,,,
101,отдельных,O,,,
102,изоформ,B-TERM,,,"Q609809:102,103"
103,генов,I-TERM,B-TERM,,
104,",",O,,,
105,актуален,O,,,
106,в,O,,,
107,здравоохранении,B-TERM,,,Q31207:107
108,и,O,,,
109,современной,O,,,
110,высокотехнологичной,O,,,
111,медицине,B-TERM,,,Q11190:111
112,.,O,,,
113,В,O,,,
114,данной,O,,,
115,работе,O,,,
116,представлены,O,,,
117,задачи,O,,,
118,биоинформатики,B-TERM,,,Q128570:118
119,",",O,,,
120,связанные,O,,,
121,с,O,,,
122,разработкой,O,,,
123,компьютерных,B-TERM,B-TERM,,
124,конвейеров,I-TERM,I-TERM,,
125,обработки,I-TERM,,,
126,транскриптомных,I-TERM,B-TERM,,
127,данных,I-TERM,I-TERM,,
128,",",O,,,
129,определения,O,,,
130,дифференциально,B-TERM,,,
131,экспрессирующихся,I-TERM,,,
132,генов,I-TERM,B-TERM,,Q7187:132
133,",",O,,,
134,анализа,O,,,
135,альтернативного,B-TERM,,,"Q21114084:135,136"
136,сплайсинга,I-TERM,,,
137,",",O,,,
138,описания,O,,,
139,категорий,B-TERM,,,
140,генных,I-TERM,B-TERM,,"Q135085:140,141"
141,онтологий,I-TERM,I-TERM,,
142,для,O,,,
143,найденных,O,,,
144,групп,B-TERM,,,"Q2278983:144,145"
145,генов,I-TERM,B-TERM,,
146,.,O,,,
147,Рассмотрены,O,,,
148,задачи,B-TERM,B-TERM,,
149,автоматического,I-TERM,B-TERM,,
150,поиска,I-TERM,I-TERM,,
151,и,O,,,
152,описания,B-TERM,,,
153,функций,I-TERM,,,
154,генов,I-TERM,B-TERM,,Q7187:154
155,в,O,,,
156,связи,O,,,
157,с,O,,,
158,раковыми,B-TERM,,,
159,заболеваниями,I-TERM,,,
160,",",O,,,
161,визуализации,B-TERM,B-TERM,,Q451553:161
162,результатов,I-TERM,,,
163,и,O,,,
164,разработки,O,,,
165,биомедицинских,B-TERM,,,
166,баз,I-TERM,B-TERM,,"Q8513:166,167"
167,данных,I-TERM,I-TERM,,
168,.,O,,,
169,Представлен,O,,,
170,прототип,B-TERM,,,
171,базы,I-TERM,B-TERM,,"Q8513:171,172"
172,данных,I-TERM,I-TERM,,
173,дифференциального,I-TERM,B-TERM,,
174,альтернативного,I-TERM,I-TERM,B-TERM,"Q21114084:174,175,176"
175,сплайсинга,I-TERM,I-TERM,I-TERM,
176,генов,I-TERM,B-TERM,,
177,–,O,,,
178,«,O,,,
179,Дифференциальный,B-TERM,B-TERM,,
180,альтернативный,I-TERM,I-TERM,B-TERM,"Q21114084:180,181,182"
181,сплайсинг,I-TERM,I-TERM,I-TERM,
182,генов,I-TERM,B-TERM,B-TERM,
183,человека,I-TERM,I-TERM,,
184,при,I-TERM,,,
185,вторичной,I-TERM,B-TERM,,
186,глиобластоме,I-TERM,I-TERM,B-TERM,Q282142:186
187,(,O,,,
188,ДАСГГ,B-TERM,,,
189,")»,",O,,,
190,с,O,,,
191,возможностью,O,,,
192,работы,O,,,
193,через,O,,,
194,веб,B-TERM,,,"Q35127:194,195,196"
195,-,I-TERM,,,
196,сайт,I-TERM,,,
197,",",O,,,
198,поиска,O,,,
199,уровней,B-TERM,,,
200,экспрессии,I-TERM,,,
201,отдельных,I-TERM,,,
202,изоформ,I-TERM,,,Q609809:202
203,в,O,,,
204,глиальной,B-TERM,,,
205,опухоли,I-TERM,,,
