id,token,tag,nested_1,wiki_id
0,Анализ,B-TERM,,
1,управления,I-TERM,,
2,региональной,I-TERM,,
3,защитой,I-TERM,,
4,в,O,,
5,чрезвычайных,B-TERM,,"Q5070802:5,6"
6,ситуациях,I-TERM,,
7,Исследуются,O,,
8,процессы,B-TERM,,
9,развития,I-TERM,,
10,чрезвычайных,I-TERM,B-TERM,"Q5070802:10,11"
11,ситуаций,I-TERM,I-TERM,
12,(,O,,
13,ЧС,B-TERM,,Q5070802:13
14,),O,,
15,и,O,,
16,формулируются,O,,
17,задачи,O,,
18,управления,O,,
19,защитными,B-TERM,,
20,мероприятиями,I-TERM,,
21,.,O,,
22,Уточняются,O,,
23,исходные,B-TERM,,
24,понятия,I-TERM,,
25,",",O,,
26,и,O,,
27,разрабатывается,O,,
28,общая,O,,
29,классификация,B-TERM,,
30,ЧС,I-TERM,B-TERM,Q5070802:30
31,.,O,,
32,Выделяются,O,,
33,существенные,O,,
34,",",O,,
35,определяющие,O,,
36,процессы,O,,
37,проявления,O,,
38,поражающих,B-TERM,,
39,воздействий,I-TERM,,
40,и,O,,
41,выполнения,O,,
42,защитных,B-TERM,,
43,мероприятий,I-TERM,,
44,.,O,,
45,Для,O,,
46,структуризации,O,,
47,этих,O,,
48,факторов,O,,
49,и,O,,
50,формулировки,O,,
51,задач,O,,
52,управления,O,,
53,предлагается,O,,
54,система,B-TERM,,
55,показателей,I-TERM,,
56,защиты,I-TERM,,
57,",",O,,
58,которые,O,,
59,допускают,O,,
60,оперативное,O,,
61,измерение,O,,
62,в,O,,
63,реальных,O,,
64,условиях,O,,
65,.,O,,
