id,token,tag,nested_1,nested_2,wiki_id
0,Автоматизация,B-TERM,,,
1,построения,I-TERM,,,
2,трехмерных,I-TERM,B-TERM,,
3,геоэлектрических,I-TERM,I-TERM,,
4,моделей,I-TERM,I-TERM,,
5,для,O,,,
6,метода,B-TERM,B-TERM,,
7,зонди,I-TERM,I-TERM,,
8,-,I-TERM,I-TERM,,
9,рования,I-TERM,I-TERM,,
10,становлением,I-TERM,,,
11,поля,I-TERM,,,
12,в,O,,,
13,ближней,B-TERM,,,"Q1455719:13,14"
14,зоне,I-TERM,,,
15,на,O,,,
16,основе,O,,,
17,результатов,O,,,
18,одномерной,B-TERM,,,
19,инверсии,I-TERM,,,
20,Предложен,O,,,
21,алгоритм,B-TERM,,,
22,автоматизации,I-TERM,B-TERM,,
23,построения,I-TERM,I-TERM,,
24,трехмерных,I-TERM,I-TERM,B-TERM,
25,геоэлектрических,I-TERM,I-TERM,I-TERM,
26,моделей,I-TERM,I-TERM,I-TERM,
27,для,O,,,
28,метода,B-TERM,B-TERM,,
29,зондирования,I-TERM,I-TERM,,
30,становлением,I-TERM,,,
31,поля,I-TERM,,,
32,в,O,,,
33,ближней,B-TERM,,,"Q1455719:13,14"
34,зоне,I-TERM,,,
35,на,O,,,
36,основе,O,,,
37,результатов,O,,,
38,одномерной,B-TERM,,,
39,инверсии,I-TERM,,,
40,с,O,,,
41,целью,O,,,
42,расчета,O,,,
43,синтетических,B-TERM,,,
44,сигналов,I-TERM,,,
45,для,O,,,
46,трехмерных,B-TERM,,,"Q47034631:46,47"
47,моделей,I-TERM,,,
48,",",O,,,
49,а,O,,,
50,также,O,,,
51,ускорения,O,,,
52,получения,O,,,
53,качественной,O,,,
54,оценки,O,,,
55,полевых,B-TERM,,,
56,материалов,I-TERM,,,
57,и,O,,,
58,сведения,O,,,
59,к,O,,,
60,минимуму,O,,,
61,ошибок,B-TERM,,,
62,интерпретации,I-TERM,,,
63,.,O,,,
64,Важной,O,,,
65,частью,O,,,
66,алгоритма,B-TERM,,,
67,является,O,,,
68,автоматическое,B-TERM,,,
69,формирование,I-TERM,,,
70,трехмерных,I-TERM,B-TERM,,
71,расчетных,I-TERM,I-TERM,,
72,сетей,I-TERM,I-TERM,,
73,",",O,,,
74,необходимых,O,,,
75,для,O,,,
76,расчета,O,,,
77,синтетических,B-TERM,,,
78,сигналов,I-TERM,,,
79,в,O,,,
80,моделях,B-TERM,,,Q1979154:80
81,.,O,,,
82,Результаты,O,,,
83,работы,O,,,
84,алгоритма,B-TERM,,,Q8366:84
85,представляют,O,,,
86,собой,O,,,
87,подготовленные,O,,,
88,трехмерные,B-TERM,B-TERM,,"Q47034631:46,47"
89,модели,I-TERM,I-TERM,,
90,изучаемой,I-TERM,,,
91,среды,I-TERM,,,
92,с,O,,,
93,рассчитанным,O,,,
94,синтетическим,B-TERM,,,
95,электромагнитным,I-TERM,,,
96,сигналом,I-TERM,,,
97,.,O,,,
98,Алгоритм,B-TERM,,,Q8366:98
99,апробирован,O,,,
100,на,O,,,
101,данных,O,,,
102,электромагнитного,B-TERM,,,
103,мониторинга,I-TERM,,,
104,последствий,I-TERM,,,
105,землетрясения,I-TERM,B-TERM,,Q7944:105
106,",",O,,,
107,произошедшего,O,,,
108,в,O,,,
109,2003,O,,,
110,г,O,,,
111,.,O,,,
112,в,O,,,
113,Республике,O,,,
114,Алтай,O,,,
115,.,O,,,
