id,token,tag,nested_1,nested_2,wiki_id
0,Методика,B-TERM,B-TERM,,
1,автоматического,I-TERM,B-TERM,,"Q1475717:1,2"
2,тестирования,I-TERM,I-TERM,B-TERM,
3,развивающегося,O,,,
4,веб,B-TERM,,,"Q189210:4,5,6"
5,-,I-TERM,,,
6,приложения,I-TERM,,,
7,Статья,O,,,
8,посвящена,O,,,
9,методике,B-TERM,B-TERM,,Q4291913:9
10,автоматизированного,I-TERM,B-TERM,,"Q1475717:10,11"
11,тестирования,I-TERM,I-TERM,B-TERM,
12,системы,B-TERM,,,
13,автоматической,I-TERM,,,
14,оценки,I-TERM,,,
15,заданий,I-TERM,,,
16,по,O,,,
17,программированию,O,,,
18,NSUts,B-TERM,,,
19,.,O,,,
20,При,O,,,
21,разработке,O,,,
22,методики,B-TERM,,,Q4291913:22
23,главным,O,,,
24,приоритетом,O,,,
25,было,O,,,
26,параллельное,B-TERM,,,
27,тестирование,I-TERM,,,
28,старой,O,,,
29,и,O,,,
30,новой,O,,,
31,версий,O,,,
32,приложения,O,,,
33,так,O,,,
34,",",O,,,
35,чтобы,O,,,
36,одни,O,,,
37,и,O,,,
38,те,O,,,
39,же,O,,,
40,или,O,,,
41,минимально,O,,,
42,модифицированные,O,,,
43,тесты,B-TERM,,,
44,проходили,O,,,
45,на,O,,,
46,двух,O,,,
47,версиях,O,,,
48,системы,B-TERM,,,Q13407144:48
49,с,O,,,
50,различными,O,,,
51,архитектурами,B-TERM,,,Q846636:51
52,.,O,,,
53,Мы,O,,,
54,надеемся,O,,,
55,",",O,,,
56,что,O,,,
57,наш,O,,,
58,опыт,O,,,
59,будет,O,,,
60,полезен,O,,,
61,при,O,,,
62,выстраивании,O,,,
63,процесса,B-TERM,,,"Q2904257:63,64"
64,разработки,I-TERM,,,
65,других,O,,,
66,приложений,B-TERM,,,Q166142:66
67,с,O,,,
68,длительным,O,,,
69,жизненным,B-TERM,,,"Q1211457:69,70"
70,циклом,I-TERM,,,
71,.,O,,,
72,Чтобы,O,,,
73,тестировать,O,,,
74,не,O,,,
75,только,O,,,
76,серверную,B-TERM,,,Q1371279:76
77,",",O,,,
78,но,O,,,
79,и,O,,,
80,клиентскую,B-TERM,,,"Q528166:80,81"
81,часть,I-TERM,,,
82,веб,B-TERM,,,"Q189210:82,83,84"
83,-,I-TERM,,,
84,приложения,I-TERM,,,
85,",",O,,,
86,мы,O,,,
87,предлагаем,O,,,
88,использовать,O,,,
89,инструменты,B-TERM,,,
90,типа,O,,,
91,Selenium,B-TERM,,,"Q18700278:91,92"
92,WebDriver,I-TERM,,,
93,для,O,,,
94,симуляции,B-TERM,,,
95,действий,I-TERM,,,
96,пользователей,I-TERM,,,
97,",",O,,,
98,посылая,O,,,
99,команды,B-TERM,,,Q1079196:99
100,настоящим,O,,,
101,браузерам,B-TERM,,,Q6368:101
102,.,O,,,
103,В,O,,,
104,методике,B-TERM,,,Q4291913:104
105,применяется,O,,,
106,известный,O,,,
107,шаблон,B-TERM,B-TERM,,"Q181156:107,108"
108,проектирования,I-TERM,I-TERM,,
109,Page,I-TERM,B-TERM,,
110,Object,I-TERM,I-TERM,,
111,и,O,,,
112,рассматривается,O,,,
113,ряд,O,,,
114,приемов,B-TERM,,,
115,",",O,,,
116,позволяющих,O,,,
117,снизить,O,,,
118,хрупкость,O,,,
119,разрабатываемых,O,,,
120,тестов,B-TERM,,,
121,и,O,,,
122,упростить,O,,,
123,их,O,,,
124,адаптацию,O,,,
125,для,O,,,
126,работы,O,,,
127,с,O,,,
128,новой,O,,,
129,версией,O,,,
130,системы,B-TERM,,,Q13407144:130
131,.,O,,,
132,В,O,,,
133,статье,O,,,
134,также,O,,,
135,описано,O,,,
136,применение,O,,,
137,данной,O,,,
138,методики,B-TERM,,,Q4291913:138
139,для,O,,,
140,организации,O,,,
141,тестирования,B-TERM,,,
142,системы,I-TERM,B-TERM,,
143,NSUts,I-TERM,I-TERM,B-TERM,
144,и,O,,,
145,проведен,O,,,
146,анализ,B-TERM,,,Q217602:146
147,ее,O,,,
148,эффективности,B-TERM,,,Q1034411:148
149,.,O,,,
150,Анализ,B-TERM,,,Q217602:150
151,показал,O,,,
152,",",O,,,
153,что,O,,,
154,оценочное,O,,,
155,покрытие,B-TERM,,,"Q1211721:155,156"
156,кода,I-TERM,,,
157,данными,O,,,
158,тестами,B-TERM,,,
159,достаточно,O,,,
160,высоко,O,,,
161,",",O,,,
162,и,O,,,
163,потому,O,,,
164,методику,B-TERM,,,Q4291913:164
165,можно,O,,,
166,считать,O,,,
167,эффективной,O,,,
168,и,O,,,
169,применять,O,,,
170,на,O,,,
171,схожих,O,,,
172,веб,B-TERM,,,"Q189210:172,173,174"
173,-,I-TERM,,,
174,приложениях,I-TERM,,,
175,.,O,,,
