id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Разработка,B-TERM,,,,
1,методов,I-TERM,B-TERM,,,
2,интеграции,I-TERM,I-TERM,,,
3,автоматических,I-TERM,I-TERM,B-TERM,,
4,средств,I-TERM,I-TERM,I-TERM,,
5,логического,I-TERM,I-TERM,I-TERM,B-TERM,"Q408386:5,6"
6,вывода,I-TERM,I-TERM,I-TERM,I-TERM,
7,для,O,,,,
8,порождения,B-TERM,,,,
9,знаний,I-TERM,B-TERM,,,Q9081:9
10,в,O,,,,
11,онтологической,B-TERM,,,,"Q324254:11,12"
12,модели,I-TERM,,,,
13,Статья,O,,,,
14,посвящена,O,,,,
15,разработке,B-TERM,,,,
16,методов,I-TERM,B-TERM,,,
17,порождения,I-TERM,I-TERM,,,
18,новых,I-TERM,I-TERM,,,
19,знаний,I-TERM,I-TERM,B-TERM,,Q9081:19
20,на,O,,,,
21,основе,O,,,,
22,анализа,B-TERM,,,,"Q676880:22,23,24,25"
23,текстов,I-TERM,B-TERM,,,
24,естественного,I-TERM,I-TERM,,,
25,языка,I-TERM,I-TERM,,,
26,.,O,,,,
27,Для,O,,,,
28,извлечения,B-TERM,,,,"Q172491:28,29"
29,знаний,I-TERM,B-TERM,,,
30,из,O,,,,
31,текстов,B-TERM,,,,
32,на,I-TERM,,,,
33,естественном,I-TERM,,,,
34,языке,I-TERM,,,,
35,используется,O,,,,
36,метод,B-TERM,,,,
37,представления,I-TERM,,,,
38,предложений,I-TERM,,,,
39,в,I-TERM,,,,
40,виде,I-TERM,,,,
41,двухместных,I-TERM,B-TERM,,,
42,предикатов,I-TERM,I-TERM,B-TERM,,Q1144319:42
43,с,O,,,,
44,введенной,B-TERM,,,,
45,константой,I-TERM,,,,
46,ситуацией,I-TERM,,,,
47,.,O,,,,
48,Для,O,,,,
49,представления,B-TERM,,,,"Q3478658:49,50"
50,знаний,I-TERM,B-TERM,,,
51,в,O,,,,
52,формальном,B-TERM,,,,
53,виде,I-TERM,,,,
54,используются,O,,,,
55,бескванторные,B-TERM,,,,
56,предложения,I-TERM,,,,
57,логики,I-TERM,B-TERM,,,"Q35148:57,58"
58,предикатов,I-TERM,I-TERM,,,
59,",",O,,,,
60,а,O,,,,
61,также,O,,,,
62,язык,B-TERM,,,,
63,OWL,I-TERM,B-TERM,,,
64,DL,I-TERM,I-TERM,,,
65,.,O,,,,
66,Порождение,B-TERM,,,,
67,новых,I-TERM,,,,
68,знаний,I-TERM,B-TERM,,,Q9081:68
69,реализуется,O,,,,
70,при,O,,,,
71,помощи,O,,,,
72,автоматических,B-TERM,,,,
73,средств,I-TERM,,,,
74,логического,I-TERM,B-TERM,,,"Q408386:74,75"
75,вывода,I-TERM,I-TERM,,,
76,с,O,,,,
77,использованием,O,,,,
78,заранее,O,,,,
79,заданных,O,,,,
80,шаблонов,B-TERM,,,,
81,правил,I-TERM,B-TERM,,,"Q1068763:81,82"
82,вывода,I-TERM,I-TERM,,,
83,.,O,,,,
84,Разработана,O,,,,
85,программная,B-TERM,,,,"Q2429814:85,86"
86,система,I-TERM,,,,
87,",",O,,,,
88,которая,O,,,,
89,дает,O,,,,
90,возможность,O,,,,
91,пользователям,O,,,,
92,получать,O,,,,
93,ответы,O,,,,
94,на,O,,,,
95,определенные,O,,,,
96,вопросы,O,,,,
97,",",O,,,,
98,относящиеся,O,,,,
99,к,O,,,,
100,данным,O,,,,
101,текстам,B-TERM,,,,
102,естественного,I-TERM,,,,
103,языка,I-TERM,,,,
104,.,O,,,,
105,Ответы,O,,,,
106,строятся,O,,,,
107,на,O,,,,
108,естественном,B-TERM,,,,"Q33742:108,109"
109,языке,I-TERM,,,,
110,",",O,,,,
111,при,O,,,,
112,этом,O,,,,
113,используются,O,,,,
114,не,O,,,,
115,только,O,,,,
116,явно,O,,,,
117,содержащиеся,O,,,,
118,в,O,,,,
119,обрабатываемом,O,,,,
120,документе,O,,,,
121,знания,B-TERM,,,,Q9081:121
122,",",O,,,,
123,но,O,,,,
124,и,O,,,,
125,знания,B-TERM,,,,Q9081:125
126,",",O,,,,
127,порожденные,O,,,,
128,при,O,,,,
129,помощи,O,,,,
130,автоматических,B-TERM,,,,
131,средств,I-TERM,,,,
132,логического,I-TERM,B-TERM,,,"Q408386:132,133"
133,вывода,I-TERM,I-TERM,,,
134,.,O,,,,
