id,token,tag,nested_1,nested_2,wiki_id
0,Адаптация,B-TERM,,,
1,структуры,I-TERM,,,
2,меню,I-TERM,B-TERM,,
3,услуг,I-TERM,I-TERM,,
4,для,O,,,
5,различных,O,,,
6,типов,O,,,
7,пользователей,B-TERM,,,Q613354:7
8,с,O,,,
9,применением,O,,,
10,онтологического,B-TERM,,,
11,моделирования,I-TERM,,,
12,Статья,O,,,
13,посвящена,O,,,
14,решению,O,,,
15,проблемы,O,,,
16,адаптации,B-TERM,,,
17,больших,I-TERM,B-TERM,,
18,древовидных,I-TERM,I-TERM,,
19,и,I-TERM,,,
20,линейных,I-TERM,B-TERM,,
21,меню,I-TERM,I-TERM,,
22,мобильных,B-TERM,,,
23,и,O,,,
24,интернет,B-TERM,,,
25,-,I-TERM,,,
26,услуг,I-TERM,,,
27,для,O,,,
28,различных,O,,,
29,типов,O,,,
30,пользователей,B-TERM,,,Q613354:30
31,на,O,,,
32,основании,O,,,
33,их,O,,,
34,интересов,B-TERM,,,
35,",",O,,,
36,социального,B-TERM,,,
37,статуса,I-TERM,,,
38,",",O,,,
39,а,O,,,
40,также,O,,,
41,иных,O,,,
42,параметров,B-TERM,,,Q1413083:42
43,.,O,,,
44,Разработана,O,,,
45,программная,B-TERM,,,"Q2429814:45,46"
46,система,I-TERM,,,
47,",",O,,,
48,строящая,O,,,
49,оптимальное,O,,,
50,меню,B-TERM,,,
51,услуг,I-TERM,,,
52,для,O,,,
53,классов,O,,,
54,пользователей,B-TERM,,,Q613354:54
55,",",O,,,
56,разделенных,O,,,
57,по,O,,,
58,социально,B-TERM,,,
59,-,I-TERM,,,
60,экономическим,I-TERM,,,
61,и,O,,,
62,физическим,B-TERM,,,
63,параметрам,I-TERM,,,
64,",",O,,,
65,с,O,,,
66,использованием,O,,,
67,модифицированного,O,,,
68,алгоритма,B-TERM,B-TERM,,
69,построения,I-TERM,,,
70,оптимального,I-TERM,,,
71,графа,I-TERM,B-TERM,,
72,USSD,I-TERM,I-TERM,,
73,-,I-TERM,I-TERM,,
74,меню,I-TERM,I-TERM,,
75,.,O,,,
76,В,O,,,
77,работе,O,,,
78,используется,O,,,
79,онтологический,B-TERM,,,
80,подход,I-TERM,,,
81,для,O,,,
82,формального,B-TERM,,,
83,представления,I-TERM,,,
84,понятий,I-TERM,,,
85,данной,O,,,
86,предметной,B-TERM,,,"Q2088941:86,87"
87,области,I-TERM,,,
88,",",O,,,
89,извлечения,B-TERM,,,
90,",",O,,,
91,представления,B-TERM,,,
92,и,O,,,
93,обработки,B-TERM,,,
94,знаний,I-TERM,,,
95,.,O,,,
96,Для,O,,,
97,адаптации,B-TERM,,,
98,интерфейсов,I-TERM,,,
99,используются,O,,,
100,модели,B-TERM,,,
101,пользователей,I-TERM,,,
102,",",O,,,
103,представляющие,O,,,
104,описания,O,,,
105,их,O,,,
106,потребностей,B-TERM,,,
107,",",O,,,
108,целей,B-TERM,,,
109,",",O,,,
110,интересов,B-TERM,,,
111,.,O,,,
112,Формализация,B-TERM,,,
113,поведения,I-TERM,,,
114,пользователей,I-TERM,B-TERM,,Q613354:114
115,осуществляется,O,,,
116,при,O,,,
117,помощи,O,,,
118,онтологической,B-TERM,B-TERM,,
119,модели,I-TERM,I-TERM,,
120,мобильных,I-TERM,B-TERM,,
121,и,I-TERM,,,
122,интернет,I-TERM,B-TERM,,
123,-,I-TERM,I-TERM,,
124,услуг,I-TERM,I-TERM,,
125,.,O,,,
126,Каждого,O,,,
127,пользователя,B-TERM,,,Q613354:127
128,можно,O,,,
129,отнести,O,,,
130,к,O,,,
131,определенной,O,,,
132,модели,B-TERM,,,
133,на,O,,,
134,основании,O,,,
135,его,O,,,
136,физических,B-TERM,,,
137,и,O,,,
138,социальных,B-TERM,,,
139,параметров,I-TERM,,,
140,.,O,,,
141,Программа,B-TERM,,,
142,",",O,,,
143,реализующая,O,,,
144,адаптацию,B-TERM,,,
145,меню,I-TERM,,,
146,",",O,,,
147,состоит,O,,,
148,из,O,,,
149,двух,O,,,
150,модулей,B-TERM,,,Q613354:150
151,:,O,,,
152,модуль,B-TERM,B-TERM,,Q613354:152
153,получения,I-TERM,,,
154,частот,I-TERM,,,
155,вызова,I-TERM,,,
156,услуг,I-TERM,,,
157,на,O,,,
158,основе,O,,,
159,запросов,B-TERM,,,
160,к,I-TERM,,,
161,онтологии,I-TERM,,,
162,и,O,,,
163,модуль,B-TERM,B-TERM,,Q613354:163
164,оптимизации,I-TERM,,,
165,графа,I-TERM,B-TERM,,
166,меню,I-TERM,I-TERM,B-TERM,
167,.,O,,,
168,Алгоритм,B-TERM,B-TERM,,Q8366:168
169,оптимизации,I-TERM,B-TERM,,
170,меню,I-TERM,I-TERM,B-TERM,
171,работает,O,,,
172,с,O,,,
173,языком,B-TERM,,,"Q900927:173,174,175,176"
174,описания,I-TERM,,,
175,графов,I-TERM,,,
176,DOT,I-TERM,B-TERM,,
177,.,O,,,
