id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Автоматизированная,B-TERM,,,,
1,верификация,I-TERM,B-TERM,B-TERM,B-TERM,Q953429:1
2,алгоритмов,I-TERM,I-TERM,I-TERM,B-TERM,
3,управления,I-TERM,I-TERM,I-TERM,I-TERM,
4,сложными,I-TERM,I-TERM,,,
5,технологическими,I-TERM,I-TERM,,,
6,объектами,I-TERM,I-TERM,,,
7,на,O,,,,
8,программных,B-TERM,,,,
9,имитаторах,I-TERM,,,,
10,Статья,O,,,,
11,посвящена,O,,,,
12,проблеме,B-TERM,,,,
13,проверки,I-TERM,,,,
14,алгоритмов,I-TERM,B-TERM,,,
15,управления,I-TERM,I-TERM,,,
16,",",O,,,,
17,созданных,O,,,,
18,в,O,,,,
19,рамках,O,,,,
20,процесс,B-TERM,,,,
21,-,I-TERM,,,,
22,ориентированного,I-TERM,,,,
23,подхода,I-TERM,,,,
24,",",O,,,,
25,на,O,,,,
26,соответствие,O,,,,
27,входным,B-TERM,,,,
28,спецификациям,I-TERM,,,,
29,.,O,,,,
30,Представлена,O,,,,
31,общая,O,,,,
32,схема,B-TERM,,,,
33,верификации,I-TERM,B-TERM,B-TERM,,Q953429:33
34,алгоритма,I-TERM,I-TERM,B-TERM,,
35,управления,I-TERM,I-TERM,I-TERM,,
36,",",O,,,,
37,приведены,O,,,,
38,ее,O,,,,
39,реализация,B-TERM,,,,
40,в,O,,,,
41,автоматизированном,B-TERM,,,,
42,варианте,I-TERM,,,,
43,и,O,,,,
44,результаты,B-TERM,,,,
45,практической,I-TERM,,,,
46,апробации,I-TERM,,,,
47,в,O,,,,
48,проекте,O,,,,
49,по,O,,,,
50,автоматизации,B-TERM,,,,
51,Большого,I-TERM,,,,
52,солнечного,I-TERM,,,,
53,вакуумного,I-TERM,,,,
54,телескопа,I-TERM,,,,
55,.,O,,,,
