id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Метод,B-TERM,,,,
1,повышения,I-TERM,,,,
2,робастных,I-TERM,B-TERM,,,
3,свойств,I-TERM,I-TERM,,,
4,линейной,I-TERM,B-TERM,,,
5,замкнутой,I-TERM,I-TERM,B-TERM,,
6,системы,I-TERM,I-TERM,I-TERM,,
7,в,O,,,,
8,условиях,B-TERM,,,,
9,структурно,I-TERM,B-TERM,,,
10,-,I-TERM,I-TERM,,,
11,параметрической,I-TERM,I-TERM,,,
12,неопределенности,I-TERM,I-TERM,,,
13,описания,I-TERM,,,,
14,передаточной,I-TERM,B-TERM,B-TERM,,"Q334269:14,15"
15,функции,I-TERM,I-TERM,I-TERM,,
16,объекта,I-TERM,I-TERM,B-TERM,,"Q639588:16,17"
17,управления,I-TERM,I-TERM,I-TERM,,
18,Для,O,,,,
19,линейных,B-TERM,,,,
20,систем,I-TERM,B-TERM,B-TERM,,"Q959968:20,21"
21,управления,I-TERM,I-TERM,,,
22,",",O,,,,
23,состоящих,O,,,,
24,из,O,,,,
25,объекта,B-TERM,,,,"Q639588:25,26"
26,управления,I-TERM,,,,
27,со,O,,,,
28,структурно,B-TERM,B-TERM,,,
29,-,I-TERM,I-TERM,,,
30,параметрической,I-TERM,I-TERM,,,
31,неопределенностью,I-TERM,I-TERM,,,
32,в,I-TERM,,,,
33,описании,I-TERM,,,,
34,и,O,,,,
35,модального,B-TERM,,,,
36,регулятора,I-TERM,,,,
37,",",O,,,,
38,обоснована,O,,,,
39,мера,B-TERM,,,,
40,робастных,I-TERM,B-TERM,B-TERM,,
41,свойств,I-TERM,I-TERM,I-TERM,,
42,устойчивости,I-TERM,I-TERM,,,
43,и,O,,,,
44,качества,B-TERM,,,,
45,управления,I-TERM,,,,
46,.,O,,,,
47,Разработан,O,,,,
48,алгоритм,B-TERM,B-TERM,,,Q8366:48
49,вариации,I-TERM,,,,
50,настроек,I-TERM,,,,
51,модального,I-TERM,,,,
52,регулятора,I-TERM,,,,
53,",",O,,,,
54,последовательно,O,,,,
55,повышающий,O,,,,
56,меру,B-TERM,,,,
57,робастности,I-TERM,,,,
58,замкнутой,I-TERM,B-TERM,,,
59,системы,I-TERM,I-TERM,,,
60,.,O,,,,
61,Предложенный,O,,,,
62,алгоритм,B-TERM,,,,Q8366:62
63,может,O,,,,
64,быть,O,,,,
65,реализован,O,,,,
66,на,O,,,,
67,ЭВМ,B-TERM,,,,Q25907338:67
68,.,O,,,,
