id,token,tag,nested_1,nested_2,wiki_id
0,Открытые,B-TERM,,,
1,решения,I-TERM,B-TERM,,
2,веб,I-TERM,I-TERM,,
3,-,I-TERM,I-TERM,,
4,/,I-TERM,I-TERM,,
5,видеоконференцсвязи,I-TERM,I-TERM,B-TERM,Q238354:5
6,и,O,,,
7,проект,B-TERM,B-TERM,,"Q1128057:7,8"
8,OpenMeetings,I-TERM,B-TERM,,
9,Открытые,B-TERM,,,
10,программные,I-TERM,,,
11,решения,I-TERM,B-TERM,,
12,веб,I-TERM,I-TERM,,
13,-,I-TERM,I-TERM,,
14,/,I-TERM,I-TERM,,
15,видеоконференцсвязи,I-TERM,I-TERM,,Q238354:15
16,анализируются,O,,,
17,как,O,,,
18,с,O,,,
19,технологической,B-TERM,,,
20,",",O,,,
21,так,O,,,
22,и,O,,,
23,с,O,,,
24,функциональной,B-TERM,,,
25,сторон,I-TERM,B-TERM,,
26,в,O,,,
27,масштабе,O,,,
28,хорошо,O,,,
29,развитого,O,,,
30,ИТ,B-TERM,,,
31,-,I-TERM,,,
32,сегмента,I-TERM,,,
33,ВКС,I-TERM,,,Q238354:33
34,.,O,,,
35,На,O,,,
36,примере,O,,,
37,международного,O,,,
38,проекта,B-TERM,B-TERM,,"Q28915662:38,39,40"
39,Apache,I-TERM,B-TERM,,
40,OpenMeetings,I-TERM,I-TERM,,
41,новосибирская,O,,,
42,команда,O,,,
43,разработчиков,O,,,
44,детально,O,,,
45,рассматривает,O,,,
46,программные,B-TERM,,,
47,",",O,,,
48,пользовательские,B-TERM,,,
49,",",O,,,
50,сервисные,B-TERM,,,
51,и,O,,,
52,коммерческие,B-TERM,,,
53,аспекты,I-TERM,B-TERM,,
54,таких,O,,,
55,проектов,B-TERM,,,Q170584:55
56,в,O,,,
57,динамике,O,,,
58,их,O,,,
59,развития,O,,,
60,.,O,,,
61,Показаны,O,,,
62,возможности,O,,,
63,и,O,,,
64,достоинства,O,,,
65,",",O,,,
66,обозначены,O,,,
67,дальнейшие,O,,,
68,перспективы,O,,,
69,роста,O,,,
70,.,O,,,
