id,token,tag,nested_1,nested_2,wiki_id
0,Компьютерная,B-TERM,,,
1,база,I-TERM,B-TERM,,"Q8513:1,2"
2,данных,I-TERM,I-TERM,,
3,для,O,,,
4,анализа,B-TERM,,,
5,дифференциально,I-TERM,,,
6,экспрессирующихся,I-TERM,,,
7,генов,I-TERM,B-TERM,,Q7187:7
8,",",O,,,
9,связанных,O,,,
10,с,O,,,
11,агрессивным,B-TERM,,,"Q191797:11,12"
12,поведением,I-TERM,,,
13,",",O,,,
14,на,O,,,
15,моделях,B-TERM,,,
16,лабораторных,I-TERM,,,
17,животных,I-TERM,B-TERM,,Q729:17
18,Разработка,O,,,
19,и,O,,,
20,применение,O,,,
21,компьютерных,B-TERM,,,
22,средств,I-TERM,,,
23,анализа,I-TERM,B-TERM,,
24,транскриптомных,I-TERM,I-TERM,,
25,данных,I-TERM,I-TERM,,
26,в,O,,,
27,модельных,B-TERM,B-TERM,,"Q213907:27,28"
28,организмах,I-TERM,I-TERM,,
29,животных,I-TERM,B-TERM,,Q729:29
30,представляет,O,,,
31,актуальную,O,,,
32,задачу,O,,,
33,биоинформатики,B-TERM,,,Q128570:33
34,.,O,,,
35,Задача,B-TERM,,,
36,исследования,I-TERM,,,
37,экспрессии,I-TERM,B-TERM,,"Q26972:37,38"
38,генов,I-TERM,I-TERM,B-TERM,
39,современными,O,,,
40,методами,B-TERM,,,
41,высокопроизводительного,I-TERM,,,
42,секвенирования,I-TERM,,,
43,в,O,,,
44,отделах,B-TERM,,,
45,мозга,I-TERM,,,
46,лабораторных,I-TERM,,,
47,животных,I-TERM,B-TERM,,Q729:47
48,является,O,,,
49,исключительно,O,,,
50,важной,O,,,
51,для,O,,,
52,изучения,O,,,
53,генетических,B-TERM,,,
54,основ,I-TERM,,,
55,поведения,I-TERM,,,
56,в,O,,,
57,целом,O,,,
58,.,O,,,
59,Изучение,O,,,
60,генетических,B-TERM,,,
61,детерминант,I-TERM,,,
62,агрессивного,I-TERM,B-TERM,,"Q191797:62,63"
63,поведения,I-TERM,I-TERM,,
64,не,O,,,
65,только,O,,,
66,сохраняет,O,,,
67,актуальность,O,,,
68,для,O,,,
69,исследования,O,,,
70,молекулярных,B-TERM,,,
71,механизмов,I-TERM,,,
72,регуляции,I-TERM,,,
73,поведения,I-TERM,,,
74,",",O,,,
75,но,O,,,
76,и,O,,,
77,имеет,O,,,
78,широкую,O,,,
79,практическую,O,,,
80,составляющую,O,,,
81,при,O,,,
82,работе,O,,,
83,с,O,,,
84,животными,B-TERM,,,Q729:84
85,",",O,,,
86,для,O,,,
87,решения,O,,,
88,задач,O,,,
89,агробиологии,B-TERM,,,Q4694222:89
90,.,O,,,
91,Наследственная,B-TERM,,,
92,предрасположенность,I-TERM,,,
93,животных,I-TERM,B-TERM,,Q729:93
94,к,O,,,
95,агрессивному,B-TERM,,,"Q191797:95,96"
96,поведению,I-TERM,,,
97,приводит,O,,,
98,к,O,,,
99,появлению,O,,,
100,различий,O,,,
101,в,O,,,
102,строении,B-TERM,,,
103,головного,I-TERM,B-TERM,,"Q1073:103,104"
104,мозга,I-TERM,I-TERM,,
105,",",O,,,
106,и,O,,,
107,сравнение,O,,,
108,таких,O,,,
109,различий,O,,,
110,позволит,O,,,
111,найти,O,,,
112,как,O,,,
113,общие,O,,,
114,",",O,,,
115,так,O,,,
116,и,O,,,
117,специфичные,O,,,
118,механизмы,B-TERM,,,
119,регуляции,I-TERM,,,
120,поведения,I-TERM,,,
121,",",O,,,
122,способствующие,O,,,
123,проявлению,O,,,
124,агрессии,B-TERM,,,Q191797:124
125,в,O,,,
126,провоцирующих,B-TERM,,,
127,условиях,I-TERM,,,
128,среды,I-TERM,,,
129,.,O,,,
130,Представлены,O,,,
131,компьютерные,B-TERM,B-TERM,,"Q40056:131,132"
132,программы,I-TERM,I-TERM,,
133,анализа,I-TERM,B-TERM,,
134,сплайсинга,I-TERM,B-TERM,,
135,и,O,,,
136,прототип,B-TERM,,,
137,базы,I-TERM,B-TERM,,"Q8513:137,138"
138,данных,I-TERM,I-TERM,,
139,экспрессии,I-TERM,B-TERM,,"Q26972:139,140"
140,генов,I-TERM,I-TERM,B-TERM,
141,в,O,,,
142,отделах,B-TERM,,,
143,мозга,I-TERM,,,
144,лабораторных,I-TERM,,,
145,животных,I-TERM,,,
146,–,O,,,
147,серых,B-TERM,,,"Q184224:147,148"
148,крыс,I-TERM,,,
149,",",O,,,
150,селектированных,O,,,
151,по,O,,,
152,проявлению,O,,,
153,агрессивного,B-TERM,,,Q191797:153
154,поведения,I-TERM,,,
155,.,O,,,
156,Выполнена,O,,,
157,функциональная,B-TERM,,,
158,аннотация,I-TERM,,,
159,генов,I-TERM,B-TERM,,Q7187:159
160,с,O,,,
161,повышенной,O,,,
162,и,O,,,
163,пониженной,O,,,
164,экспрессией,B-TERM,,,Q26972:164
165,в,O,,,
166,экспериментах,B-TERM,,,
167,на,O,,,
168,крысах,B-TERM,,,Q184224:168
169,",",O,,,
170,рассмотрены,O,,,
171,варианты,B-TERM,,,
172,изоформ,I-TERM,,,
173,и,O,,,
174,альтернативного,B-TERM,,,"Q21114084:174,175"
175,сплайсинга,I-TERM,B-TERM,,
176,этих,O,,,
177,генов,B-TERM,,,Q7187:177
178,.,O,,,
