id,token,tag,nested_1,wiki_id
0,Medilux,B-TERM,,
1,–,O,,
2,сервис,B-TERM,,
3,интеллектуального,I-TERM,,
4,формирования,I-TERM,,
5,расписания,I-TERM,,
6,посещений,I-TERM,,
7,медицинских,I-TERM,B-TERM,"Q101251441:7,8"
8,учреждений,I-TERM,I-TERM,
9,Предложен,O,,
10,новый,O,,
11,вид,B-TERM,,
12,обслуживания,I-TERM,,
13,–,O,,
14,«,O,,
15,интеллектуальная,B-TERM,,
16,регистратура,I-TERM,,
17,»:,O,,
18,в,O,,
19,мобильном,B-TERM,,"Q620615:19,20"
20,приложении,I-TERM,,
21,обеспечена,O,,
22,возможность,O,,
23,выбора,O,,
24,сотрудников,B-TERM,,
25,медицинского,I-TERM,B-TERM,"Q101251441:25,26"
26,учреждения,I-TERM,I-TERM,
27,",",O,,
28,далее,O,,
29,происходит,O,,
30,анализ,O,,
31,графика,B-TERM,,
32,работы,I-TERM,,
33,выбранного,O,,
34,врача,B-TERM,,Q39631:34
35,и,O,,
36,свободного,B-TERM,,"Q180910:36,37"
37,времени,I-TERM,,
38,пользователя,B-TERM,,Q613354:38
39,при,O,,
40,помощи,O,,
41,алгоритмов,B-TERM,,"Q8366:41,42"
42,программирования,I-TERM,,
43,в,O,,
44,ограничениях,O,,
45,с,O,,
46,целью,O,,
47,определения,O,,
48,наилучшего,O,,
49,времени,B-TERM,,
50,записи,I-TERM,,
51,на,I-TERM,,
52,прием,I-TERM,,
53,.,O,,
54,База,B-TERM,,"Q593744:54,55"
55,знаний,I-TERM,,
56,о,O,,
57,свободном,B-TERM,,"Q180910:57,58"
58,времени,I-TERM,,
59,пользователя,B-TERM,,Q613354:59
60,формируется,O,,
61,на,O,,
62,основе,O,,
63,задач,B-TERM,,Q759676:63
64,",",O,,
65,которые,O,,
66,агрегируются,O,,
67,с,O,,
68,мобильного,B-TERM,,"Q5082128:68,69"
69,устройства,I-TERM,,
70,и,O,,
71,популярных,O,,
72,сервисов,B-TERM,,
73,по,I-TERM,,
74,управлению,I-TERM,B-TERM,"Q759682:74,75"
75,задачами,I-TERM,I-TERM,
76,.,O,,
77,Для,O,,
78,случая,O,,
79,",",O,,
80,если,O,,
81,пользователь,B-TERM,,Q613354:81
82,не,O,,
83,знает,O,,
84,",",O,,
85,к,O,,
86,кому,O,,
87,обратиться,O,,
88,",",O,,
89,продукт,B-TERM,,Q40056:89
90,снабжен,O,,
91,«,O,,
92,умным,B-TERM,,
93,»,O,,
94,чатом,B-TERM,,Q287198:94
95,",",O,,
96,в,O,,
97,котором,O,,
98,можно,O,,
99,описать,O,,
100,проблему,B-TERM,,Q621184:100
101,.,O,,
102,Текст,O,,
103,отправится,O,,
104,на,O,,
105,сервер,B-TERM,,Q44127:105
106,",",O,,
107,где,O,,
108,произойдет,O,,
109,синтаксический,B-TERM,,"Q194152:109,110"
110,разбор,I-TERM,,
111,и,O,,
112,семантическое,B-TERM,,"Q1503724:112,113"
113,сопоставление,I-TERM,,
114,с,O,,
115,конкретной,O,,
116,специальностью,B-TERM,,
117,врача,I-TERM,B-TERM,Q39631:117
118,.,O,,
119,В,O,,
120,базе,B-TERM,,"Q8513:120,121"
121,данных,I-TERM,,
122,хранится,O,,
123,информация,O,,
124,обо,O,,
125,всех,O,,
126,посещениях,B-TERM,,
127,и,O,,
128,врачебных,B-TERM,,
129,выписках,I-TERM,,
130,(,O,,
131,электронная,B-TERM,,"Q10871684:131,132,133"
132,медицинская,I-TERM,,
133,карта,I-TERM,,
134,"),",O,,
135,что,O,,
136,позволяет,O,,
137,",",O,,
138,например,O,,
139,",",O,,
140,напоминать,O,,
141,пользователю,B-TERM,,Q613354:141
142,о,O,,
143,необходимости,O,,
144,принятия,O,,
145,медикаментов,B-TERM,,Q12140:145
146,.,O,,
147,Практическая,O,,
148,ценность,O,,
149,продукта,B-TERM,,Q2424752:149
150,заключается,O,,
151,в,O,,
152,автоматизации,B-TERM,,
153,бизнес,I-TERM,B-TERM,"Q851587:153,154,155"
154,-,I-TERM,I-TERM,
155,процесса,I-TERM,I-TERM,
156,«,O,,
157,прием,B-TERM,,
158,пациентов,I-TERM,B-TERM,Q181600:158
159,"»,",O,,
160,что,O,,
161,приводит,O,,
162,к,O,,
163,экономии,O,,
164,времени,O,,
165,пациентов,B-TERM,,Q181600:165
166,",",O,,
167,обеспечению,O,,
168,высокой,O,,
169,доступности,B-TERM,,
170,услуг,I-TERM,,
171,и,O,,
172,оптимизации,O,,
173,трудовых,B-TERM,,
174,затрат,I-TERM,,
175,в,O,,
176,медучреждениях,B-TERM,,Q101251441:176
177,.,O,,
