id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Информационно,B-TERM,,,,"Q831795:0,1,2,3"
1,-,I-TERM,,,,
2,аналитическая,I-TERM,,,,
3,система,I-TERM,,,,
4,с,O,,,,
5,алгоритмами,B-TERM,B-TERM,,,
6,геномного,I-TERM,I-TERM,B-TERM,,
7,анализа,I-TERM,I-TERM,I-TERM,B-TERM,Q217602:7
8,патогенов,I-TERM,B-TERM,,,
9,вирусных,I-TERM,I-TERM,B-TERM,,"Q1928978:9,10"
10,инфекций,I-TERM,I-TERM,I-TERM,,
,,,,,,
11,Работа,O,,,,
12,посвящена,O,,,,
13,описанию,O,,,,
14,структуры,B-TERM,,,,
15,информационно,I-TERM,B-TERM,B-TERM,,"Q831795:15,16,17,18"
16,-,I-TERM,I-TERM,I-TERM,,
17,аналитической,I-TERM,I-TERM,I-TERM,,
18,системы,I-TERM,I-TERM,I-TERM,,
19,«,I-TERM,I-TERM,,,
20,Ixodes,I-TERM,I-TERM,B-TERM,,
21,"»,",I-TERM,I-TERM,,,
22,ориентированной,O,,,,
23,на,O,,,,
24,работу,O,,,,
25,c,O,,,,
26,представительной,O,,,,
27,коллекцией,O,,,,
28,иксодовых,B-TERM,,,,"Q1429304:28,29"
29,клещей,I-TERM,,,,
30,из,O,,,,
31,разных,O,,,,
32,биотопов,B-TERM,,,,Q175208:32
33,",",O,,,,
34,а,O,,,,
35,именно,O,,,,
36,для,O,,,,
37,территорий,O,,,,
38,Алтая,O,,,,
39,",",O,,,,
40,Сибири,O,,,,
41,и,O,,,,
42,Дальнего,O,,,,
43,востока,O,,,,
44,.,O,,,,
45,Показаны,O,,,,
46,варианты,O,,,,
47,применения,O,,,,
48,системы,B-TERM,,,,Q831795:48
49,для,O,,,,
50,анализа,B-TERM,B-TERM,,,Q217602:50
51,генетического,I-TERM,B-TERM,,,"Q585259:51,52"
52,разнообразия,I-TERM,I-TERM,,,
53,клещей,O,,,,
54,и,O,,,,
55,переносимых,O,,,,
56,ими,O,,,,
57,патогенов,B-TERM,,,,Q170065:57
58,при,O,,,,
59,помощи,O,,,,
60,методов,B-TERM,,,,
61,статистической,I-TERM,,,,
62,обработки,I-TERM,,,,
63,в,O,,,,
64,виде,O,,,,
65,круговых,B-TERM,,,,
66,и,O,,,,
67,столбчатых,B-TERM,,,,"Q1124595:67,68"
68,диаграмм,I-TERM,,,,
69,(,O,,,,
70,гистограмм,B-TERM,,,,Q185020:70
71,).,O,,,,
72,Описаны,O,,,,
73,реализованные,O,,,,
74,алгоритмы,B-TERM,,,,Q8366:74
75,",",O,,,,
76,позволяющие,O,,,,
77,проводить,O,,,,
78,анализ,B-TERM,B-TERM,,,Q217602:78
79,генетической,I-TERM,B-TERM,,,"Q863908:79,80"
80,последовательности,I-TERM,I-TERM,,,
81,исследуемого,O,,,,
82,патогена,B-TERM,,,,Q170065:82
83,на,O,,,,
84,основе,O,,,,
85,L,B-TERM,,,,
86,-,I-TERM,,,,
87,граммного,I-TERM,,,,
88,подхода,I-TERM,,,,
89,и,O,,,,
90,методами,B-TERM,,,,
91,разбиения,I-TERM,,,,
92,филогенетического,I-TERM,B-TERM,,,"Q242125:92,93"
93,дерева,I-TERM,I-TERM,,,
94,на,O,,,,
95,группы,O,,,,
96,близких,O,,,,
97,последовательностей,O,,,,
98,.,O,,,,
99,При,O,,,,
100,этом,O,,,,
101,для,O,,,,
102,первичной,O,,,,
103,обработки,O,,,,
104,набора,B-TERM,,,,
105,геномов,I-TERM,B-TERM,,,Q7020:105
106,используются,O,,,,
107,методы,B-TERM,,,,
108,множественного,I-TERM,B-TERM,,,"Q1377767:108,109,110"
109,выравнивания,I-TERM,I-TERM,,,
110,последовательностей,I-TERM,I-TERM,,,
111,и,O,,,,
112,метод,B-TERM,,,,"Q1935806:112,113,114"
113,присоединения,I-TERM,,,,
114,соседей,I-TERM,,,,
115,",",O,,,,
116,позволяющий,O,,,,
117,выполнить,O,,,,
118,построение,O,,,,
119,филогенетического,B-TERM,,,,"Q242125:119,120"
120,дерева,I-TERM,,,,
121,.,O,,,,
122,Представленные,O,,,,
123,алгоритмы,B-TERM,,,,Q8366:123
124,и,O,,,,
125,методы,B-TERM,,,,Q1799072:125
126,использовались,O,,,,
127,для,O,,,,
128,решения,O,,,,
129,задачи,B-TERM,,,,
130,генотипирования,I-TERM,,,,
131,вируса,I-TERM,B-TERM,,,"Q251824:131,132,133"
132,клещевого,I-TERM,I-TERM,,,
133,энцефалита,I-TERM,I-TERM,,,
134,(,O,,,,
135,ВКЭ,B-TERM,,,,Q251824:135
136,).,O,,,,
137,Представлены,O,,,,
138,результаты,O,,,,
139,апробации,O,,,,
140,для,O,,,,
141,методов,B-TERM,,,,
142,разбиения,I-TERM,,,,
143,филогенетического,I-TERM,B-TERM,,,"Q242125:143,144"
144,дерева,I-TERM,I-TERM,,,
