id,token,tag,nested_1,nested_2,wiki_id
0,Математическое,O,,,
1,обоснование,O,,,
2,нового,O,,,
3,электромагнитного,B-TERM,,,
4,зонда,I-TERM,,,
5,с,O,,,
6,тороидальными,B-TERM,,,
7,катушками,I-TERM,,,
8,для,O,,,
9,высокоразрешающего,B-TERM,,,
10,каротажа,I-TERM,B-TERM,B-TERM,Q2383566:10
11,нефтегазовых,I-TERM,I-TERM,,
12,скважин,I-TERM,I-TERM,,
13,Представленная,O,,,
14,работа,O,,,
15,посвящена,O,,,
16,обоснованию,O,,,
17,нового,O,,,
18,электромагнитного,B-TERM,,,
19,зонда,I-TERM,,,
20,для,O,,,
21,каротажа,B-TERM,B-TERM,,Q2383566:21
22,нефтегазовых,I-TERM,,,
23,скважин,I-TERM,,,
24,на,O,,,
25,основе,O,,,
26,компьютерного,B-TERM,,,"Q925667:26,27"
27,моделирования,I-TERM,,,
28,.,O,,,
29,Получено,O,,,
30,решение,O,,,
31,прямой,B-TERM,,,Q26922245:32
32,задачи,I-TERM,,,
33,электромагнитного,B-TERM,,,
34,каротажа,I-TERM,,,
35,для,O,,,
36,тороидального,B-TERM,,,
37,источника,I-TERM,B-TERM,,Q31464082:37
38,в,O,,,
39,цилиндрически,B-TERM,,,
40,-,I-TERM,,,
41,слоистой,I-TERM,,,
42,геоэлектрической,I-TERM,,,
43,модели,I-TERM,,,
44,.,O,,,
45,Разработаны,O,,,
46,комплексы,O,,,
47,алгоритмов,B-TERM,,,Q31464082:47
48,и,O,,,
49,компьютерных,B-TERM,,,
50,программ,I-TERM,,,
51,для,O,,,
52,анализа,B-TERM,B-TERM,,"Q208163:52,53"
53,сигналов,I-TERM,I-TERM,,
54,электромагнитного,I-TERM,B-TERM,,
55,зонда,I-TERM,I-TERM,,
56,с,O,,,
57,тороидальными,B-TERM,,,
58,катушками,I-TERM,,,
59,в,O,,,
60,пространственно,B-TERM,,,
61,неоднородных,I-TERM,,,
62,анизотропных,I-TERM,,,
63,средах,I-TERM,,,
64,.,O,,,
65,Путем,O,,,
66,масштабного,O,,,
67,компьютерного,B-TERM,,,"Q925667:67,68"
68,моделирования,I-TERM,,,
69,выполнено,O,,,
70,обоснование,O,,,
71,оптимальной,B-TERM,B-TERM,,
72,конфигурации,I-TERM,I-TERM,,
73,зондовой,I-TERM,B-TERM,,
74,системы,I-TERM,I-TERM,,
75,и,O,,,
76,исследованы,O,,,
77,ее,O,,,
78,возможности,O,,,
79,изучения,O,,,
80,макроанизотропных,B-TERM,,,
81,свойств,I-TERM,,,
82,геологических,I-TERM,B-TERM,,"Q3936418:82, 83"
83,сред,I-TERM,I-TERM,,
84,.,O,,,
