id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Применение,O,,,,
1,FPGA,B-TERM,,,,Q190411:1
2,для,O,,,,
3,ускорения,B-TERM,,,,
4,расчета,I-TERM,B-TERM,,,
5,волнового,I-TERM,I-TERM,B-TERM,B-TERM,"Q461533:5,6"
6,фронта,I-TERM,I-TERM,I-TERM,I-TERM,
7,цунами,I-TERM,I-TERM,I-TERM,B-TERM,Q8070:7
8,Рассматривается,O,,,,
9,вопрос,O,,,,
10,ускорения,B-TERM,,,,
11,численного,I-TERM,B-TERM,,,
12,расчёта,I-TERM,I-TERM,B-TERM,,
13,распространения,I-TERM,I-TERM,I-TERM,,
14,волны,I-TERM,I-TERM,I-TERM,B-TERM,
15,цунами,I-TERM,I-TERM,I-TERM,I-TERM,
16,от,O,,,,
17,очага,B-TERM,,,,
18,до,O,,,,
19,берега,B-TERM,,,,Q468756:19
20,в,O,,,,
21,рамках,O,,,,
22,дифференциальной,B-TERM,,,,
23,модели,I-TERM,B-TERM,,,
24,мелкой,I-TERM,I-TERM,,,
25,воды,I-TERM,I-TERM,,,
26,с,O,,,,
27,применением,O,,,,
28,аппаратного,B-TERM,,,,"Q600158:28,29"
29,ускорения,I-TERM,,,,
30,на,O,,,,
31,базе,O,,,,
32,FPGA,B-TERM,,,,Q190411:32
33,.,O,,,,
34,Разработана,O,,,,
35,программная,B-TERM,,,,"Q846636:35,36"
36,архитектура,I-TERM,,,,
37,для,O,,,,
38,расчета,B-TERM,,,,
39,системы,I-TERM,,,,
40,мелкой,I-TERM,,,,
41,воды,I-TERM,,,,
42,без,O,,,,
43,учёта,O,,,,
44,внешних,B-TERM,,,,
45,сил,I-TERM,,,,
46,",",O,,,,
47,являющейся,O,,,,
48,эквивалентной,O,,,,
49,используемой,O,,,,
50,в,O,,,,
51,пакете,B-TERM,,,,
52,MOST,I-TERM,B-TERM,,,
53,для,O,,,,
54,численного,B-TERM,,,,
55,моделирования,I-TERM,,,,
56,движения,I-TERM,,,,
57,волны,I-TERM,B-TERM,,,
58,цунами,I-TERM,I-TERM,,,
59,по,O,,,,
60,водной,B-TERM,,,,
61,акватории,I-TERM,,,,
62,.,O,,,,
63,Численная,B-TERM,,,,
64,реализация,I-TERM,B-TERM,,,
65,системы,I-TERM,I-TERM,,,
66,мелкой,I-TERM,I-TERM,,,
67,воды,I-TERM,I-TERM,,,
68,осуществлялась,O,,,,
69,по,O,,,,
70,схеме,B-TERM,,,,
71,Мак,I-TERM,,,,
72,-,I-TERM,,,,
73,Кормака,I-TERM,,,,
74,.,O,,,,
75,Точность,B-TERM,,,,"Q272035:75,76"
76,вычислений,I-TERM,,,,
77,разработанного,O,,,,
78,решателя,B-TERM,,,,
79,была,O,,,,
80,проверена,O,,,,
81,сравнением,O,,,,
82,с,O,,,,
83,точным,O,,,,
84,решением,B-TERM,,,,Q21075690:84
85,",",O,,,,
86,известным,O,,,,
87,в,O,,,,
88,случае,O,,,,
89,плоского,B-TERM,,,,
90,наклонного,I-TERM,,,,
91,дна,I-TERM,,,,
92,.,O,,,,
93,Достигнутая,O,,,,
94,точность,B-TERM,,,,Q272035:94
95,не,O,,,,
96,уступает,O,,,,
97,",",O,,,,
98,а,O,,,,
99,местами,O,,,,
100,и,O,,,,
101,превосходит,O,,,,
102,точность,B-TERM,,,,Q272035:102
103,известного,O,,,,
104,программного,B-TERM,,,,
105,пакета,I-TERM,,,,
106,MOST,I-TERM,B-TERM,,,
107,.,O,,,,
