id,token,tag,nested_1,nested_2,wiki_id
0,Моделирование,B-TERM,B-TERM,,Q6888384:0
1,упругих,I-TERM,B-TERM,,"Q3882459:1,2"
2,волн,I-TERM,I-TERM,B-TERM,
3,в,O,,,
4,средах,B-TERM,,,
5,со,I-TERM,,,
6,сложной,I-TERM,,,
7,топографией,I-TERM,B-TERM,,Q186131:7
8,свободной,I-TERM,B-TERM,,"Q1454008:8,9"
9,поверхности,I-TERM,I-TERM,,
10,Моделирование,B-TERM,,,Q6888384:10
11,–,O,,,
12,неотъемлемая,O,,,
13,часть,O,,,
14,исследования,O,,,
15,процессов,B-TERM,,,
16,распространения,I-TERM,,,
17,сейсмических,I-TERM,B-TERM,,"Q186167:17,18"
18,волн,I-TERM,I-TERM,,
19,в,O,,,
20,различных,O,,,
21,средах,B-TERM,,,
22,.,O,,,
23,Широко,O,,,
24,используемый,O,,,
25,способ,B-TERM,,,
26,разбиения,I-TERM,,,
27,области,I-TERM,,,
28,на,O,,,
29,прямоугольные,B-TERM,,,
30,ячейки,I-TERM,,,
31,обладает,O,,,
32,недостатком,O,,,
33,:,O,,,
34,при,O,,,
35,сложном,B-TERM,,,
36,строении,I-TERM,,,
37,свободной,I-TERM,B-TERM,,"Q1454008:37,38"
38,поверхности,I-TERM,I-TERM,,
39,(,O,,,
40,например,O,,,
41,",",O,,,
42,гора,B-TERM,,,Q8502:42
43,),O,,,
44,возникают,O,,,
45,эффекты,B-TERM,,,Q926230:45
46,при,O,,,
47,отражении,B-TERM,,,
48,волны,I-TERM,B-TERM,,
49,от,O,,,
50,этой,O,,,
51,поверхности,B-TERM,,,Q1454008:51
52,",",O,,,
53,связанные,O,,,
54,с,O,,,
55,тем,O,,,
56,",",O,,,
57,что,O,,,
58,граница,B-TERM,,,Q875399:58
59,аппроксимируется,O,,,
60,ступенчатой,B-TERM,,,"Q917657:60,61"
61,функцией,I-TERM,,,
62,для,O,,,
63,численного,B-TERM,B-TERM,,"Q12041485:63,64"
64,решения,I-TERM,I-TERM,,
65,задачи,I-TERM,,,
66,.,O,,,
67,В,O,,,
68,данной,O,,,
69,работе,O,,,
70,предложен,O,,,
71,иной,O,,,
72,подход,B-TERM,,,
73,к,I-TERM,,,
74,дискретизации,I-TERM,,,
75,области,I-TERM,,,
76,:,O,,,
77,построение,B-TERM,,,
78,криволинейной,I-TERM,,,
79,сетки,I-TERM,,,
80,",",O,,,
81,хорошо,O,,,
82,согласующейся,O,,,
83,с,O,,,
84,геометрией,B-TERM,,,
85,свободной,I-TERM,B-TERM,,"Q1454008:85,86"
86,поверхности,I-TERM,I-TERM,,
87,.,O,,,
88,Предложен,O,,,
89,алгоритм,B-TERM,B-TERM,,Q8366:89
90,численного,I-TERM,B-TERM,,"Q925667:90,91"
91,моделирования,I-TERM,I-TERM,,
92,на,O,,,
93,основе,O,,,
94,численного,B-TERM,B-TERM,,"Q12041485:94,95"
95,решения,I-TERM,I-TERM,,
96,линейной,I-TERM,,,
97,2D,I-TERM,,,
98,-,I-TERM,,,
99,системы,I-TERM,,,
100,теории,I-TERM,B-TERM,,"Q14097093:100,101"
101,упругости,I-TERM,I-TERM,,
102,",",O,,,
103,записанной,O,,,
104,в,O,,,
105,смещениях,B-TERM,,,
106,",",O,,,
107,с,O,,,
108,использованием,O,,,
109,криволинейной,B-TERM,,,
110,сетки,I-TERM,,,
111,и,O,,,
112,пошагового,B-TERM,,,
113,метода,I-TERM,B-TERM,,
114,Лагерра,I-TERM,I-TERM,,
115,.,O,,,
116,Представлены,O,,,
117,результаты,O,,,
118,моделирования,B-TERM,,,Q6888384:118
119,.,O,,,
120,Также,O,,,
121,были,O,,,
122,реализованы,O,,,
123,две,O,,,
124,параллельные,B-TERM,,,
125,версии,I-TERM,,,
126,алгоритма,I-TERM,B-TERM,,Q8366:126
127,",",O,,,
128,проведены,O,,,
129,расчеты,B-TERM,,,
130,на,O,,,
131,различных,O,,,
132,многоядерных,B-TERM,,,
133,системах,I-TERM,,,
134,(,O,,,
135,на,O,,,
136,классической,B-TERM,,,
137,многопроцессорной,I-TERM,,,
138,архитектуре,I-TERM,B-TERM,,
139,",",O,,,
140,а,O,,,
141,также,O,,,
142,архитектуре,B-TERM,,,
143,с,O,,,
144,использованием,O,,,
145,сопроцессоров,B-TERM,,,Q859595:145
146,Intel,B-TERM,,,"Q1049168:146,147,148"
147,Xeon,I-TERM,,,
148,Phi,I-TERM,,,
149,–,O,,,
150,"""",O,,,
151,РСК,O,,,
152,ПетаСтрим,O,,,
153,""").",O,,,
154,Представлены,O,,,
155,сравнительные,B-TERM,,,
156,тесты,I-TERM,,,
157,ускорений,I-TERM,,,
158,на,O,,,
159,разных,O,,,
160,архитектурах,B-TERM,,,
161,",",O,,,
162,а,O,,,
163,также,O,,,
164,описаны,O,,,
165,особенности,O,,,
166,распараллеливания,B-TERM,,,
167,алгоритма,I-TERM,B-TERM,,Q8366:167
168,.,O,,,
