id,token,tag,nested_1,nested_2,wiki_id
0,Модели,B-TERM,,,Q1979154:0
1,и,O,,,
2,проектные,B-TERM,,,
3,решения,I-TERM,,,
4,системы,B-TERM,B-TERM,,
5,хранения,I-TERM,B-TERM,,
6,и,I-TERM,,,
7,обработки,I-TERM,B-TERM,,
8,исследовательских,I-TERM,B-TERM,,
9,данных,I-TERM,I-TERM,B-TERM,Q494756:9
10,Ecclesia,I-TERM,B-TERM,,
11,В,O,,,
12,ходе,O,,,
13,научных,B-TERM,,,"Q2673285:13,14"
14,исследований,I-TERM,,,
15,порождается,O,,,
16,большое,O,,,
17,количество,O,,,
18,данных,B-TERM,,,
19,в,O,,,
20,цифровом,B-TERM,,,"Q173285:20,21"
21,формате,I-TERM,,,
22,",",O,,,
23,и,O,,,
24,для,O,,,
25,после,O,,,
26,-,O,,,
27,дующего,O,,,
28,использования,O,,,
29,этих,O,,,
30,данных,B-TERM,,,Q494756:30
31,(,O,,,
32,обработки,B-TERM,,,Q6661985:32
33,",",O,,,
34,анализа,B-TERM,,,Q217602:34
35,",",O,,,
36,публикации,B-TERM,,,Q732577:36
37,),O,,,
38,их,O,,,
39,необходимо,O,,,
40,организованно,O,,,
41,собирать,O,,,
42,и,O,,,
43,хранить,O,,,
44,.,O,,,
45,Построение,O,,,
46,информационной,B-TERM,,,"Q1047251:46,47"
47,инфраструктуры,I-TERM,,,
48,для,O,,,
49,решения,O,,,
50,этих,O,,,
51,задач,B-TERM,,,
52,–,O,,,
53,одна,O,,,
54,из,O,,,
55,наиболее,O,,,
56,актуальных,O,,,
57,проблем,B-TERM,,,Q621184:57
58,в,O,,,
59,области,B-TERM,,,
60,организации,I-TERM,,,
61,работы,I-TERM,,,
62,с,O,,,
63,экспериментальными,B-TERM,,,
64,данными,I-TERM,B-TERM,,Q494756:64
65,.,O,,,
66,Авторами,O,,,
67,настоящей,O,,,
68,статьи,O,,,
69,разрабатывается,O,,,
70,информационная,B-TERM,,,"Q121182:70,71"
71,система,I-TERM,B-TERM,,
72,для,O,,,
73,автоматизации,B-TERM,,,
74,сбора,I-TERM,,,
75,",",O,,,
76,хранения,B-TERM,,,
77,и,O,,,
78,анализа,B-TERM,,,
79,данных,I-TERM,B-TERM,,Q494756:79
80,",",O,,,
81,в,O,,,
82,качестве,O,,,
83,отправной,O,,,
84,точки,O,,,
85,для,O,,,
86,которой,O,,,
87,используются,O,,,
88,три,O,,,
89,задачи,B-TERM,,,
90,обработки,I-TERM,B-TERM,,
91,данных,I-TERM,B-TERM,,Q494756:91
92,из,O,,,
93,области,B-TERM,,,
94,физиологии,I-TERM,,,
95,.,O,,,
96,Рассмотрены,O,,,
97,и,O,,,
98,проанализированы,O,,,
99,возникающие,O,,,
100,в,O,,,
101,процессе,O,,,
102,разработки,O,,,
103,такой,O,,,
104,системы,B-TERM,,,
105,проблемы,B-TERM,,,
106,",",O,,,
107,а,O,,,
108,также,O,,,
109,существующие,O,,,
110,подходы,B-TERM,,,
111,и,O,,,
112,готовые,O,,,
113,решения,B-TERM,,,
114,этих,O,,,
115,и,O,,,
116,схожих,O,,,
117,задач,B-TERM,,,
118,.,O,,,
119,На,O,,,
120,основе,O,,,
121,результатов,O,,,
122,проведенного,O,,,
123,анализа,B-TERM,,,
124,предложен,O,,,
125,ряд,O,,,
126,моделей,B-TERM,,,Q1979154:126
127,и,O,,,
128,механизмов,B-TERM,,,
129,для,O,,,
130,решения,O,,,
131,возникших,O,,,
132,проблем,B-TERM,,,Q621184:132
133,.,O,,,
134,Разработанные,O,,,
135,решения,B-TERM,,,
136,включают,O,,,
137,в,O,,,
138,себя,O,,,
139,модели,B-TERM,,,
140,и,O,,,
141,механизмы,B-TERM,,,
142,сбора,I-TERM,B-TERM,,
143,и,I-TERM,,,
144,хранения,I-TERM,B-TERM,,
145,экспериментальных,I-TERM,B-TERM,,
146,данных,I-TERM,I-TERM,B-TERM,Q494756:146
147,",",O,,,
148,модель,B-TERM,,,
149,для,O,,,
150,описания,B-TERM,,,
151,и,O,,,
152,формализации,B-TERM,,,
153,сценариев,I-TERM,,,
154,обработки,I-TERM,B-TERM,,"Q6661985:154,155"
155,данных,I-TERM,I-TERM,B-TERM,
156,и,O,,,
157,механизмы,B-TERM,,,
158,для,O,,,
159,обработки,B-TERM,,,
160,собранных,O,,,
161,данных,B-TERM,,,Q494756:161
162,в,O,,,
163,распределенной,B-TERM,,,
164,вычислительной,I-TERM,B-TERM,,
165,системе,I-TERM,I-TERM,B-TERM,
166,.,O,,,
167,В,O,,,
168,результате,O,,,
169,представлена,O,,,
170,архитектура,B-TERM,,,
171,вычислительной,I-TERM,B-TERM,,
172,системы,I-TERM,I-TERM,B-TERM,
173,для,O,,,
174,сбора,B-TERM,,,
175,",",O,,,
176,хранения,B-TERM,,,
177,и,O,,,
178,обработки,B-TERM,,,
179,экспериментальных,I-TERM,B-TERM,,
180,данных,I-TERM,I-TERM,B-TERM,Q494756:189
181,.,O,,,
182,Система,B-TERM,,,
183,предлагается,O,,,
184,в,O,,,
185,качестве,O,,,
186,инструмента,B-TERM,,,
187,для,O,,,
188,решения,O,,,
189,широкого,O,,,
190,спектра,O,,,
191,задач,B-TERM,,,
192,",",O,,,
193,возникающих,O,,,
194,при,O,,,
195,проведении,O,,,
196,b,B-TERM,,,
197,исследований,I-TERM,,,
198,и,O,,,
199,требующих,O,,,
200,сбора,B-TERM,,,
201,",",O,,,
