id,token,tag,nested_1,nested_2,wiki_id
0,Система,B-TERM,B-TERM,,Q58778:0
1,анализа,I-TERM,B-TERM,,
2,и,O,,,
3,визуализации,B-TERM,,,Q451553:3
4,для,O,,,
5,кросс,B-TERM,,,
6,-,I-TERM,,,
7,языковой,I-TERM,,,
8,идентификации,I-TERM,B-TERM,,
9,авторов,I-TERM,I-TERM,B-TERM,Q482980:9
10,научных,B-TERM,,,"Q591041:10,11"
11,публикаций,I-TERM,B-TERM,,
12,Представлена,O,,,
13,система,B-TERM,B-TERM,,Q58778:13
14,разрешения,I-TERM,,,
15,неоднозначности,I-TERM,B-TERM,,
16,авторства,I-TERM,I-TERM,B-TERM,Q10859333:16
17,статей,I-TERM,I-TERM,B-TERM,
18,на,O,,,
19,английском,O,,,
20,языке,O,,,
21,с,O,,,
22,использованием,O,,,
23,русскоязычных,O,,,
24,источников,B-TERM,,,"Q201314:24,25"
25,данных,I-TERM,,,
26,.,O,,,
27,Система,B-TERM,,,Q58778:27
28,позволяет,O,,,
29,находить,O,,,
30,и,O,,,
31,исправлять,O,,,
32,ошибки,O,,,
33,в,O,,,
34,определении,O,,,
35,авторства,B-TERM,B-TERM,,Q10859333:35
36,научных,I-TERM,B-TERM,,"Q591041:36,37"
37,публикаций,I-TERM,I-TERM,B-TERM,
38,",",O,,,
39,что,O,,,
40,может,O,,,
41,улучшить,O,,,
42,результаты,O,,,
43,поиска,O,,,
44,статей,B-TERM,,,Q191067:44
45,определенного,O,,,
46,автора,B-TERM,,,Q482980:46
47,и,O,,,
48,подсчета,O,,,
49,индекса,B-TERM,,,"Q4200718:49,50"
50,цитируемости,I-TERM,,,
51,.,O,,,
52,В,O,,,
53,качестве,O,,,
54,исходного,O,,,
55,хранилища,B-TERM,,,
56,публикаций,I-TERM,,,
57,использовалась,O,,,
58,база,B-TERM,B-TERM,,
59,link,I-TERM,B-TERM,,"Q58333349:59,60,61,62,63"
60,.,I-TERM,I-TERM,,
61,springer,I-TERM,I-TERM,,
62,.,I-TERM,I-TERM,,
63,com,I-TERM,I-TERM,,
64,",",O,,,
65,для,O,,,
66,получения,O,,,
67,достоверной,O,,,
68,информации,O,,,
69,об,O,,,
70,авторах,B-TERM,,,Q482980:70
71,и,O,,,
72,их,O,,,
73,статьях,B-TERM,,,Q191067:73
74,использовалась,O,,,
75,научная,B-TERM,B-TERM,,
76,электронная,I-TERM,I-TERM,,
77,библиотека,I-TERM,I-TERM,,
78,eLIBRARY,I-TERM,B-TERM,,"Q4037789:78,79,80"
79,.,I-TERM,I-TERM,,
80,ru,I-TERM,I-TERM,,
81,.,O,,,
82,Система,B-TERM,,,Q58778:82
83,предоставляет,O,,,
84,интерактивную,B-TERM,,,
85,визуализацию,I-TERM,,,
86,результатов,I-TERM,,,
87,и,O,,,
88,возможность,O,,,
89,редактирования,O,,,
90,для,O,,,
91,повышения,O,,,
92,качества,O,,,
93,экспертного,B-TERM,,,
94,анализа,I-TERM,,,
95,.,O,,,
96,Подходы,O,,,
97,",",O,,,
98,используемые,O,,,
99,в,O,,,
100,данной,O,,,
101,системе,B-TERM,,,Q58778:101
102,",",O,,,
103,применимы,O,,,
104,для,O,,,
105,разрешения,O,,,
106,неоднозначности,B-TERM,,,
107,авторства,I-TERM,B-TERM,,Q10859333:107
108,публикаций,I-TERM,B-TERM,,Q591041:108
109,из,O,,,
110,различных,O,,,
111,библиографических,B-TERM,,,"Q1789476:111,112,113"
112,баз,I-TERM,B-TERM,,
113,данных,I-TERM,I-TERM,,
114,.,O,,,
