id,token,tag,nested_1,wiki_id
0,Бинарные,B-TERM,,"Q164307:0,1"
1,операции,I-TERM,,
2,в,O,,
3,информационной,B-TERM,,"Q121182:3,4"
4,системе,I-TERM,,
5,«,O,,
6,Молекулярная,B-TERM,,
7,спектроскопия,I-TERM,,
8,»,O,,
9,Представлен,O,,
10,подход,B-TERM,,
11,",",O,,
12,использованный,O,,
13,при,O,,
14,разработке,O,,
15,и,O,,
16,реализации,O,,
17,модуля,B-TERM,,Q4043142:17
18,",",O,,
19,выполняющего,O,,
20,бинарные,B-TERM,,"Q164307:20,21"
21,операции,I-TERM,,
22,над,O,,
23,данными,B-TERM,,Q494756:23
24,в,O,,
25,ИС,B-TERM,,Q121182:25
26,«,O,,
27,Молекулярная,B-TERM,,
28,спектроскопия,I-TERM,,
29,».,O,,
30,Приводится,O,,
31,формализация,O,,
32,бинарных,B-TERM,,"Q164307:32,33"
33,операций,I-TERM,,
34,над,O,,
35,наборами,B-TERM,,
36,спектроскопических,I-TERM,,
37,данных,I-TERM,B-TERM,Q494756:23
38,с,O,,
39,учетом,O,,
40,особенностей,O,,
41,предметной,B-TERM,,"Q2088941:40,41"
42,области,I-TERM,,
43,.,O,,
44,Описываются,O,,
45,алгоритм,B-TERM,,
46,действий,I-TERM,,
47,и,O,,
48,интерфейс,B-TERM,,"Q47146:48,49"
49,пользователя,I-TERM,,
50,для,O,,
51,проведения,O,,
52,бинарных,B-TERM,,"Q164307:52,53"
53,операций,I-TERM,,
54,–,O,,
55,единые,O,,
56,для,O,,
57,имеющихся,O,,
58,баз,B-TERM,,"Q8513:58,59"
59,данных,I-TERM,,
60,по,O,,
61,различным,O,,
62,веществам,B-TERM,,
63,и,O,,
64,нескольким,O,,
65,типам,O,,
66,спектроскопических,B-TERM,,
67,данных,I-TERM,,
68,.,O,,
