id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Параллельный,B-TERM,,,,
1,алгоритм,I-TERM,B-TERM,B-TERM,,Q8366:1
2,для,I-TERM,I-TERM,,,
3,численного,I-TERM,I-TERM,B-TERM,,"Q925667:3,4"
4,моделирования,I-TERM,I-TERM,I-TERM,B-TERM,
5,встречных,I-TERM,I-TERM,,,
6,пучков,I-TERM,I-TERM,B-TERM,B-TERM,
7,ультра,I-TERM,I-TERM,I-TERM,,
8,-,I-TERM,I-TERM,I-TERM,,
9,релятивистских,I-TERM,I-TERM,I-TERM,,
10,частиц,I-TERM,I-TERM,I-TERM,,
11,с,O,,,,
12,учетом,O,,,,
13,угла,B-TERM,,,,
14,встречи,I-TERM,,,,
15,Представлен,O,,,,
16,алгоритм,B-TERM,B-TERM,,,Q8366:16
17,для,I-TERM,,,,
18,численного,I-TERM,B-TERM,,,"Q925667:18,19"
19,моделирования,I-TERM,I-TERM,B-TERM,,
20,динамики,I-TERM,,,,
21,пучков,I-TERM,B-TERM,,,
22,в,I-TERM,,,,
23,суперколлайдерах,I-TERM,B-TERM,,,
24,.,O,,,,
25,При,O,,,,
26,взаимодействии,B-TERM,,,,
27,высокоэнергетичных,I-TERM,B-TERM,,,
28,пучков,I-TERM,I-TERM,B-TERM,,
29,возможна,O,,,,
30,их,O,,,,
31,деформация,B-TERM,,,,Q193514:31
32,и,O,,,,
33,разрушение,B-TERM,,,,Q17781833:33
34,",",O,,,,
35,и,O,,,,
36,изучение,O,,,,
37,устойчивости,B-TERM,,,,
38,пучка,I-TERM,B-TERM,,,
39,является,O,,,,
40,актуальной,O,,,,
41,задачей,O,,,,
42,.,O,,,,
43,Рассматривается,O,,,,
44,движение,B-TERM,,,,
45,пучков,I-TERM,B-TERM,,,
46,в,O,,,,
47,самосогласованных,B-TERM,,,,
48,электромагнитных,I-TERM,B-TERM,,,"Q177625:48,49"
49,полях,I-TERM,I-TERM,,,
50,с,O,,,,
51,учетом,O,,,,
52,угла,B-TERM,,,,
53,встречи,I-TERM,,,,
54,в,O,,,,
55,полностью,O,,,,
56,трехмерном,O,,,,
57,случае,O,,,,
58,.,O,,,,
59,Задача,B-TERM,,,,Q759676:59
60,решается,O,,,,
61,методом,B-TERM,,,,"Q2054543:61,62,63,64,65,66"
62,частиц,I-TERM,,,,
63,-,I-TERM,,,,
64,в,I-TERM,,,,
65,-,I-TERM,,,,
66,ячейках,I-TERM,,,,
67,.,O,,,,
68,Распараллеливание,B-TERM,,,,Q1931693:68
69,по,O,,,,
70,области,O,,,,
71,и,O,,,,
72,по,O,,,,
73,частицам,O,,,,
74,позволяет,O,,,,
75,проводить,O,,,,
76,численные,B-TERM,,,,
77,эксперименты,I-TERM,,,,
78,с,O,,,,
79,10,O,,,,
80,^,O,,,,
81,9,O,,,,
82,модельных,B-TERM,,,,
83,частиц,I-TERM,,,,
84,.,O,,,,
85,Приведены,O,,,,
86,результаты,B-TERM,,,,
87,моделирования,I-TERM,B-TERM,,,Q6888384:87
88,и,O,,,,
89,сравнение,B-TERM,,,,Q1720648:89
90,с,O,,,,
91,существующим,O,,,,
92,аналитическим,B-TERM,,,,
93,решением,I-TERM,,,,
94,.,O,,,,
