id,token,tag,nested_1,nested_2,wiki_id
0,Интеллектуальная,B-TERM,,,
1,система,I-TERM,B-TERM,,
2,обработки,I-TERM,I-TERM,,
3,и,I-TERM,I-TERM,,
4,интеграции,I-TERM,I-TERM,,
5,знаний,I-TERM,I-TERM,,
6,на,O,,,
7,основе,O,,,
8,технологий,B-TERM,,,
9,семантической,I-TERM,,,
10,паутины,I-TERM,,,
11,Статья,O,,,
12,посвящена,O,,,
13,разработке,B-TERM,,,
14,методов,I-TERM,,,
15,извлечения,I-TERM,,,
16,из,O,,,
17,текстов,B-TERM,B-TERM,,Q234460:17
18,естественного,I-TERM,,,
19,языка,I-TERM,,,
20,определений,B-TERM,,,
21,ключевых,I-TERM,B-TERM,,
22,понятий,I-TERM,I-TERM,,
23,предметной,B-TERM,,,"Q2088941:23,24"
24,области,I-TERM,,,
25,на,O,,,
26,основе,O,,,
27,теоретико,B-TERM,,,"Q467606:27,28,29,30"
28,-,I-TERM,,,
29,модельного,I-TERM,,,
30,подхода,I-TERM,,,
31,.,O,,,
32,Извлеченная,O,,,
33,из,O,,,
34,текстов,B-TERM,,,
35,информация,B-TERM,,,Q11028:35
36,путем,O,,,
37,преобразования,B-TERM,,,
38,через,O,,,
39,фрагменты,B-TERM,B-TERM,,
40,атомарных,I-TERM,I-TERM,B-TERM,
41,диаграмм,I-TERM,I-TERM,I-TERM,
42,алгебраических,I-TERM,B-TERM,,"Q205464:42,43"
43,систем,I-TERM,I-TERM,,
44,представляется,O,,,
45,в,O,,,
46,виде,O,,,
47,утверждений,B-TERM,,,Q2684591:47
48,в,O,,,
49,логике,B-TERM,,,Q387196:49
50,описаний,I-TERM,,,
51,(,O,,,
52,DL,B-TERM,,,Q387196:52
53,).,O,,,
54,Подобное,O,,,
55,представление,B-TERM,,,
56,позволяет,O,,,
57,получать,O,,,
58,тексты,B-TERM,,,
59,с,O,,,
60,большей,O,,,
61,выразительностью,B-TERM,,,Q5421724:61
62,по,O,,,
63,сравнению,O,,,
64,с,O,,,
65,алгоритмами,B-TERM,,,Q8366:65
66,",",O,,,
67,где,O,,,
68,источником,B-TERM,,,"Q3523102:68,69"
69,информации,I-TERM,,,
70,являются,O,,,
71,данные,B-TERM,,,Q494756:71
72,",",O,,,
73,представленные,O,,,
74,в,O,,,
75,виде,O,,,
76,баз,B-TERM,,,"Q8513:76,77"
77,данных,I-TERM,B-TERM,,
78,или,O,,,
79,в,O,,,
80,виде,O,,,
81,выражений,B-TERM,B-TERM,,
82,на,I-TERM,,,
83,формализованных,I-TERM,B-TERM,,"Q11688701:83,84"
84,языках,I-TERM,I-TERM,,
85,(,O,,,
86,например,O,,,
87,",",O,,,
88,SQL,B-TERM,,,Q47607:88
89,).,O,,,
