id,token,tag,nested_1,wiki_id
0,Об,O,,
1,опыте,O,,
2,миграции,B-TERM,,"Q2448077:2,3"
3,приложений,I-TERM,B-TERM,
4,на,O,,
5,свободно,B-TERM,,"Q178285:5,6,7,8"
6,распространяемое,I-TERM,,
7,программное,I-TERM,B-TERM,
8,обеспечение,I-TERM,I-TERM,
9,с,O,,
10,открытым,B-TERM,,"Q1130645:10,11"
11,кодом,I-TERM,,
12,Важной,O,,
13,проблемой,O,,
14,современного,O,,
15,программирования,B-TERM,,Q80006:15
16,является,O,,
17,поддержка,O,,
18,и,O,,
19,сопровождение,O,,
20,наследственного,O,,
21,программного,B-TERM,,"Q7397:21,22"
22,обеспечения,I-TERM,,
23,(,O,,
24,ПО,B-TERM,,Q7397:24
25,).,O,,
26,Функциональность,B-TERM,,
27,приложений,I-TERM,B-TERM,Q166142:27
28,",",O,,
29,написанных,O,,
30,в,O,,
31,старых,O,,
32,окружениях,B-TERM,,Q2713600:32
33,",",O,,
34,ценна,O,,
35,и,O,,
36,по,O,,
37,-,O,,
38,прежнему,O,,
39,актуальна,O,,
40,.,O,,
41,Устаревшее,O,,
42,ПО,B-TERM,,Q7397:42
43,не,O,,
44,позволяет,O,,
45,использовать,O,,
46,их,O,,
47,на,O,,
48,современных,O,,
49,машинах,B-TERM,,
50,и,O,,
51,развивать,O,,
52,в,O,,
53,дальнейшем,O,,
54,.,O,,
55,В,O,,
56,работе,O,,
57,описан,O,,
58,опыт,O,,
59,миграции,B-TERM,,Q2448077:59
60,на,O,,
61,примере,O,,
62,двух,O,,
63,приложений,B-TERM,,Q166142:63
64,–,O,,
65,Архива,O,,
66,академика,O,,
67,А,O,,
68,.,O,,
69,П,O,,
70,.,O,,
71,Ершова,O,,
72,и,O,,
73,системы,O,,
74,«,O,,
75,Библиотека,O,,
76,"»,",O,,
77,которые,O,,
78,используются,O,,
79,в,O,,
80,ИСИ,O,,
81,СО,O,,
82,РАН,O,,
83,не,O,,
84,один,O,,
85,десяток,O,,
86,лет,O,,
87,.,O,,
88,В,O,,
89,качестве,O,,
90,платформы,B-TERM,,Q241317:90
91,с,O,,
92,открытым,B-TERM,,"Q1130645:92,93"
93,кодом,I-TERM,,
94,для,O,,
95,создания,O,,
96,новых,O,,
97,приложений,B-TERM,,Q166142:97
98,был,O,,
99,выбран,O,,
100,CMF,B-TERM,,"Q170855:100,101"
101,Drupal,I-TERM,,
102,",",O,,
103,который,O,,
104,значительно,O,,
105,облегчает,O,,
106,разработку,O,,
107,и,O,,
108,перенос,O,,
109,модели,B-TERM,,"Q1172480:109,110"
110,данных,I-TERM,B-TERM,
111,.,O,,
112,Миграция,B-TERM,,Q2448077:112
113,включает,O,,
114,в,O,,
115,себя,O,,
116,реинжиниринг,B-TERM,,"Q1515051:116,117"
117,приложения,I-TERM,B-TERM,
118,с,O,,
119,сохранением,O,,
120,бизнес,B-TERM,,"Q1204997:120,121,122"
121,-,I-TERM,,
122,логики,I-TERM,,
123,",",O,,
124,модели,B-TERM,,"Q1172480:124,125"
125,данных,I-TERM,B-TERM,
126,",",O,,
127,а,O,,
128,также,O,,
129,перенос,O,,
130,самих,O,,
131,данных,B-TERM,,Q494756:131
132,.,O,,
