id,token,tag,nested_1,nested_2,wiki_id
0,Методика,B-TERM,B-TERM,,Q4291913:0
1,повышения,I-TERM,,,
2,производительности,I-TERM,B-TERM,,
3,небольших,I-TERM,I-TERM,,
4,информационных,I-TERM,I-TERM,B-TERM,"Q121182:4,5"
5,систем,I-TERM,I-TERM,I-TERM,
6,за,O,,,
7,счет,O,,,
8,оптимальной,B-TERM,,,
9,реструктуризации,I-TERM,,,
10,данных,I-TERM,,,
11,на,O,,,
12,основе,O,,,
13,многомодального,B-TERM,,,
14,распределения,I-TERM,,,
15,атрибутов,I-TERM,,,
16,Рассматривается,O,,,
17,системный,B-TERM,,,"Q1340474:17,18"
18,подход,I-TERM,,,
19,к,O,,,
20,повышению,O,,,
21,производительности,B-TERM,,,
22,небольших,I-TERM,,,
23,информационных,I-TERM,B-TERM,,"Q121182:23,24"
24,систем,I-TERM,I-TERM,,
25,за,O,,,
26,счет,O,,,
27,оптимальной,B-TERM,,,
28,реструктуризации,I-TERM,,,
29,табличных,I-TERM,,,
30,структур,I-TERM,,,
31,данных,I-TERM,,,
32,.,O,,,
33,Авторами,O,,,
34,сформулирована,O,,,
35,задача,B-TERM,B-TERM,,"Q984063:35,36"
36,оптимизации,I-TERM,I-TERM,,
37,количества,I-TERM,,,
38,информационных,I-TERM,,,
39,блоков,I-TERM,,,
40,",",O,,,
41,необходимых,O,,,
42,для,O,,,
43,выполнения,O,,,
44,группы,B-TERM,,,
45,запросов,I-TERM,,,
46,на,O,,,
47,считывание,B-TERM,,,
48,информации,I-TERM,,,
49,",",O,,,
50,предложена,O,,,
51,целевая,B-TERM,,,"Q4503723:51,52"
52,функция,I-TERM,,,
53,и,O,,,
54,структурные,B-TERM,,,
55,ограничения,I-TERM,,,
56,.,O,,,
57,Проанализирована,O,,,
58,невозможность,O,,,
59,использования,O,,,
60,грубых,B-TERM,,,
61,методов,I-TERM,,,
62,поиска,I-TERM,,,
63,оптимального,I-TERM,B-TERM,,"Q4335500:63,64"
64,решения,I-TERM,I-TERM,,
65,.,O,,,
66,Предложена,O,,,
67,методика,B-TERM,B-TERM,,Q4291913:67
68,многомодального,I-TERM,,,
69,распределения,I-TERM,,,
70,атрибутов,I-TERM,,,
71,в,O,,,
72,зависимости,O,,,
73,от,O,,,
74,частоты,B-TERM,,,
75,появления,I-TERM,,,
76,в,O,,,
77,группе,B-TERM,,,
78,запросов,I-TERM,,,
79,.,O,,,
80,Проведен,O,,,
81,эксперимент,B-TERM,,,Q101965:81
82,",",O,,,
83,подтверждающий,O,,,
84,эффективность,O,,,
85,разработанной,O,,,
86,методики,B-TERM,,,Q4291913:86
87,для,O,,,
88,небольших,O,,,
89,информационных,B-TERM,,,"Q121182:89,90"
90,систем,I-TERM,,,
91,.,O,,,
