id,token,tag,nested_1,nested_2,wiki_id
0,Коллаборативная,B-TERM,,,"Q94702:0,1"
1,фильтрация,I-TERM,,,
2,для,O,,,
3,построения,O,,,
4,рекомендаций,B-TERM,,,
5,на,O,,,
6,основе,O,,,
7,данных,B-TERM,B-TERM,,Q42848:7
8,о,I-TERM,,,
9,заказах,I-TERM,,,
10,Рассматривается,O,,,
11,возможность,O,,,
12,применения,O,,,
13,методов,B-TERM,B-TERM,,
14,коллаборативной,I-TERM,B-TERM,,"Q94702:14,15"
15,фильтрации,I-TERM,I-TERM,,
16,в,O,,,
17,процессе,O,,,
18,создания,O,,,
19,рекомендательной,B-TERM,,,"Q554950:19,20"
20,системы,I-TERM,,,
21,на,O,,,
22,основе,O,,,
23,данных,B-TERM,B-TERM,B-TERM,Q42848:23
24,о,I-TERM,I-TERM,,
25,заказах,I-TERM,I-TERM,,
26,документов,I-TERM,,,
27,из,O,,,
28,библиотечного,B-TERM,,,
29,фонда,I-TERM,,,
30,.,O,,,
31,Приводится,O,,,
32,сравнительный,B-TERM,,,
33,экспериментальный,I-TERM,,,
34,анализ,I-TERM,,,
35,трех,O,,,
36,методов,B-TERM,B-TERM,,
37,коллаборативной,I-TERM,B-TERM,,"Q94702:37,38"
38,фильтрации,I-TERM,I-TERM,,
39,:,O,,,
40,на,O,,,
41,основе,O,,,
42,документов,B-TERM,,,Q49848:42
43,",",O,,,
44,на,O,,,
45,основе,O,,,
46,пользователей,B-TERM,,,Q613354:46
47,и,O,,,
48,на,O,,,
49,основе,O,,,
50,гибридного,B-TERM,,,
51,метода,I-TERM,B-TERM,,Q1799072:51
52,",",O,,,
53,являющегося,O,,,
54,комбинацией,O,,,
55,первых,O,,,
56,двух,O,,,
57,методов,B-TERM,,,Q1799072:57
58,.,O,,,
