id,token,tag,nested_1,nested_2,wiki_id
0,Обобщенный,O,,,
1,алгоритм,B-TERM,B-TERM,,Q8366:1
2,защищенного,I-TERM,B-TERM,,
3,информационного,I-TERM,I-TERM,B-TERM,"Q11024:3,4"
4,обмена,I-TERM,I-TERM,I-TERM,
5,для,O,,,
6,беспроводных,B-TERM,,,
7,систем,I-TERM,B-TERM,,
8,безопасности,I-TERM,I-TERM,,
9,с,O,,,
10,усложненной,O,,,
11,имитовставкой,B-TERM,,,Q1052621:11
,,,,,
12,На,O,,,
13,основании,O,,,
14,обобщенного,O,,,
15,алгоритма,B-TERM,B-TERM,,Q8366:15
16,защищенного,I-TERM,B-TERM,,
17,информационного,I-TERM,I-TERM,B-TERM,"Q11024:17,18"
18,обмена,I-TERM,I-TERM,I-TERM,
19,для,O,,,
20,беспроводных,B-TERM,,,
21,систем,I-TERM,B-TERM,,
22,безопасности,I-TERM,I-TERM,,
23,и,O,,,
24,защищенного,O,,,
25,устройства,O,,,
26,управления,O,,,
27,группой,O,,,
28,роботов,O,,,
29,разработан,O,,,
30,обобщенный,O,,,
31,алгоритм,B-TERM,B-TERM,,Q8366:31
32,защищенного,I-TERM,B-TERM,,
33,информационного,I-TERM,I-TERM,B-TERM,"Q11024:33,34"
34,обмена,I-TERM,I-TERM,I-TERM,
35,с,O,,,
36,усложненной,O,,,
37,имитовставкой,B-TERM,,,Q1052621:37
38,для,O,,,
39,беспроводных,B-TERM,,,
40,систем,I-TERM,B-TERM,,
41,безопасности,I-TERM,I-TERM,,
42,.,O,,,
43,Данный,O,,,
44,алгоритм,B-TERM,,,Q8366:44
45,основан,O,,,
46,на,O,,,
47,использовании,O,,,
48,в,O,,,
49,управляющем,O,,,
50,блоке,O,,,
51,контроля,O,,,
52,программируемого,O,,,
53,постоянного,O,,,
54,запоминающего,O,,,
55,устройства,O,,,
56,уникальных,O,,,
57,идентификационных,O,,,
58,данных,O,,,
59,",",O,,,
60,в,O,,,
61,котором,O,,,
62,хранится,O,,,
63,таблица,O,,,
64,уникальных,O,,,
65,кодовых,B-TERM,,,
66,последовательностей,I-TERM,,,
67,",",O,,,
68,присваиваемых,O,,,
69,каждому,O,,,
70,контролируемому,O,,,
71,объекту,O,,,
72,.,O,,,
73,Имитозащищенность,B-TERM,,,
74,передаваемых,O,,,
75,команд,O,,,
76,обеспечивается,O,,,
77,за,O,,,
78,счет,O,,,
79,добавления,O,,,
80,к,O,,,
81,ним,O,,,
82,суммы,O,,,
83,по,O,,,
84,правилу,B-TERM,,,"Q498186:84,85"
85,XOR,I-TERM,,,
86,исходного,O,,,
87,значения,O,,,
88,первой,O,,,
89,псевдослучайной,B-TERM,,,"Q3355630:89,90"
90,последовательности,I-TERM,,,
91,ПСП,I-TERM,B-TERM,,Q3355630:91
92,-,O,,,
93,1,O,,,
94,и,O,,,
95,уникальных,O,,,
96,идентификационных,O,,,
97,данных,O,,,
98,контролируемого,O,,,
99,объекта,O,,,
100,.,O,,,
101,С,O,,,
102,помощью,O,,,
103,разработанного,O,,,
104,алгоритма,B-TERM,,,Q8366:104
105,(,O,,,
106,при,O,,,
107,соответствующей,O,,,
108,адаптации,O,,,
109,),O,,,
110,можно,O,,,
111,затруднить,O,,,
112,стороннему,O,,,
113,наблюдателю,O,,,
114,выявление,O,,,
115,проверяемого,O,,,
116,в,O,,,
117,данный,O,,,
118,момент,O,,,
119,времени,O,,,
120,контролируемого,O,,,
121,объекта,O,,,
122,",",O,,,
123,одновременно,O,,,
124,осуществить,O,,,
125,индивидуальную,O,,,
126,проверку,O,,,
127,требуемого,O,,,
128,контролируемого,O,,,
129,объекта,O,,,
130,на,O,,,
131,подлинность,O,,,
132,и,O,,,
133,наличие,O,,,
134,всех,O,,,
135,контролируемых,O,,,
136,объектов,O,,,
137,в,O,,,
138,радиусе,O,,,
139,связи,O,,,
140,.,O,,,
141,Разработанный,O,,,
142,алгоритм,B-TERM,,,Q8366:142
143,с,O,,,
144,усложненной,O,,,
145,имитовставкой,B-TERM,,,Q1052621:145
146,может,O,,,
147,найти,O,,,
148,применение,O,,,
149,в,O,,,
150,различных,O,,,
151,областях,O,,,
152,беспроводных,B-TERM,,,
153,систем,I-TERM,B-TERM,,
154,безопасности,I-TERM,I-TERM,,
155,",",O,,,
156,в,O,,,
157,которых,O,,,
158,требуется,O,,,
159,защита,O,,,
160,передаваемых,O,,,
161,по,O,,,
162,радиоканалу,O,,,
163,тревожных,O,,,
164,и,O,,,
165,служебных,O,,,
166,сообщений,O,,,
167,от,O,,,
168,несанкционированного,O,,,
169,доступа,O,,,
170,.,O,,,
