id,token,tag,nested_1,wiki_id
0,Программирование,B-TERM,,
1,мобильных,I-TERM,,
2,веб,I-TERM,B-TERM,
3,-,I-TERM,I-TERM,
4,систем,I-TERM,I-TERM,
5,для,I-TERM,,
6,адаптивного,I-TERM,B-TERM,"Q2920411:6,7"
7,тестирования,I-TERM,I-TERM,
8,Рассматривается,O,,
9,использование,O,,
10,мобильных,B-TERM,,"Q5082128:10,11"
11,устройств,I-TERM,,
12,для,O,,
13,тестирования,B-TERM,,Q188522:13
14,по,O,,
15,сравнению,O,,
16,с,O,,
17,веб,B-TERM,,
18,-,I-TERM,,
19,системами,I-TERM,,
20,оценки,I-TERM,,
21,знаний,I-TERM,,
22,.,O,,
23,Многие,O,,
24,образовательные,B-TERM,,"Q5341295:24,25"
25,организации,I-TERM,,
26,пытаются,O,,
27,снизить,O,,
28,стоимость,B-TERM,,
29,экзаменов,I-TERM,,
30,",",O,,
31,нагрузку,B-TERM,,
32,и,O,,
33,задержку,B-TERM,,
34,подсчета,I-TERM,,
35,баллов,I-TERM,,
36,",",O,,
37,а,O,,
38,также,O,,
39,человеческие,B-TERM,,"Q5937752:39,40"
40,ошибки,I-TERM,,
41,.,O,,
42,Кроме,O,,
43,того,O,,
44,",",O,,
45,они,O,,
46,пытаются,O,,
47,повысить,O,,
48,точность,B-TERM,,
49,и,O,,
50,эффективность,B-TERM,,
51,тестирования,I-TERM,B-TERM,Q188522:51
52,.,O,,
53,В,O,,
54,последнее,O,,
55,время,O,,
56,большинство,O,,
57,экзаменационных,B-TERM,,
58,комиссий,I-TERM,,
59,используют,O,,
60,компьютерное,B-TERM,,"Q2920411:60,61,62"
61,адаптивное,I-TERM,,
62,тестирование,I-TERM,B-TERM,
63,(,O,,
64,CAT,B-TERM,,Q2920411:64
65,),O,,
66,в,O,,
67,качестве,O,,
68,метода,B-TERM,,
69,широкомасштабного,I-TERM,,
70,тестирования,I-TERM,B-TERM,
71,.,O,,
72,Мы,O,,
73,рассматриваем,O,,
74,создание,O,,
75,тестовых,O,,
76,задач,O,,
77,для,O,,
78,адаптивного,B-TERM,,
79,тестирования,I-TERM,B-TERM,Q188522:79
80,.,O,,
81,Предложен,O,,
82,алгоритм,B-TERM,,
83,функционирования,I-TERM,,
84,адаптивной,I-TERM,B-TERM,"Q2497134:84,85"
85,системы,I-TERM,I-TERM,
86,.,O,,
87,Пример,O,,
88,тестовых,O,,
89,задач,O,,
90,для,O,,
91,проведения,O,,
92,адаптивного,B-TERM,,
93,тестирования,I-TERM,B-TERM,Q188522:93
94,приведен,O,,
95,на,O,,
96,основе,O,,
97,предлагаемой,O,,
98,модели,B-TERM,,Q1979154:98
99,.,O,,
100,Результаты,O,,
101,показывают,O,,
102,",",O,,
103,что,O,,
104,большинство,O,,
105,систем,B-TERM,,
106,MAT,I-TERM,,
107,(,O,,
108,мобильные,B-TERM,,
109,адаптивные,I-TERM,B-TERM,
110,тесты,I-TERM,I-TERM,
111,),O,,
112,придают,O,,
113,приоритет,O,,
114,безопасности,B-TERM,,Q10566551:114
115,",",O,,
116,надежности,B-TERM,,Q70781625:116
117,и,O,,
118,ремонтопригодности,B-TERM,,
119,.,O,,
120,Тем,O,,
121,не,O,,
122,менее,O,,
123,",",O,,
124,они,O,,
125,не,O,,
126,предлагают,O,,
127,испытуемому,O,,
128,никакой,O,,
129,дополнительной,O,,
130,поддержки,O,,
131,и,O,,
132,функциональности,O,,
133,.,O,,
134,Кроме,O,,
135,того,O,,
136,",",O,,
137,обратная,B-TERM,,
138,связь,I-TERM,,
139,с,O,,
140,испытуемым,O,,
141,ограничена,O,,
142,",",O,,
143,и,O,,
144,представление,O,,
145,предметов,O,,
146,оставляет,O,,
147,желать,O,,
148,лучшего,O,,
149,.,O,,
150,Рекомендации,O,,
151,сделаны,O,,
152,для,O,,
153,повышения,O,,
154,общего,O,,
155,качества,O,,
156,системы,B-TERM,B-TERM,Q58778:156
157,CAT,I-TERM,B-TERM,Q2920411:157
158,.,O,,
159,Например,O,,
160,",",O,,
161,альтернативные,B-TERM,,
162,мультимедийные,I-TERM,,
163,элементы,I-TERM,,
164,должны,O,,
165,быть,O,,
166,доступны,O,,
167,",",O,,
168,чтобы,O,,
169,испытуемый,O,,
170,выбирал,O,,
171,предпочтительный,O,,
172,тип,O,,
173,носителя,B-TERM,,Q1076968:173
174,.,O,,
175,Обратная,B-TERM,,
176,связь,I-TERM,,
177,может,O,,
178,быть,O,,
179,улучшена,O,,
180,путем,O,,
181,предоставления,O,,
182,дополнительной,O,,
183,информации,O,,
184,испытуемому,O,,
185,или,O,,
186,предоставления,O,,
187,информации,O,,
188,в,O,,
189,любое,O,,
190,время,O,,
191,",",O,,
192,когда,O,,
193,испытуемый,O,,
194,пожелает,O,,
195,.,O,,
