id,token,tag,nested_1,wiki_id
0,Системы,B-TERM,,
1,автоматизированной,I-TERM,,
2,оценки,I-TERM,,
3,заданий,I-TERM,,
4,по,I-TERM,,
5,программированию,I-TERM,,
6,:,O,,
7,разработка,B-TERM,,Q638608:7
8,",",O,,
9,использование,B-TERM,,
10,и,O,,
11,перспективы,B-TERM,,
12,В,O,,
13,статье,O,,
14,приведен,O,,
15,обзор,O,,
16,существующих,O,,
17,систем,B-TERM,,
18,проверки,I-TERM,,
19,заданий,I-TERM,,
20,по,I-TERM,,
21,программированию,I-TERM,,
22,",",O,,
23,кратко,O,,
24,описано,O,,
25,современное,O,,
26,состояние,O,,
27,архитектуры,B-TERM,,
28,системы,I-TERM,B-TERM,
29,NSUts,I-TERM,I-TERM,
30,",",O,,
31,созданной,O,,
32,в,O,,
33,Новосибирском,O,,
34,государственном,O,,
35,университете,O,,
36,",",O,,
37,и,O,,
38,практика,O,,
39,ее,O,,
40,использования,O,,
41,в,O,,
42,учебном,B-TERM,,
43,процессе,I-TERM,,
44,и,O,,
45,в,O,,
46,олимпиадах,B-TERM,,"Q2112179:46,47,48"
47,по,I-TERM,,
48,программированию,I-TERM,,
49,различного,O,,
50,уровня,O,,
51,.,O,,
52,Приведен,O,,
53,анализ,B-TERM,,
54,опыта,I-TERM,,
55,использования,I-TERM,,
56,таких,I-TERM,,
57,систем,I-TERM,B-TERM,Q58778:57
58,и,O,,
59,обозначены,O,,
60,перспективы,B-TERM,,
61,их,I-TERM,,
62,развития,I-TERM,,
63,.,O,,
