id,token,tag
0,Обосновывается,O
1,мифологический,B-TERM
2,ресурс,I-TERM
3,семейно,B-TERM
4,-,I-TERM
5,брачного,I-TERM
6,функционирования,I-TERM
7,.,O
8,Миф,B-TERM
9,понимается,O
10,",",O
11,согласно,O
12,А,O
13,.,O
14,Ф,O
15,.,O
16,Лосеву,O
17,",",O
18,как,O
19,смыслообразующая,B-TERM
20,основа,I-TERM
21,жизни,I-TERM
22,.,O
23,В,O
24,качестве,O
25,методологического,B-TERM
26,инструментария,I-TERM
27,раскрытия,O
28,темы,O
29,применяется,O
30,пентадная,B-TERM
31,диалектика,I-TERM
32,в,O
33,авторской,O
34,обработке,O
35,профессора,O
36,В,O
37,.,O
38,Ю,O
39,.,O
40,Завьялова,O
41,",",O
42,автора,O
43,отечественного,O
44,направления,O
45,дианализа,B-TERM
46,.,O
