id,token,tag
0,Изучается,
1,феномен,B-TERM
2,полноты,B-TERM
3,сознания,I-TERM
4,и,
5,проводится,
6,предварительная,
7,адаптация,B-TERM
8,опросника,B-TERM
9,внимательности,I-TERM
10,и,I-TERM
11,осознанности,I-TERM
12,MAAS,I-TERM
13,",",
14,разработанная,
15,K,
16,.,
17,Brown,
18,и,
19,R,
20,.,
21,Ryan,
22,.,
23,Были,
24,получены,
25,умеренные,
26,значения,B-TERM
27,альфа,I-TERM
28,Кронбаха,I-TERM
29,(,
30,0,
31,",",
32,76,
33,),
34,и,
35,коэффициента,B-TERM
36,Спирмена,I-TERM
37,–,I-TERM
38,Брауна,I-TERM
39,(,
40,0,
41,",",
42,74,
43,),
44,",",
45,что,
46,свидетельствует,
47,об,
48,удовлетворительной,
49,внутренней,B-TERM
50,согласованности,I-TERM
51,пунктов,
52,опросника,B-TERM
53,.,
54,Структуры,B-TERM
55,корреляций,I-TERM
56,оригинальной,
57,и,
58,русскоязычной,
59,версии,B-TERM
60,шкалы,B-TERM
61,достаточно,
62,похожи,
63,",",
64,что,
65,может,
66,косвенно,
67,указывать,
68,на,
69,сохранение,
70,основного,
71,смысла,
72,переведенных,
73,на,
74,русский,
75,язык,
76,вопросов,
77,.,
78,Были,
79,получены,
80,значимые,
81,связи,
82,с,
83,психологическим,
84,благополучием,
85,",",
86,продуктивностью,B-TERM
87,и,
88,переключаемостью,B-TERM
89,внимания,I-TERM
90,",",
91,обратные,
92,корреляции,B-TERM
93,с,
94,вербально,B-TERM
95,-,I-TERM
96,перцептивной,I-TERM
97,интерференцией,I-TERM
98,.,
