id,token,tag
0,Анализируется,
1,российско,B-TERM
2,-,I-TERM
3,таджикистанские,I-TERM
4,взаимоотношения,I-TERM
5,и,
6,их,
7,освещение,
8,в,
9,СМИ,B-TERM
10,Таджикистана,
11,.,
12,В,
13,качестве,
14,основных,
15,тем,
16,выделяются,
17,проблемы,
18,трудовой,B-TERM
19,миграции,I-TERM
20,",",
21,энергетики,B-TERM
22,и,
23,военного,B-TERM
24,сотрудничества,I-TERM
25,.,
26,Акцентируется,
27,внимание,
28,на,
29,роли,
30,СМИ,B-TERM
31,в,
32,контексте,
33,национальной,B-TERM
34,безопасности,I-TERM
35,и,
36,евразийской,B-TERM
37,интеграции,I-TERM
38,.,
