id,token,tag
0,Рассматривается,
1,репрезентация,B-TERM
2,в,
3,рекламных,B-TERM
4,текстах,I-TERM
5,ценностей,B-TERM
6,",",
7,значимых,
8,для,
9,целевой,B-TERM
10,аудитории,I-TERM
11,.,
12,Выполнен,
13,анализ,B-TERM
14,представления,
15,ценностей,B-TERM
16,традиционных,I-TERM
17,(,
18,семейные,B-TERM
19,ценности,I-TERM
20,",",
21,дружба,B-TERM
22,",",
23,патриотизм,B-TERM
24,),
25,",",
26,рациональных,B-TERM
27,ценностей,I-TERM
28,современного,B-TERM
29,социума,I-TERM
30,(,
31,успех,B-TERM
32,",",
33,безупречность,B-TERM
34,",",
35,состязательность,B-TERM
36,),
37,",",
38,гедонистических,B-TERM
39,ценностей,I-TERM
40,(,
41,чувственные,B-TERM
42,удовольствия,I-TERM
43,",",
44,легкая,B-TERM
45,жизнь,I-TERM
46,",",
47,уход,B-TERM
48,от,I-TERM
49,реальности,I-TERM
50,в,I-TERM
51,мир,I-TERM
52,виртуального,I-TERM
53,),
54,.,
