id,token,tag
0,Статья,
1,посвящена,
2,актуальным,
3,вопросам,
4,формирования,
5,авторского,B-TERM
6,бренда,I-TERM
7,.,
8,На,
9,примере,
10,зарубежных,
11,проектов,
12,рассматривается,
13,издательская,B-TERM
14,интерпретация,I-TERM
15,произведений,
16,британских,
17,авторов,
18,.,
19,Изучение,
20,зарубежного,
21,издательского,
22,опыта,
23,создания,
24,авторских,B-TERM
25,брендов,I-TERM
26,представляет,
27,особый,
28,интерес,
29,для,
30,казахстанского,B-TERM
31,книгоиздания,I-TERM
32,",",
33,активно,
34,строящего,
35,новую,
36,издательскую,
37,политику,
38,в,
39,области,
40,промоушена,B-TERM
41,и,
42,рекламы,B-TERM
43,.,
