id,token,tag
0,Рассматривается,
1,один,
2,из,
3,аспектов,B-TERM
4,интертекстуальности,I-TERM
5,в,
6,СМИ,B-TERM
7,–,
8,словообразовательная,B-TERM
9,интертекстуальная,I-TERM
10,деривация,I-TERM
11,:,
12,анализируются,
13,наиболее,
14,частотные,
15,случаи,
16,употребления,
17,словообразовательных,B-TERM
18,дериватов,I-TERM
19,",",
20,образованных,
21,на,
22,базе,
23,интертекстемы,B-TERM
24,",",
25,в,
26,русскоязычных,B-TERM
27,печатных,I-TERM
28,средствах,I-TERM
29,массовой,I-TERM
30,информации,I-TERM
31,начала,
32,XXI,
33,в,
34,.,
