id,token,tag
0,С,O
1,целью,O
2,снижения,O
3,кардиотоксического,B-TERM
4,действия,I-TERM
5,антрациклинов,B-TERM
6,в,O
7,качестве,O
8,"""",O
9,ловушки,O
10,"""",O
11,свободных,B-TERM
12,радикалов,I-TERM
13,кислорода,B-TERM
14,у,O
15,160,O
16,больных,O
17,местнораспространённым,B-TERM
18,раком,I-TERM
19,молочной,I-TERM
20,железы,I-TERM
21,",",O
22,рандомизированным,O
23,"""",O
24,методом,B-TERM
25,конвертов,I-TERM
26,"""",O
27,",",O
28,использован,O
29,препарат,O
30,реамберин,B-TERM
31,.,O
32,В,O
33,группе,O
34,больных,O
35,",",O
36,получивших,O
37,химиотерапию,B-TERM
38,по,O
39,схеме,O
40,CAF,B-TERM
41,с,O
42,реамберином,B-TERM
43,",",O
44,кардиальные,B-TERM
45,жалобы,I-TERM
46,",",O
47,метаболические,B-TERM
48,изменения,I-TERM
49,по,O
50,данным,O
51,ЭКГ,B-TERM
52,",",O
53,экстрасистолия,B-TERM
54,по,O
55,данным,O
56,холтеровского,B-TERM
57,мониторирования,I-TERM
58,отмечались,O
59,статистически,O
60,достоверно,O
61,реже,O
62,",",O
63,чем,O
64,в,O
65,группе,O
66,сравнения,O
67,.,O
68,Использование,O
69,реамберина,B-TERM
70,позволило,O
71,в,O
72,значительной,O
73,степени,O
74,снизить,O
75,кардиотоксическое,B-TERM
76,действие,I-TERM
77,антрациклинов,B-TERM
78,при,O
79,проведении,O
80,химиотерапии,B-TERM
81,у,O
82,больных,O
83,местнораспространённым,B-TERM
84,раком,I-TERM
85,молочной,I-TERM
86,железы,I-TERM
87,.,O
