id,token,tag
0,Исследован,O
1,генетический,B-TERM
2,полиморфизм,I-TERM
3,ферментов,B-TERM
4,метаболизма,I-TERM
5,эстрогенов,I-TERM
6,:,O
7,цитохромов,B-TERM
8,P450,I-TERM
9,(,O
10,CYP,B-TERM
11,),O
12,1A1,B-TERM
13,и,O
14,1A2,B-TERM
15,",",O
16,CYP19,B-TERM
17,(,O
18,Ароматаза,B-TERM
19,),O
20,",",O
21,сульфоотрансфераза,B-TERM
22,(,O
23,SULT,B-TERM
24,),O
25,1A1,B-TERM
26,170,O
27,-,O
28,ти,O
29,женщин,O
30,с,O
31,миомой,B-TERM
32,матки,I-TERM
33,и,O
34,170,O
35,-,O
36,ти,O
37,здоровых,O
38,женщин,O
39,.,O
40,Достоверных,O
41,различий,O
42,в,O
43,частоте,O
44,встречаемости,O
45,мутантных,B-TERM
46,аллелей,I-TERM
47,генов,I-TERM
48,CYP1A1,B-TERM
49,(,O
50,MspI,B-TERM
51,полиморфизм,I-TERM
52,),O
53,и,O
54,CYP19,B-TERM
55,(,O
56,C264,B-TERM
57,-,I-TERM
58,T,I-TERM
59,),O
60,больных,O
61,и,O
62,здоровых,O
63,женщин,O
64,выявлено,O
65,не,O
66,было,O
67,.,O
68,Частота,O
69,мутантного,B-TERM
70,аллеля,I-TERM
71,гена,I-TERM
72,CYP1A2,B-TERM
73,(,O
74,A734,B-TERM
75,-,I-TERM
76,C,I-TERM
77,),O
78,была,O
79,выше,O
80,(,O
81,21,O
82,",",O
83,8,O
84,%,O
85,",",O
86,OR,O
87,#ERROR!,O
88,0,O
89,",",O
90,71,O
91,",",O
92,P,O
93,#ERROR!,O
94,0,O
95,",",O
96,97,O
97,),O
98,у,O
99,больных,O
100,женщин,O
101,по,O
102,сравнению,O
103,с,O
104,группой,O
105,контроля,O
106,(,O
107,16,O
108,",",O
109,5,O
110,%,O
111,),O
112,.,O
113,Частота,O
114,гетерозиготного,B-TERM
115,генотипа,I-TERM
116,CYP1A2,B-TERM
117,*,O
118,1A,O
119,/,O
120,1F,O
121,(,O
122,38,O
123,",",O
124,8,O
125,%,O
126,",",O
127,OR,O
128,#ERROR!,O
129,1,O
130,",",O
131,29,O
132,",",O
133,P,O
134,#ERROR!,O
135,0,O
136,",",O
137,37,O
138,),O
139,была,O
140,также,O
141,выше,O
142,по,O
143,сравнению,O
144,со,O
145,здоровыми,O
146,женщинами,O
147,(,O
148,32,O
149,",",O
150,9,O
151,%,O
152,),O
153,.,O
154,Выявлено,O
155,достоверное,O
156,снижение,O
157,частоты,O
158,встречаемости,O
159,мутантного,B-TERM
160,аллеля,I-TERM
161,гена,I-TERM
162,SULT1A1,B-TERM
163,(,O
164,G638,B-TERM
165,-,I-TERM
166,A,I-TERM
167,),O
168,у,O
169,женщин,O
170,с,O
171,миомой,B-TERM
172,(,O
173,34,O
174,",",O
175,7,O
176,%,O
177,",",O
178,OR,O
179,#ERROR!,O
180,0,O
181,",",O
182,60,O
183,",",O
184,P,O
185,#ERROR!,O
186,0,O
187,",",O
188,1,O
189,),O
190,по,O
191,сравнению,O
192,с,O
193,группой,O
194,контроля,O
195,(,O
196,47,O
197,",",O
198,1,O
199,%,O
200,),O
201,.,O
202,Кроме,O
203,того,O
204,",",O
205,наблюдается,O
206,снижение,O
207,частоты,O
208,встречаемости,O
209,гомозигот,B-TERM
210,мутантного,B-TERM
211,типа,I-TERM
212,больных,O
213,:,O
214,9,O
215,",",O
216,4,O
217,(,O
218,OR,O
219,#ERROR!,O
220,0,O
221,",",O
222,25,O
223,",",O
224,P,O
225,#ERROR!,O
226,0,O
227,",",O
228,6,O
229,),O
230,по,O
231,сравнению,O
232,с,O
233,группой,O
234,контроля,O
235,(,O
236,29,O
237,",",O
238,4,O
239,%,O
240,),O
241,.,O
242,Также,O
243,наблюдается,O
244,снижение,O
245,частоты,O
246,встречаемости,O
247,гетерозиготного,B-TERM
248,генотипа,I-TERM
249,SULT1A1,B-TERM
250,*,O
251,1,O
252,/,O
253,2,O
254,в,O
255,группе,O
256,с,O
257,доброкачественными,B-TERM
258,новообразованиями,I-TERM
259,(,O
260,50,O
261,",",O
262,6,O
263,%,O
264,",",O
265,OR,O
266,#ERROR!,O
267,1,O
268,",",O
269,88,O
270,",",O
271,P,O
272,#ERROR!,O
273,0,O
274,",",O
275,6,O
276,),O
277,по,O
278,сравнению,O
279,с,O
280,группой,O
281,контроля,O
282,(,O
283,35,O
284,",",O
285,3,O
286,%,O
287,),O
288,.,O
289,Полученные,O
290,результаты,O
291,свидетельствуют,O
292,о,O
293,возможном,O
294,вовлечении,O
295,ферментов,B-TERM
296,SULT1A1,B-TERM
297,и,O
298,CYP1A2,B-TERM
299,в,O
300,патогенез,B-TERM
301,миомы,B-TERM
302,матки,I-TERM
303,.,O
304,Тогда,O
305,в,O
306,группу,O
307,риска,O
308,этого,O
309,заболевания,O
310,попадают,O
311,женщины,O
312,",",O
313,имеющие,O
314,сочетание,O
315,дикого,O
316,SULT1A1,B-TERM
317,и,O
318,мутантного,B-TERM
319,CYP1A2,I-TERM
320,генотипов,B-TERM
321,.,O
