id,token,tag
0,Под,O
1,наблюдением,O
2,находились,O
3,145,O
4,мужчин,O
5,",",O
6,из,O
7,них,O
8,112,O
9,злоупотребляющих,O
10,алкоголем,O
11,",",O
12,в,O
13,возрасте,O
14,от,O
15,26,O
16,до,O
17,60,O
18,лет,O
19,.,O
20,Обследование,B-TERM
21,проводилось,O
22,в,O
23,сроки,O
24,воздержания,O
25,от,O
26,приёма,O
27,алкоголя,O
28,от,O
29,15,O
30,до,O
31,60,O
32,дней,O
33,.,O
34,Всем,O
35,участникам,O
36,проводились,O
37,клинические,B-TERM
38,",",O
39,биохимические,B-TERM
40,и,O
41,электрокардиографические,B-TERM
42,обследования,I-TERM
43,.,O
44,Измерение,O
45,электрических,B-TERM
46,и,O
47,вязкоупругих,B-TERM
48,характеристик,I-TERM
49,эритроцитов,I-TERM
50,осуществляли,O
51,методом,O
52,диэлектрофореза,B-TERM
53,.,O
54,Экспериментально,O
55,установлено,O
56,",",O
57,что,O
58,жёсткость,B-TERM
59,",",O
60,вязкость,B-TERM
61,",",O
62,электрическая,B-TERM
63,проводимость,I-TERM
64,мембраны,B-TERM
65,эритроцитов,I-TERM
66,увеличиваются,O
67,при,O
68,алкогольном,B-TERM
69,поражении,I-TERM
70,сердца,I-TERM
71,(,O
72,АПС,B-TERM
73,),O
74,.,O
75,Выявлены,O
76,достоверные,O
77,различия,O
78,в,O
79,показателях,O
80,жёсткости,B-TERM
81,",",O
82,вязкости,B-TERM
83,",",O
84,степени,B-TERM
85,поляризуемости,I-TERM
86,",",O
87,проводимости,B-TERM
88,мембраны,B-TERM
89,эритроцитов,I-TERM
90,между,O
91,больнымис,O
92,АПС,B-TERM
93,",",O
94,пациентами,O
95,",",O
96,злоупотребляющими,O
97,алкоголем,O
98,без,O
99,признаков,O
100,АПС,B-TERM
101,и,O
102,группой,O
103,здоровых,O
104,лиц,O
105,.,O
106,Установлены,O
107,корреляции,B-TERM
108,между,O
109,электрическими,B-TERM
110,и,O
111,вязко,B-TERM
112,-,I-TERM
113,упругими,I-TERM
114,характеристиками,I-TERM
115,эритроцитов,I-TERM
116,и,O
117,показателями,O
118,биоэлектрической,B-TERM
119,активности,I-TERM
120,миокарда,I-TERM
121,(,O
122,по,O
123,данным,O
124,ЭКГ,B-TERM
125,),O
126,",",O
127,традиционными,O
128,биохимическими,B-TERM
129,параметрами,I-TERM
130,.,O
