id,token,tag
0,Изучен,O
1,состав,O
2,иридоидов,B-TERM
3,в,O
4,сырье,B-TERM
5,растений,O
6,рода,O
7,вероника,B-TERM
8,",",O
9,произрастающих,O
10,в,O
11,Предуралье,O
12,.,O
13,Проведена,O
14,оценка,O
15,содержания,O
16,иридоидов,B-TERM
17,в,O
18,экстрактах,B-TERM
19,из,O
20,сырья,O
21,Veronica,B-TERM
22,оfficinalis,I-TERM
23,L,I-TERM
24,.,I-TERM
25,",",O
26,V,B-TERM
27,.,I-TERM
28,chamaedrys,I-TERM
29,L,I-TERM
30,.,I-TERM
31,",",O
32,V,B-TERM
33,.,I-TERM
34,teucrium,I-TERM
35,L,I-TERM
36,.,I-TERM
37,",",O
38,V,B-TERM
39,.,I-TERM
40,spicata,I-TERM
41,L,I-TERM
42,.,I-TERM
43,",",O
44,V,B-TERM
45,.,I-TERM
46,lonqifolia,I-TERM
47,L,I-TERM
48,.,I-TERM
49,",",O
50,V,B-TERM
51,.,I-TERM
52,spuria,I-TERM
53,L,I-TERM
54,.,I-TERM
55,",",O
56,V,B-TERM
57,.,I-TERM
58,incana,I-TERM
59,L,I-TERM
60,.,I-TERM
61,Оценено,O
62,бактериостатическое,B-TERM
63,действие,I-TERM
64,экстрактов,B-TERM
65,вероник,B-TERM
66,на,O
67,примере,O
68,Staphylococcus,B-TERM
69,aureus,I-TERM
70,и,O
71,E,O
72,.,O
73,сoli,O
74,.,O
75,Установлена,O
76,корреляция,B-TERM
77,между,O
78,содержанием,O
79,иридоидов,B-TERM
80,и,O
81,бактериостатическим,B-TERM
82,действием,I-TERM
83,экстрактов,B-TERM
84,вероник,B-TERM
85,.,O
