id,token,tag
0,Изучены,O
1,особенности,O
2,изменения,O
3,концентрации,B-TERM
4,цитокинов,B-TERM
5,в,O
6,сыворотке,B-TERM
7,крови,I-TERM
8,у,O
9,детей,O
10,со,O
11,злокачественными,B-TERM
12,новообразованиями,I-TERM
13,до,O
14,проведения,O
15,интенсивных,O
16,курсов,O
17,комбинированной,B-TERM
18,полихимио,I-TERM
19,-,O
20,и,O
21,радиотерапии,B-TERM
22,.,O
23,Первую,O
24,(,O
25,основную,O
26,),O
27,группу,O
28,составили,O
29,больные,O
30,с,O
31,различными,O
32,формами,O
33,онкогематологических,B-TERM
34,заболеваний,I-TERM
35,с,O
36,проявлениями,O
37,анемии,B-TERM
38,(,O
39,n,O
40,=,O
41,50,O
42,),O
43,",",O
44,вторую,O
45,–,O
46,онкогематологические,O
47,пациенты,O
48,без,O
49,клинико,O
50,-,O
51,лабораторных,O
52,признаков,O
53,анемического,B-TERM
54,синдрома,I-TERM
55,(,O
56,группа,O
57,сравнения,O
58,),O
59,(,O
60,n,O
61,=,O
62,30,O
63,),O
64,.,O
65,Контрольная,O
66,группа,O
67,–,O
68,30,O
69,практически,O
70,здоровых,O
71,детей,O
72,.,O
73,Установлено,O
74,повышение,O
75,содержания,O
76,как,O
77,провоспалительных,B-TERM
78,",",O
79,так,O
80,и,O
81,противовоспалительных,B-TERM
82,цитокинов,I-TERM
83,в,O
84,основной,O
85,группе,O
86,",",O
87,превосходящие,O
88,в,O
89,2,O
90,",",O
91,4,O
92,–,O
93,5,O
94,",",O
95,1,O
96,раза,O
97,значения,O
98,группы,O
99,сравнения,O
100,и,O
101,7,O
102,",",O
103,0,O
104,–,O
105,17,O
106,",",O
107,9,O
108,раза,O
109,–,O
110,группы,O
111,контроля,O
112,",",O
113,что,O
114,указывает,O
115,на,O
116,активное,O
117,участие,O
118,цитокинов,B-TERM
119,в,O
120,развитии,O
121,анемического,B-TERM
122,синдрома,I-TERM
123,у,O
124,детей,O
125,с,O
126,онкогематологическими,B-TERM
127,заболеваниями,I-TERM
128,.,O
129,Определено,O
130,",",O
131,что,O
132,степень,O
133,изменения,O
134,содержания,O
135,цитокинов,B-TERM
136,может,O
137,указывать,O
138,на,O
139,распространенность,O
140,и,O
141,тяжесть,O
142,течения,O
143,онкологического,B-TERM
144,процесса,I-TERM
145,у,O
146,детей,O
147,.,O
148,Эти,O
149,данные,O
150,дают,O
151,основание,O
152,предположить,O
153,",",O
154,что,O
155,анемический,B-TERM
156,синдром,I-TERM
157,при,O
158,онкологическом,B-TERM
159,процессе,I-TERM
160,",",O
161,приводя,O
162,к,O
163,цитокиновой,B-TERM
164,дезадаптации,I-TERM
165,",",O
166,является,O
167,показателем,O
168,его,O
169,избыточной,O
170,распространенности,O
171,и,O
172,тяжести,O
173,.,O
