id,token,tag
0,Изучено,O
1,состояние,O
2,общего,O
3,имунного,B-TERM
4,статуса,I-TERM
5,и,O
6,экспрессия,B-TERM
7,м,B-TERM
8,-,I-TERM
9,РНК,I-TERM
10,интерлейкина,I-TERM
11,1,O
12,",",O
13,4,O
14,",",O
15,6,O
16,",",O
17,10,O
18,",",O
19,фактора,B-TERM
20,невроза,I-TERM
21,опухоли,I-TERM
22,-,I-TERM
23,альфа,I-TERM
24,(,O
25,ФНО,B-TERM
26,-,I-TERM
27,α,I-TERM
28,),O
29,у,O
30,больных,O
31,с,O
32,рассеянным,B-TERM
33,склерозом,I-TERM
34,(,O
35,РС,B-TERM
36,),O
37,до,O
38,лечения,O
39,и,O
40,после,O
41,применения,O
42,в,O
43,программе,O
44,лечения,O
45,данного,O
46,заболевания,O
47,эфферентных,B-TERM
48,методов,I-TERM
49,детоксикации,B-TERM
50,(,O
51,модифицированный,B-TERM
52,плазмаферез,I-TERM
53,",",O
54,модифицированный,B-TERM
55,лимфоцитаферез,I-TERM
56,),O
57,по,O
58,сравнению,O
59,с,O
60,традиционной,O
61,консервативной,O
62,терапией,B-TERM
63,.,O
64,Обследовано,O
65,149,O
66,человек,O
67,с,O
68,рассеянным,B-TERM
69,склерозом,I-TERM
70,.,O
71,Основой,O
72,для,O
73,анализа,O
74,эффективности,O
75,проводимого,O
76,лечения,O
77,была,O
78,динамика,O
79,показателей,O
80,общего,O
81,иммунного,B-TERM
82,статуса,I-TERM
83,",",O
84,неврологического,B-TERM
85,статуса,I-TERM
86,.,O
87,Субпопуляции,B-TERM
88,лимфоцитов,B-TERM
89,определяли,O
90,с,O
91,помощью,O
92,моноклональных,B-TERM
93,антител,I-TERM
94,иммунофлуоресцентным,B-TERM
95,методом,I-TERM
96,",",O
97,частоту,O
98,экспрессии,B-TERM
99,указанных,O
100,генов,B-TERM
101,цитокинов,B-TERM
102,определяли,O
103,в,O
104,мононуклеарных,B-TERM
105,клетках,I-TERM
106,периферической,B-TERM
107,крови,I-TERM
108,методом,B-TERM
109,обратно,I-TERM
110,-,I-TERM
111,транскриптазной,I-TERM
112,полимеразной,I-TERM
113,цепной,I-TERM
114,реакции,I-TERM
115,.,O
116,Предложенные,O
117,эфферентные,B-TERM
118,технологии,I-TERM
119,достоверно,O
120,эффективнее,O
121,корригировали,O
122,нарушения,O
123,специфической,B-TERM
124,реактивности,I-TERM
125,организма,I-TERM
126,и,O
127,неврологический,B-TERM
128,дефицит,I-TERM
129,в,O
130,сравнении,O
131,с,O
132,методами,O
133,терапии,O
134,в,O
135,контрольной,O
136,группе,O
137,.,O
138,Среди,O
139,эфферентных,B-TERM
140,технологий,I-TERM
141,метод,B-TERM
142,аппаратного,I-TERM
143,лимфоцитафереза,I-TERM
144,показал,O
145,наиболее,O
146,значимые,O
147,возможности,O
148,как,O
149,в,O
150,коррекции,B-TERM
151,неврологических,I-TERM
152,нарушений,I-TERM
153,",",O
154,так,O
155,и,O
156,в,O
157,коррекции,B-TERM
158,расстройств,I-TERM
159,специфической,I-TERM
160,реактивности,I-TERM
161,организма,I-TERM
162,.,O
