id,token,tag
0,Представлено,O
1,обобщенное,O
2,описание,O
3,адаптационных,B-TERM
4,реакций,I-TERM
5,липы,B-TERM
6,мелколистной,I-TERM
7,в,O
8,различных,O
9,типах,O
10,техногенных,B-TERM
11,условий,I-TERM
12,.,O
13,На,O
14,основе,O
15,многочисленных,O
16,количественных,O
17,данных,O
18,",",O
19,полученных,O
20,в,O
21,предыдущие,O
22,годы,O
23,исследований,O
24,",",O
25,составлены,O
26,схемы,O
27,реализации,O
28,адаптивного,B-TERM
29,потенциала,I-TERM
30,липы,B-TERM
31,мелколистной,I-TERM
32,в,O
33,условиях,O
34,нефтехимического,B-TERM
35,и,O
36,полиметаллического,B-TERM
37,загрязнений,I-TERM
38,.,O
39,Показана,O
40,специфичность,O
41,адаптационных,B-TERM
42,реакций,I-TERM
43,липы,B-TERM
44,",",O
45,их,O
46,зависимость,O
47,от,O
48,возраста,O
49,и,O
50,типа,O
51,загрязнения,O
52,.,O
