id,text
0,"Данная статья посвящена  <Task>  распределенно-модульной обработке информации в автоматизированном режиме  </Task>  . Эта разработка  <Use>  позволяет принимать входящие и исходящие  </Use>  данные на физический сервер  в объеме до 2,2 GB/s  , при этом  распределяя  потоковую информацию ( весь входящий сетевой трафик на сервер ) по физическим и логическим ядрам  .  <Contrib>  Показана нагрузочная зависимость физических ресурсов от входящей информации  </Contrib>  .  <Contrib>  Обоснована целесообразность применения разработанного аппаратно-программного комплекса SDP ( Speed data processing  </Contrib>  ) , а также  <Contrib>  представлены структура  </Contrib>  и  <Contrib>  принципиальная схема работы  </Contrib>  . На первом этапе создания комплекса осуществляется разработка алгоритма , на втором — его техническая реализация .  <Contrib>  Приведен фрагмент исходного кода , отвечающего за уведомления на e-mail как о нагрузке на центральный процессор , так и об основных запускаемых процессах  </Contrib>  .  <Contrib>  Описан основной функционал  </Contrib>  со следующими данными : название функции ,  <Contrib>  цель функции  </Contrib>  ,  <Contrib>  теоретическая нагрузка  </Contrib>  ,  <Contrib>  лимит передачи данных  </Contrib>  ( в MB/s ) и результат выполнения . На третьем этапе  <Contrib>  проводится тестирование комплекса SDP  </Contrib>  ,  <Contrib>  представлены среднесуточные результаты за десять дней  </Contrib>  .  <Contrib>  Созданный аппаратно-программный комплекс  </Contrib>   <Adv> позволяет эффективно обрабатывать входящую и исходящую информацию в автоматическом режиме для увеличения пропускной способности при приеме и отправке данных в СУБД MySQL  </Adv>  , в том числе при  <Use>  DoS- и  DDoS-атаках   </Use>  . Одной из частей комплекса является web-модуль для управления как с персонального компьютера  , так и с мобильного телефона .  <Contrib>  В мониторинговой части web-модуля реализована возможность уведомления SMS-сообщениями о состоянии загруженности физического сервера  </Contrib>  .Разработанный аппаратно-программный комплекс  <Adv>  показал высокую стабильность   </Adv>  при  <Use>  обработке больших объемов данных с минимальной нагрузкой на ЭВМ  </Use>  ."
1,"В данной работе  <Contrib>  предлагается решение  <Task>  однородной распределительной задачи   </Task>   </Contrib>  .  <Contrib>  Приводится постановка этой задачи  </Contrib>   ,  <Contrib>  рассматриваются основные группы алгоритмов ее  решения  </Contrib>  — приближенные  и точные  , а также их достоинства и недостатки .  <Contrib>  Описана предлагаемая новая парадигма кoмбинатopной oптимизации , базирующаяся на моделировании адаптивного поведения муравьиной колонии  </Contrib>  . Решением однородной распределительной задачи является ее графическое представление в виде двудольного графа . Для решения данных задач  <Contrib>  были предложены новые механизмы  </Contrib> . Основу метаэвристики алгоритма на основе  <Method>  муравьиной  колонии  </Method>  составляет комбинация двух техник .  <Method>  Базовая техника  </Method>  состоит в поиске наилучшего решения с использованием  <Method>  механизмов  адаптивного  поведения муравьиной колонии  </Method>  . Муравей строит какое-то конкретное решение , при этом используется встроенная процедура , в основе которой лежит  <Method>  конструктивный  алгоритм  </Method>  . Построенный на графе поиска решений  <Method>  двудольный граф  </Method>  — основное отличие предлагаемого муравьиного алгоритма от существующей канонической парадигмы . При  <Use>  нахождении оптимальных решений  оптимизационных задач  </Use>  , которые допускают представление  решений в виде  <Method>  двудольных графов  </Method>  ,  <Adv>  данный подход будет достаточно эффективным  </Adv>  . Проведенные исследования показали , что  <Adv>  муравьиный алгоритм позволяет получать более  качественные  решения  , чем известные алгоритмы </Adv>  .  <Adv>  Сравнив результаты , можно сказать , что они улучшились на 3—4 %  </Adv>  ."
2,"В статье  обозначена актуальная  задача   <Task>  идентификации функционального состояния сложной технической системы в условиях повышенной зашумленности с помощью перехода к другому пространству признаков наблюдаемого состояния  </Task>  ,  <Contrib>  определено понятие « функциональное состояние »   </Contrib> .  Задача  <Task>  оценки функционального состояния  </Task>   показана как  <Task>   дуальная задача идентификации и распознавания образов  </Task>   .  <Contrib>  Уделено внимание возможному выбору параметров математических моделей , а также их структур в качестве новых признаков наблюдаемого состояния  </Contrib>  . Для решения  задачи  <Task>  параметрической идентификации  </Task>  выбран  <Method>  метод наименьших квадратов  </Method>  , показывающий смену функционального состояния. В  <Task>  задачах контроля и испытания сложными техническими системами   </Task>  немаловажную роль играет процесс анализа измерительной информации . Только пройдя все этапы обработки , можно принять решение о том или ином состоянии  объекта испытаний.  Однако сделать это сложно в случае поступления информации очень низкого качества . Устранение данной проблемы сводится в основном к поиску решений по формированию и совершенствованию соответствующих правил принятия управленческих решений . При этом в штатных условиях и ситуациях создание таких правил во многих случаях не вызывает особых проблем , однако в нештатных условиях сделать это проблематично .  <Task>  Анализ состояния сложных технических объектов или их подсистем по результатам измерений   </Task>   предполагает решение   <Task>   задач структурной  и параметрической идентификации  </Task>   . Управление сложными техническими объектами и их испытание характеризуются неопределенностью воздействия внешних факторов , аномальными и случайными погрешностями измерений . Для обеспечения требуемого качества анализа состояния их подсистем необходимо формирование принципов адаптивного управления процессом идентификации , методик оптимального выбора структуры моделей исходя из качества данных измерений . Особенно это актуально при  <Example>  автоматизации вторичной обработки на объектах с терминальным управлением  </Example> ."
3,В статье  <Contrib>  рассматриваются  <Task>  задачи прямоугольного раскроя  </Task>  для условий единичного производства   </Contrib>  .  <Contrib>  Предложена классификация задач  </Contrib>  с целью  <Goal>  исследования эффективности существующих методов раскроя для задач разных классов  </Goal> .  <Contrib>  Проведено тестирование 5 оптимизационных методов прямоугольного раскроя  </Contrib>  . На основании полученных результатов  <Contrib>  определена схема автоматического выбора оптимизационного метода в зависимости от принадлежности задачи к определенному классу  </Contrib>  .
4,"В работе  <Contrib>  дается определение оригинальной концепции контролируемого выполнения , разработанной авторами статьи  </Contrib>  ,  <Contrib>  обосновывается важность этой концепции при создании сложных систем  </Contrib>  . Под контролируемым выполнением понимается специально организованный процесс функционирования аппаратно-программной системы , целью которого является выполнение системой своих задач несмотря на наличие ошибок , атак и отказов . Основными положениями концепции контролируемого выполнения являются интеграция средств информационной безопасности , отладки и управления ; распространение контролируемого выполнения на все этапы жизненного цикла системы ; целостность набора средств контролируемого выполнения , различающихся по степени воздействия на целевую систему , возможность взаимодействия между этими средствами . Частные случаи контролируемого выполнения :  <Example>  применение средств управления  информационными системами  </Example>   ,  <Example>  интерактивная отладка  </Example>   ,  <Example>  мониторинг систем  </Example>   ,  <Example>  самоконтроль систем  </Example>   ,  <Example>   воспроизведение предыдущих сеансов работы систем  </Example>   ,  <Example>  моделирование ,  сбор и анализ количественных характеристик функционирования систем  </Example>   ,  <Example>   самолечение систем  </Example>   . В контексте контролируемого выполнения авторами  <Contrib>  предложена методика самолечения POSIX-систем  </Contrib>  , основанная на использовании  <Method>  механизма трассировки  </Method>  .  <Contrib>  Дается краткий обзор  <Method>  механизма трассировки  </Method>   </Contrib> , описанного в POSIX-2001 ,  <Contrib>  предлагается методика самолечения программных систем  </Contrib>   , основанная на этом механизме и  интегрированная в концепцию контролируемого выполнения . Стандарт POSIX-2001 фиксирует минимальную функциональность средств трассировки , которые должна предоставлять POSIX-совместимая операционная система . Под трассировкой в стандарте POSIX-2001 понимаются порождение , накопление и анализ данных о событиях , имевших место при выполнении пользовательского приложения . Работа иллюстрируется небольшим примером , который может быть полезен при  <Use>  практическом применении методики самолечения  </Use>  ."
5,"Важной составляющей имитационно-тренажерных комплексов является система управления , которая используется для управления двигателями , полезной нагрузкой , исполнительными механизмами , бортовым питанием и т.д . Она может быть представлена в виде функциональной схемы , элементы которой называются функциональными звеньями или функциональными блоками . В области моделирования систем управления на основе функциональных схем существует большое количество разработок , однако остается актуальной задача  <Task>   создания более простых и доступных систем моделирования на основе  функциональных схем для имитационно-тренажерных комплексов  </Task>  . В статье  <Contrib>  описывается программный комплекс для создания , тестирования , редактирования и расчета функциональных схем  </Contrib>  , предназначенный для  <Use>  имитационно-тренажерных комплексов управления роботами и манипуляторами  </Use>  ,  <Use>  виртуальных лабораторий и обучающих систем  </Use>  .  <Contrib>  Подробно рассмотрены функциональные возможности и технология работы визуального редактора функциональных схем , а также алгоритм и схема работы модуля их расчета  </Contrib>  . Предложенный  <Adv>  редактор обладает широкими функциональными возможностями  </Adv>  и  <Adv>  позволяет моделировать достаточно сложные  схемы  </Adv>  . Модуль расчета реализован в виде динамической библиотеки , которая  <Adv>  может быть подключена к любому программному комплексу  </Adv>  . Разработанная технология  <Adv>  позволяет  расширять функциональные возможности за счет подключения дополнительных программных модулей  </Adv>  , которые могут включать реализацию как специальных вычислительных блоков ,  так и блоков для обмена данными  , например с внешними пультами . Возможности применения предложенной системы для  <Use>  имитационно-тренажерных комплексов  </Use>  проиллюстрированы на примере  <Example>  моделирования управления  антропоморфным роботом  </Example>  в ручном и копирующем режимах . Преимуществами системы являются  <Adv>  простота ее использования  </Adv>  ,  <Adv>  нетребовательность к ресурсам  </Adv>  и  <Adv>  расширяемость  </Adv>  ."
6," <Contrib>  Обсуждаются вопросы моделирования характеристик транзисторных структур , выполненных по технологии нового поколения —  <Tool>  « германий на изоляторе  </Tool>   </Contrib>  » .  <Contrib>  Рассматривается один из возможных подходов к аналитическому решению  2D-уравнения Пуассона для потенциала в рабочей области полевого двухзатворного нанотранзистора со структурой  <Tool>  « германий на изоляторе »  </Tool>  и архитектурой « без перекрытия областей затвора и стока/истока  </Contrib>  » .  <Contrib>   Для потенциала получено аналитическое решение уравнения Пуассона с использованием  <Method>  принципа суперпозиции  </Method>   </Contrib>  .  <Contrib>  Рассматриваются физические ограничения технологических параметров исследуемых транзисторных структур для оптимизации их электрофизических характеристик  </Contrib>  , в  частности ,  <Example>  эффективного подавления короткоканальных эффектов  </Example>  .  <Contrib>  Показывается , что  <Conc>  в исследуемых устройствах эти  эффекты проявляются  в большей степени , чем в аналогичных структурах  <Tool>  « кремний на изоляторе »  </Tool>   </Conc> . На основе  численных решений уравнения Пуассона  <Contrib>  анализируются зависимости от технологических параметров ряда основных электрофизических характеристик  </Contrib>  , таких как  распределение потенциала в рабочей области, порогового напряжения и крутизны подпороговой характеристики  </Contrib>  .  <Conc>  Нелинейный характер полученных зависимостей  обусловлен экспоненциальным  ростом  объемного заряда в рабочей области транзистора  </Conc>  . Для выбранных топологических норм  оптимизация параметров, определяющих области стока и истока , предоставляет дополнительную степень свободы управления ключевыми характеристиками наряду с толщиной рабочей области и подзатворного окисла фронтального затвора , что важно при  анализе  применимости транзисторных структур  <Tool>  « германий  на изоляторе »  </Tool> ."
7,"Потребности промышленности в высоконадежных вычислительных комплексах обусловили рост популярности асинхронной логики . Основными достоинствами асинхронных схем являются повышенная сбоеустойчивость и расширенный температурный диапазон эксплуатации . Среди недостатков следует отметить большую длительность проектирования вследствие отсутствия средств автоматизации проектирования асинхронных схем . Самосинхронные схемы являются наиболее простым для проектирования подклассом асинхронных схем . Для их создания чаще всего используется  <Method>  метод перекрестной  реализации  </Method>   , который позволяет использовать синхронные  схемы в качестве промежуточного этапа . Синхронная схема должна выполнять аналогичную функцию и может быть синтезирована обычным способом . Конвертация промежуточной синхронной схемы в самосинхронную может осуществляться с использованием шаблонов и поэтому легко автоматизируется . В качестве средства автоматизации выбрана  <Tool>  система автоматизированного проектирования Synopsys Design Compiler ( DC )  </Tool>  , которая используется для синтеза синхронных схем и может исполнять скрипты , написанные на  <Tool>   языке Tcl  </Tool>  . Весь процесс создания самосинхронной схемы делится на три этапа : предварительный  синтез синхронной схемы из  спецификации  на  <Tool>  языке Verilog HDL  </Tool>   , конверсия в два канала и построение схемы  индикации окончания переходных процессов . В завершение осуществляется оптимизация нагрузочной способности элементов схемы с использованием возможностей  <Tool>  статического временного  анализа  DC  </Tool>  . Все этапы проходятся под управлением одного скрипта , работающего в консоли  <Tool>  DC  </Tool>  , поэтому процесс полностью автоматизирован . В настоящий момент скрипт ограниченно функционален и может обработать только одну  стадию конвейера за запуск  ."
8,"В ряде отраслей ( например в авиационно-космической ) в настоящее время ощущается нехватка квалифицированных специалистов , способных профессионально управлять сложными техническими системами . Требуются многократное повышение производительности учебных центров , в том числе за счет внедрения новых методик подготовки , и создание более совершенной тренажерной базы . Мультимедийные технологии при построении тренажерно-обучающих систем позволяют создавать банки данных учебных материалов ,  содержащие  изображения , тексты , сопровождающиеся аудио, видео и другими визуальными эффектами ; включают в себя интерактивный интерфейс ;  позволяют  эффективно  использовать накопленную информацию при организации дистанционного и распределенного обучения . Одним из видов мультимедийной информации , использующейся в тренажерно-обучающих системах , является  <Example>  графический виртуальный образ инструктора  </Example> . Для  <Goal>  его внедрения  в единое  синтезированное трехмерное окружение  </Goal>   <Contrib>  создан метод рир-проекции   </Contrib>  , базирующийся на  <Method>  методе 3D-кеинга  </Method>  . Основной идеей технологии кеинга является выделение объекта от однородного фона . Данный процесс можно описать как процесс создания маски , содержащей информацию о прозрачности изображения и отделяющей объект от остального изображения . Так как любая реализация кеинга ресурсоемка , при обработке изображений большого размера на центральном процессоре трудно достичь работы подсистемы визуализации в реальном масштабе времени . Это требование к под-системе визуализации является одним из базовых , поэтому  <Contrib>  разработано решение , позволяющее использовать вычислительную мощность графического процессора для реализации кеинга  </Contrib>  ."
9,"Любая многопроцессорная система должна быть проинициализирована по включении питания . В данной работе  <Contrib>  рассматриваются системы на базе  <Tool>  RapidIO  </Tool>  </Contrib>  . От правильной настройки маршрутов  <Tool>  среды RapidIO  </Tool>  зависит корректная работа системы в целом . Существуют два алгоритма инициализации — динамический и статический .  <Method>  Алгоритм динамической инициализации  <Tool>  RapidIO  </Tool>   </Method>  ,приведенный в спецификации, имеет ряд недостатков , одним из которых является отсутствие информации о физическом составе системы после инициализации . Для некоторых задач , к примеру , по тестированию многопроцессорной системы , это недопустимо . Поэтому необходимо использовать статическую инициализацию , которая подразумевает уже заранее подготовленный набор команд для настройки маршрутов между устройствами . Для эффективного создания набора команд , осуществляющих инициализацию , предлагается применять конфигуратор , использующий базовые блоки  <Tool>  RapidIO  </Tool> . Система рассматривается как набор базовых блоков , имеющих уникальные номера портов коммутаторов  <Tool>  RapidIO  </Tool>  . Конфигуратор , принимая на вход структуру из географического адреса модуля , модели модуля и связи с остальными модулями , формирует на выходе  набор служебных пакетов  для инициализации коммуникационной  среды  <Tool>  RapidIO  </Tool>  .  <Adv>  Эффективность  </Adv>  данного способа в большей мере проявляется при  <Use>  построении различных модификаций многопроцессорной системы  </Use> . В статье  <Contrib>  описаны существующая на сегодняшний день аппаратная поддержка инициализации среды и ее применение в тестируемой системе  </Contrib>  ."
