id,text
10_0," <Contrib>  Сделан ретроспективный взгляд на процесс  <Task> информатизации инженерного образования </Task> , в частности на способы решения задач на аналоговых, цифровых и гибридных компьютерах </Contrib> .  <Contrib>  Упомянуты двоичные, троичные, восьмеричные, десятиричные и шестнадцатиричные форматы вывода числовой информации «на печать», а также парадоксы, возникающие при этом </Contrib> .  <Contrib>  Рассмотрены преимущества и недостатки аналоговых, цифровых и гибридных компьютеров </Contrib> .  <Contrib>   Рассмотрены простейшие цифровые, аналоговые и гибридные компьютеры в связке с обыденными вещами (автомобили, часы и др.) </Contrib> .  <Contrib> Представлена ретроспектива использования в МЭИ вычислительной техники для решения учебных, научных и административных задач, а также основные достижения в этой области </Contrib> : создание одной из самых крупных вузовских компьютерных сетей, ввод в эксплуатацию 300 виртуальных серверов, разработка ряда ведомственных систем автоматизации и информационной поддержки процессов планирования и финансирования финансово-экономической деятельности образовательных учреждений, подведомственных Минобрнауки России, а также крупных информационных систем университетского уровня.  <Contrib> Описан человеческий фактор, влияющий на внедрение вычислительной техники в бухгалтерии МЭИ </Contrib> .  <Contrib> Описано взаимодействие с аналоговыми вычислительными машинами как некий симбиоз науки и искусства </Contrib> .  <Contrib> Дан анализ особенностей архитектуры и принципов работы легендарной советской АВМ МН-7 </Contrib> .  <Contrib> Проанализированы причины отказа от аналоговых компьютеров и перехода к цифровой технике </Contrib> .  <Contrib>  Даны примеры использования гибридных компьютеров в настоящее время, а также ренессанса аналоговых устройств и методов в наши дни </Contrib> .  <Contrib> Введено понятие гибридного решения задачи на современном цифровом компьютере, включающего в себя элементы символьного (аналитического) и численного (приближенного) подходов </Contrib> . На примере  <Example> решения задачи оптимизации (минимизация поверхности геометрических тел при фиксированном объеме)  </Example>   <Contrib> проанализированы инструменты систем компьютерной математики Mathcad (инженерный калькулятор) и Maple: решение алгебраических уравнений и систем, упрощение выражений, взятие производной и др </Contrib> . Сделан вывод о том, что  <Contrib> современные математические программы дают нам новые возможности решения задач гибридным </Contrib> ."
10_0," <Contrib>  Сделан ретроспективный взгляд на процесс  <Task> информатизации инженерного образования </Task> , в частности на способы решения задач на аналоговых, цифровых и гибридных компьютерах </Contrib> .  <Contrib>  Упомянуты двоичные, троичные, восьмеричные, десятиричные и шестнадцатиричные форматы вывода числовой информации «на печать», а также парадоксы, возникающие при этом </Contrib> .  <Contrib>  Рассмотрены преимущества и недостатки аналоговых, цифровых и гибридных компьютеров </Contrib> .  <Contrib>   Рассмотрены простейшие цифровые, аналоговые и гибридные компьютеры в связке с обыденными вещами (автомобили, часы и др.) </Contrib> .  <Contrib> Представлена ретроспектива использования в МЭИ вычислительной техники для решения учебных, научных и административных задач, а также основные достижения в этой области </Contrib> : создание одной из самых крупных вузовских компьютерных сетей, ввод в эксплуатацию 300 виртуальных серверов, разработка ряда ведомственных систем автоматизации и информационной поддержки процессов планирования и финансирования финансово-экономической деятельности образовательных учреждений, подведомственных Минобрнауки России, а также крупных информационных систем университетского уровня.  <Contrib> Описан человеческий фактор, влияющий на внедрение вычислительной техники в бухгалтерии МЭИ </Contrib> .  <Contrib> Описано взаимодействие с аналоговыми вычислительными машинами как некий симбиоз науки и искусства </Contrib> .  <Contrib> Дан анализ особенностей архитектуры и принципов работы легендарной советской АВМ МН-7 </Contrib> .  <Contrib> Проанализированы причины отказа от аналоговых компьютеров и перехода к цифровой технике </Contrib> .  <Contrib>  Даны примеры использования гибридных компьютеров в настоящее время, а также ренессанса аналоговых устройств и методов в наши дни </Contrib> .  <Contrib> Введено понятие гибридного решения задачи на современном цифровом компьютере, включающего в себя элементы символьного (аналитического) и численного (приближенного) подходов </Contrib> . На примере  <Example> решения задачи оптимизации (минимизация поверхности геометрических тел при фиксированном объеме)  </Example>   <Contrib> проанализированы инструменты систем компьютерной математики Mathcad (инженерный калькулятор) и Maple: решение алгебраических уравнений и систем, упрощение выражений, взятие производной и др </Contrib> . Сделан вывод о том, что  <Contrib> современные математические программы дают нам новые возможности решения задач гибридным </Contrib> ."
10_1," <Task> Разработке продуктов лечебно-профилактического питания </Task>  сегодня отводится значительная роль. Увеличившееся потребление рафинированных продуктов питания, в том числе кондитерских изделий, является причиной множества таких заболеваний, как ожирение, сахарный диабет, атеросклероз и др. Необходимы научные и практические исследования по созданию технологий, позволяющих получить кондитерские изделия с показателями качества, удовлетворяющими потребителя и в то же время обладающих высокой пищевой и биологической ценностью. В статье  <Contrib>  представлена разработанная технология получения фруктово-желейного мармелада на основе натурального растительного сырья — пюре калины обыкновенной и апельсина </Contrib> .  <Contrib> Определены показатели качества, а также антиоксидантная емкость полученных образцов </Contrib> . На данных, полученных в результате дегустации,  <Contrib> проведено исследование оценки удовлетворения потребителей </Contrib>   <Method>  методом квалиметрического моделирования   </Method> ."
10_1," <Task> Разработке продуктов лечебно-профилактического питания </Task>  сегодня отводится значительная роль. Увеличившееся потребление рафинированных продуктов питания, в том числе кондитерских изделий, является причиной множества таких заболеваний, как ожирение, сахарный диабет, атеросклероз и др. Необходимы научные и практические исследования по созданию технологий, позволяющих получить кондитерские изделия с показателями качества, удовлетворяющими потребителя и в то же время обладающих высокой пищевой и биологической ценностью. В статье  <Contrib>  представлена разработанная технология получения фруктово-желейного мармелада на основе натурального растительного сырья — пюре калины обыкновенной и апельсина </Contrib> .  <Contrib> Определены показатели качества, а также антиоксидантная емкость полученных образцов </Contrib> . На данных, полученных в результате дегустации,  <Contrib> проведено исследование оценки удовлетворения потребителей </Contrib>   <Method>  методом квалиметрического моделирования   </Method> ."
10_2,"В настоящее время объем накопленных генетических данных и знаний о процессе передачи наследственной информации позволяют предупредить возникновение болезней, связанных с генетическими модификациями (полиморфизмами). При этом наиболее актуальным направлением исследований является  <Task>  прогнозирование многофакторных заболеваниях, зависящих как от значений различных генов, так и от фенотипических признаков (факторов окружающей среды)  </Task> . В статье  <Contrib>  рассматривается метод выделения решающих правил и расчета вероятности заболевания на основе всех типов факторов риска </Contrib> . Формально задача заключается в построении классификатора, относящего объект к тому или иному классу с некоторой вероятностной оценкой. Для выделения решающих правил применяется  <Method>  модификация технологии конструирования логических моделей в виде деревьев решений </Method> . Полученные правила используются для построения гиперграфа заболевания, который представляет собой байесовскую сеть доверия. Расчет вероятностной оценки выполняется по параметрам сети. Показано, что  <Adv> результаты предложенного метода прогнозирования имеют более точные результаты в сравнении с методом множественной регрессии и классического алгоритма построения деревьев решений  </Adv> (C4.5)."
10_2,"В настоящее время объем накопленных генетических данных и знаний о процессе передачи наследственной информации позволяют предупредить возникновение болезней, связанных с генетическими модификациями (полиморфизмами). При этом наиболее актуальным направлением исследований является  <Task>  прогнозирование многофакторных заболеваниях, зависящих как от значений различных генов, так и от фенотипических признаков (факторов окружающей среды)  </Task> . В статье  <Contrib>  рассматривается метод выделения решающих правил и расчета вероятности заболевания на основе всех типов факторов риска </Contrib> . Формально задача заключается в построении классификатора, относящего объект к тому или иному классу с некоторой вероятностной оценкой. Для выделения решающих правил применяется  <Method>  модификация технологии конструирования логических моделей в виде деревьев решений </Method> . Полученные правила используются для построения гиперграфа заболевания, который представляет собой байесовскую сеть доверия. Расчет вероятностной оценки выполняется по параметрам сети. Показано, что  <Adv> результаты предложенного метода прогнозирования имеют более точные результаты в сравнении с методом множественной регрессии и классического алгоритма построения деревьев решений  </Adv> (C4.5)."
10_3,"В статье   <Contrib>  обсуждаются результаты  моделирования информационных потоков в компьютерных сетях (КС) со сложной топологией </Contrib> , полученные с помощью  <Tool> последовательной (написанной на  языке пакета MATLAB )  и  параллельной (на основе  технологии GPGPU ) программных реализаций  </Tool>  гибридной жидкостной модели (ГЖМ) интернет-трафика.  <Contrib> Получены оценки скорости вычислений обеих программных реализаций  </Contrib> , подтверждающие более высокую производительность параллельной программной реализации ГЖМ <. Предложены направления дальнейших исследований с целью развития параллельной программной реализации ГЖМ."
10_3,"В статье   <Contrib>  обсуждаются результаты  моделирования информационных потоков в компьютерных сетях (КС) со сложной топологией </Contrib> , полученные с помощью  <Tool> последовательной (написанной на  языке пакета MATLAB )  и  параллельной (на основе  технологии GPGPU ) программных реализаций  </Tool>  гибридной жидкостной модели (ГЖМ) интернет-трафика.  <Contrib> Получены оценки скорости вычислений обеих программных реализаций  </Contrib> , подтверждающие более высокую производительность параллельной программной реализации ГЖМ <. Предложены направления дальнейших исследований с целью развития параллельной программной реализации ГЖМ."
10_4,"В статье  <Contrib> предложены классификации режимов движения четырехногого шагающего робота для перемещения по трубам </Contrib> , основанные на  <Method>  алгоритмах переноса передних (задних) ног, в том числе взаимного переноса ног, очередности их переноса и др.  </Method>  В качестве основных параметров, характеризующих каждый из рассматриваемых режимов движения, используются интервалы времени от начала цикла движения устройства до моментов отрыва каждой из ног, а также длительность шагов — интервалы времени реализации переноса каждой ноги.  <Contrib> Для всех режимов движения построены циклограммы последовательностей шагов и сформулированы характеризующие их условия </Contrib> ."
10_4,"В статье  <Contrib> предложены классификации режимов движения четырехногого шагающего робота для перемещения по трубам </Contrib> , основанные на  <Method>  алгоритмах переноса передних (задних) ног, в том числе взаимного переноса ног, очередности их переноса и др.  </Method>  В качестве основных параметров, характеризующих каждый из рассматриваемых режимов движения, используются интервалы времени от начала цикла движения устройства до моментов отрыва каждой из ног, а также длительность шагов — интервалы времени реализации переноса каждой ноги.  <Contrib> Для всех режимов движения построены циклограммы последовательностей шагов и сформулированы характеризующие их условия </Contrib> ."
