id,text
2019-17-1-1,"В рамках проекта по  <Task>  автоматизации работы с поэтическими текстами  </Task> , реализуемого на базе Института вычислительных технологий СО РАН, ведется комплекс исследований, связанных с  <Task> анализом поэтических текстов </Task> . Каждый компонент проекта относится к одному из структурных уровней анализа текста: структурный, семантический, прагматический. Структурный анализ поэтического текста связан с выделением его метроритмических характеристик. В рамках семантического анализаведутся исследования по выделению смысловых конструкций из произведения. Прагматический уровень включает в себя исследования по автоматическому определению высокоуровневых характеристик поэтического текста, таких как жанр и стиль. В данной работе  <Contrib> описан процесс проектирования и реализации информационной системы представления результатов анализа поэтических текстов </Contrib> . На этапе проектирования  <Contrib> сформулированы задачи, которые призвана решать информационная система </Contrib> , а также  <Contrib> изложены требования в порядке приоритета для общего проекта </Contrib> . Представленная информационная система объединяет в себе разнородную информацию о результатах анализа поэтических текстов, полученных на каждом из уровней представления. Исходя из потребностей потенциальных пользователей,  <Contrib> выполнено описание внешних взаимодействующих элементов системы </Contrib> .  <Contrib> Разработан тестовый интерфейс для доступа к хранилищу информационной системы </Contrib> . Реализация информационной системы обеспечит существенное  <Use> упрощение исследований поэтических текстов </Use> . "
2019-17-1-2,"На основании обобщенного  <Method>  алгоритма защищенного информационного обмена  </Method>  для беспроводных систем безопасности и защищенного устройства управления группой роботов  <Contrib> разработан обобщенный алгоритм защищенного информационного обмена с усложненной имитовставкой для беспроводных систем безопасности </Contrib> . Данный алгоритм основан на использовании в управляющем блоке контроля программируемого постоянного запоминающего устройства уникальных идентификационных данных, в котором хранится таблица уникальных кодовых последовательностей, присваиваемых каждому контролируемому объекту. Имитозащищенность передаваемых команд обеспечивается за счет добавления к ним суммы по правилу XOR исходного значения первой псевдослучайной последовательности ПСП-1 и уникальных идентификационных данных контролируемого объекта. С помощью разработанного алгоритма (при соответствующей адаптации) можно  <Use> затруднить стороннему наблюдателю выявление проверяемого в данный момент времени контролируемого объекта </Use> , одновременно  <Use> осуществить индивидуальную проверку требуемого контролируемого объекта на подлинность и наличие всех контролируемых объектов в радиусе связи </Use> . Разработанный алгоритм с усложненной имитовставкой может найти применение в различных областях беспроводных систем безопасности, в которых требуется  <Use> защита передаваемых по радиоканалу тревожных и служебных сообщений от несанкционированного доступа </Use> . "
2019-17-1-3,"Проблема  <Task> своевременного предупреждения населения об опасности цунами </Task>  всё еще является актуальной на прибрежных территориях всего мира. Несмотря на то что цунами довольно редкое явление, его последствия могут быть катастрофическими. В Академгородке многие годы занимаются разработкой и реализацией алгоритмов  <Task>  численного моделирования цунами  </Task> , используемых для расчета параметров цунами у береговой линии. Целью данной работы является  <Goal> объединение существующих реализаций алгоритмов, написанных на разных языках программирования (С++, Си, Python, Kotlin, Fortran и т. д.), в единую систему </Goal> . Разработанная система позволит, принимая на вход данные о сейсмическом событии,  <Use> рассчитывать параметры цунами у защищаемой береговой линии </Use> .  <Contrib>  В статье рассмотрены основные этапы работы системы </Contrib> , такие как мониторинг сейсмической активности, извлечение данных с DART станций, фильтрация приливной компоненты, расчет времени добегания волны и непосредственно моделирование, и промежуточные шаги, связанные с предобработкой и трансформацией данных. Особое внимание уделяется разработке архитектуры системы, взаимодействие между модулями построено таким образом, чтобы в дальнейшем реализации алгоритмов могли дорабатываться и беспрепятственно встраиваться в систему. "
2019-17-1-4,"На фоне множества методов проведения геофизических исследований выделяется и является одним из перспективных, за счет возможности определения состава горных пород, импульсный нейтронный гамма-каротаж. Однако существуют сложности при интерпретации результатов такого исследования. Полученные после предварительной обработки сигнала, записанного в процессе импульсного нейтронного гамма-каротажа, спектры гамма-излучения зашумлены и обладают высокой флуктуацией, что влияет на качественную оценку результатов исследования. Качественная оценка наряду с автоматической важна при работе с каротажными данными. Она позволяет предотвратить передачу заведомо ложных результатов, а также работу неисправных приборов. В данной статье  <Contrib> рассмотрен алгоритм, позволяющий уменьшить флуктуацию с учетом статистической зависимости соседних элементов спектра, для улучшения качественной оценки результатов исследования </Contrib>  . Так как спектры сигнала являются случайными величинами, в ходе рассмотрения различных способов обработки спектров решено применять  <Method> функции сглаживания </Method> , а именно  <Method> B-сплайн </Method> . В процессе применения различных вариаций параметров  <Method>  B-сплайна  </Method>  к спектрам гамма-излучения оказалось, что  <Conc>  квадратичный однородный B-сплайн с интервалом узлов 7 показал лучшие результаты в достижении цели улучшения качественной оценки  </Conc> . Таким образом,  <Contrib> разработан алгоритм дополнительной предобработки, уменьшающий флуктуацию спектров гамма-излучения для улучшения качественной оценки результатов такого геофизического исследования, как импульсный нейтронный гамма-каротаж </Contrib> . "
2019-17-1-5," <Contrib> Представлен способ получения видеодоказательств с помощью мобильного устройства – приложения для Android  </Contrib> , позволяющего  <Use> оперативно начать видеотрансляцию в облачные сервисы </Use> . Для оперативности запуска пользователю доступен виджет, который можно разместить на экране устройства.При нажатии на виджет начинается видеосъемка и отправка получаемой записи в облачный сервис, необходимая для обеспечения сохранности уже полученных данных даже в случае повреждения устройства. Для того чтобы в непредвиденной ситуации, повлекшей за собой утрату телефона, как можно больше данных оказалось сохранено на облачном сервисе, выбрана малая продолжительность одного передаваемого фрагмента – одна секунда. По завершении записи пользователь имеет возможность собрать составляющие записи воедино, при необходимости загружая недостающие фрагменты из облачного сервиса. Практическая ценность приложения заключается в том, что оно позволяет достаточно  <Adv> быстро и надежно фиксировать события </Adv> , а собранные видеоматериалы могут быть полезны  <Use> как в судебных процессах, так и для самостоятельного изучения </Use> . В статье проведен анализ существующих решений, позволяющих вести видеотрансляцию; выявлены их недостатки, затрудняющие использование этих средств для получения доказательств .   Рассмотрена архитектура приложения, построенная на базе   <Tool> шаблона проектирования MVC  </Tool> и включающая в себя 6 модулей.  <Contrib>  Описана реализация приложения  и  показан разработанный интерфейс  </Contrib> ."
2019-17-1-6," <Contrib> Предложен подход для  <Task> автоматизации проверки гипотез </Task>  на основе обработки разнородных ЭЭГ-данных </Contrib> . Подход базируется на наборе   <Tool>  MATLAB-скриптов </Tool> , использующих  <Tool>  библиотеки EEGLAB  </Tool> ,  <Tool>  NeuroElf  </Tool> ,  <Tool>  Alphasim,  </Tool> ,  <Tool>  spm8 </Tool> ,  <Tool>  Mediation toolbox </Tool> , и  <Tool> программном пакете sLORETA </Tool> . Разработанный инструментарий позволяет проводить  <Use> унификацию ЭЭГ-записей, сделанных на различном оборудовании </Use> ,  <Use> восстановление утраченных данных </Use> ,  <Use> 3Dреконструкцию источников мозговой активности по исходным ЭЭГ-данным </Use>  и  <Use> медиационный анализ </Use> ."
2019-17-1-7,"Статья посвящена  <Contrib> разработке ядра онтологической модели в виде программной системы, настраиваемой под конкретную предметную область </Contrib> . Работа основана на  <Method> теоретико-модельном подходе к представлению знаний </Method> . Для представления знаний используются  <Method> фрагменты атомарных диаграмм алгебраических систем </Method>  и  <Method> нечеткие модели </Method> . Программная система разбита на модули. Базовые модули реализуют функциональность, необходимую для любой онтологической модели. Например, проверку на непротиворечивость хранящихся знаний. Расширение функциональности происходит через создание новых модулей и их добавление в систему. В работе приведен обзор существующих программных решений в области разработки онтологий и онтологических моделей.  <Contrib>  Описана структура ядра онтологической модели  </Contrib>  ,  <Contrib>  приведена архитектура программного решения  </Contrib> ."
2019-17-1-8," <Contrib> Представлено описание реализации метода частиц  в ячейках  на GPU  </Contrib> . Основным недостатком метода, с точки зрения затрат по времени, является функция переупорядочивания частиц между ячейками.   <Contrib> Изложена оригинальная методика оптимизации данного этапа расчета, позволяющая избавиться от атомарных операций </Contrib> . Приведены результаты тестирования производительности на ряде современных графических процессоров. "
2019-17-1-9,"Работа посвящена  <Contrib>  описанию структуры информационно-аналитической системы «Ixodes» , ориентированной на работу c представительной коллекцией иксодовых клещей из разных биотопов </Contrib> , а именно для территорий Алтая, Сибири и Дальнего востока. Показаны варианты применения системы для  <Use> анализа генетического разнообразия клещей и переносимых ими патогенов </Use>   при помощи  <Method>  методов статистической обработки в виде круговых и столбчатых диаграмм (гистограмм) </Method> .   <Contrib> Описаны реализованные алгоритмы, позволяющие проводить анализ генетической последовательности исследуемого патогена </Contrib>  на основе  <Method> L-граммного подхода </Method>  и  <Method> методами разбиения филогенетического дерева на группы близких последовательностей </Method> . При этом для первичной обработки набора геномов используются  <Method> методы множественного выравнивания последовательностей </Method>  и  <Method> метод присоединения соседей </Method> , позволяющий выполнить построение филогенетического дерева. Представленные алгоритмы и методы использовались для решения задачи  <Task> генотипирования вируса клещевого энцефалита (ВКЭ) </Task> . Представлены результаты апробации для методов разбиения филогенетического дерева и их сравнительный анализ=. Описана архитектура информационно-аналитической системы для анализа набора геномов. Система предназначена для  <Use> анализа множества геномов и их классификации </Use> , а именно для  <Use> анализа генотипов внутри одного вида живых организмов </Use> , поскольку методы направлены для  <Task> выделения различий геномов, имеющих схожую структуру </Task> ."
2019-17-2-1,"Для эффективного  <Task>  освоения залежей углеводородов </Task>  чрезвычайно важной становится  высокая точность проводки горизонтальных скважин в целевых пластах-коллекторах . В процессе бурения геонавигация скважины со сложной траекторией выполняется по геофизическим данным в реальном масштабе времени. Представленная работа посвящена  <Contrib> разработке нового программного обеспечения для геонавигации нефтегазовых скважин с горизонтальным завершением </Contrib> . Для решения задач геонавигации используются алгоритмы, основанные на  <Method> методах корреляции каротажных данных и численной инверсии измерений электромагнитного каротажа </Method> . Разработанное новое программное приложение основано на web-технологиях и имеет клиент-серверную архитектуру. Для оптимизации времени выполнения ресурсоемких расчётов используются  <Method> высокопроизводительные облачные вычисления </Method> ."
