id,token,tag
0,Изучена,O
1,эффективность,O
2,различных,O
3,типов,O
4,операций,B-TERM
5,на,O
6,нижней,B-TERM
7,косой,I-TERM
8,мышце,I-TERM
9,при,O
10,хирургическом,O
11,лечении,O
12,детей,O
13,с,O
14,вертикальным,B-TERM
15,косоглазием,I-TERM
16,в,O
17,зависимости,O
18,от,O
19,величины,O
20,гипертропии,B-TERM
21,и,O
22,степени,O
23,выраженности,O
24,ее,O
25,гиперфункции,B-TERM
26,.,O
27,Проанализированы,O
28,результаты,O
29,хирургического,O
30,лечения,O
31,80,O
32,детей,O
33,",",O
34,имевших,O
35,сходящееся,B-TERM
36,содружественное,I-TERM
37,косоглазие,I-TERM
38,с,O
39,вертикальным,B-TERM
40,компонентом,I-TERM
41,",",O
42,обусловленным,O
43,парезом,B-TERM
44,верхней,B-TERM
45,косой,I-TERM
46,мышцы,I-TERM
47,и,O
48,гиперфункцией,B-TERM
49,нижней,B-TERM
50,косой,I-TERM
51,мышцы,I-TERM
52,.,O
53,В,O
54,зависимости,O
55,от,O
56,величины,O
57,гипертропии,B-TERM
58,и,O
59,степени,O
60,выраженности,O
61,гиперфункции,B-TERM
62,нижней,B-TERM
63,косой,I-TERM
64,мышцы,I-TERM
65,выполняли,O
66,миэктомию,B-TERM
67,нижней,B-TERM
68,косой,I-TERM
69,мышцы,I-TERM
70,либо,O
71,ее,O
72,рецессию,B-TERM
73,с,O
74,антериоризацией,B-TERM
75,.,O
76,При,O
77,резко,O
78,выраженной,O
79,гиперфункции,B-TERM
80,и,O
81,большом,O
82,угле,O
83,вертикальной,B-TERM
84,девиации,I-TERM
85,антериоризацию,B-TERM
86,дополняли,O
87,J,B-TERM
88,-,I-TERM
89,деформацией,I-TERM
90,свободного,O
91,края,O
92,нижней,B-TERM
93,косой,I-TERM
94,мышцы,I-TERM
95,.,O
96,Дифференцированный,O
97,подход,O
98,к,O
99,выбору,O
100,оперативного,B-TERM
101,вмешательства,I-TERM
102,на,O
103,нижней,B-TERM
104,косой,I-TERM
105,мышце,I-TERM
106,позволил,O
107,устранить,O
108,вертикальную,B-TERM
109,девиацию,I-TERM
110,у,O
111,всех,O
112,пациентов,O
113,",",O
114,что,O
115,создало,O
116,условия,O
117,для,O
118,дальнейшего,O
119,функционального,O
120,лечения,O
121,.,O
