id,token,tag
0,Представлены,O
1,патогенетические,B-TERM
2,механизмы,I-TERM
3,формирования,O
4,микроангиопатий,B-TERM
5,при,O
6,вибрационной,B-TERM
7,болезни,I-TERM
8,.,O
9,Уточнены,O
10,лейкоцитарно,B-TERM
11,-,I-TERM
12,эндотелиальные,I-TERM
13,взаимодействия,I-TERM
14,в,O
15,формировании,O
16,сосудистой,B-TERM
17,дисфункции,I-TERM
18,от,O
19,воздействия,O
20,локальных,B-TERM
21,вибраций,I-TERM
22,.,O
23,Предложены,O
24,дополнительные,O
25,методы,B-TERM
26,диагностики,I-TERM
27,сосудистых,I-TERM
28,нарушений,I-TERM
29,у,O
30,больных,B-TERM
31,с,O
32,вибрационной,B-TERM
33,патологией,I-TERM
34,.,O
