id,token,tag
0,Комплексное,O
1,использование,O
2,ультрафиолетового,B-TERM
3,облучения,I-TERM
4,крови,I-TERM
5,",",O
6,дискретного,B-TERM
7,плазмафереза,I-TERM
8,с,O
9,реинфузией,B-TERM
10,аутогенной,B-TERM
11,клеточной,I-TERM
12,массы,I-TERM
13,крови,I-TERM
14,после,O
15,инкубации,B-TERM
16,с,O
17,антибиотиком,B-TERM
18,иглюкокортикоидами,O
19,является,O
20,эффективным,O
21,методом,O
22,уменьшения,O
23,послеоперационного,O
24,спайкообразования,B-TERM
25,и,O
26,повышает,O
27,эффективность,O
28,эндоскопических,B-TERM
29,реконструктивно,I-TERM
30,-,I-TERM
31,пластических,I-TERM
32,операций,I-TERM
33,проведённых,O
34,по,O
35,поводу,O
36,трубно,B-TERM
37,-,I-TERM
38,перитонеального,I-TERM
39,бесплодия,I-TERM
40,",",O
41,что,O
42,позволило,O
43,восстановить,O
44,репродуктивную,B-TERM
45,функцию,I-TERM
46,у,O
47,40,O
48,",",O
49,5,O
50,%,O
51,женщин,O
52,с,O
53,бесплодием,B-TERM
54,трубно,I-TERM
55,-,I-TERM
56,перитонеального,I-TERM
57,генеза,I-TERM
58,.,O
