id,token,tag
0,Представлен,O
1,случай,O
2,синдрома,B-TERM
3,Ледда,I-TERM
4,у,O
5,ребенка,O
6,10,O
7,лет,O
8,.,O
9,Пациент,O
10,длительное,O
11,время,O
12,страдал,O
13,приступами,B-TERM
14,повторяющейся,I-TERM
15,рвоты,I-TERM
16,",",O
17,сопровождавшейся,O
18,слабостью,B-TERM
19,",",O
20,вялостью,B-TERM
21,",",O
22,болями,B-TERM
23,в,I-TERM
24,животе,I-TERM
25,.,O
26,При,O
27,проведении,O
28,рентгенологического,B-TERM
29,обследования,I-TERM
30,верхнего,B-TERM
31,отдела,I-TERM
32,пищеварительного,I-TERM
33,тракта,I-TERM
34,установлена,O
35,врожденная,B-TERM
36,патология,I-TERM
37,–,O
38,незавершенный,B-TERM
39,поворот,I-TERM
40,кишечника,I-TERM
41,",",O
42,синдром,B-TERM
43,Ледда,I-TERM
44,.,O
45,Данный,O
46,клинический,B-TERM
47,случай,I-TERM
48,характеризуется,O
49,трудностью,O
50,в,O
51,диагностике,B-TERM
52,и,O
53,демонстрирует,O
54,необходимость,O
55,тщательного,O
56,обследования,O
57,пациентов,O
58,с,O
59,синдромом,B-TERM
60,рвоты,I-TERM
61,.,O
