id,token,tag
0,Обосновывается,
1,утверждение,
2,о,
3,том,
4,",",
5,что,
6,наряду,
7,с,
8,основными,
9,формами,
10,позитивного,B-TERM
11,обязывания,I-TERM
12,–,
13,денежными,B-TERM
14,обязанностями,I-TERM
15,и,
16,денежными,B-TERM
17,обязательствами,I-TERM
18,",",
19,в,
20,финансовом,B-TERM
21,праве,I-TERM
22,выделяются,
23,обязывания,B-TERM
24,неденежного,I-TERM
25,характера,I-TERM
26,.,
27,К,
28,числу,
29,неденежных,B-TERM
30,обязанностей,I-TERM
31,автор,
32,относит,
33,отдельные,
34,имущественные,B-TERM
35,обязанности,I-TERM
36,неденежного,I-TERM
37,характера,I-TERM
38,и,
39,личные,B-TERM
40,неимущественные,I-TERM
41,обязанности,I-TERM
42,.,
43,Делается,
44,вывод,
45,",",
46,что,
47,неденежные,B-TERM
48,имущественные,I-TERM
49,обременения,I-TERM
50,нетипичны,
51,для,
52,финансово,B-TERM
53,-,I-TERM
54,правового,I-TERM
55,регулирования,I-TERM
56,",",
57,и,
58,подробно,
59,исследуется,
60,сущность,
61,",",
62,виды,
63,и,
64,содержание,
65,личных,B-TERM
66,неимущественных,I-TERM
67,обязанностей,I-TERM
68,в,
69,финансовом,B-TERM
70,праве,I-TERM
71,.,
