id,token,tag
0,Рассматриваются,
1,возможные,
2,пути,
3,развития,
4,муниципальной,B-TERM
5,демократии,I-TERM
6,в,
7,городских,B-TERM
8,округах,I-TERM
9,Российской,
10,Федерации,
11,",",
12,оценивается,
13,возможность,
14,участия,
15,политических,B-TERM
16,партий,I-TERM
17,и,
18,иных,
19,общественных,B-TERM
20,объединений,I-TERM
21,в,
22,совершенствовании,
23,данного,
24,института,B-TERM
25,.,
26,Политические,B-TERM
27,партии,I-TERM
28,",",
29,обладая,
30,достаточным,
31,информационным,B-TERM
32,и,
33,финансовым,B-TERM
34,ресурсом,I-TERM
35,",",
36,в,
37,настоящее,
38,время,
39,являются,
40,основными,
41,поставщиками,
42,кандидатов,B-TERM
43,на,
44,выборах,B-TERM
45,всех,
46,уровней,
47,власти,B-TERM
48,.,
49,Между,
50,тем,
51,иные,
52,общественные,B-TERM
53,объединения,I-TERM
54,",",
55,обладая,
56,опытом,
57,решения,
58,практических,
59,вопросов,
60,",",
61,по,
62,мнению,
63,автора,
64,",",
65,в,
66,наибольшей,
67,степени,
68,подходят,
69,для,
70,участия,
71,в,
72,деятельности,
73,представительных,B-TERM
74,органов,I-TERM
75,местного,I-TERM
76,самоуправления,I-TERM
77,.,
78,Кроме,
79,того,
80,",",
81,исследуя,
82,работу,
83,фракций,B-TERM
84,политических,I-TERM
85,партий,I-TERM
86,названных,
87,органов,B-TERM
88,",",
89,автор,
90,приходит,
91,к,
92,выводу,
93,",",
94,что,
95,указанные,
96,депутатские,B-TERM
97,объединения,I-TERM
98,создают,
99,барьер,
100,между,
101,избирателями,B-TERM
102,и,
103,их,
104,представителями,
105,.,
106,Исследуются,
107,возможности,
108,и,
109,способы,
110,участия,
111,общественных,B-TERM
112,объединений,I-TERM
113,в,
114,представлении,B-TERM
115,интересов,I-TERM
116,населения,B-TERM
117,",",
118,а,
119,также,
120,проблемы,
121,функционирования,
122,фракций,B-TERM
123,политических,I-TERM
124,партий,I-TERM
125,.,
