id,token,tag
0,Анализируются,
1,некоторые,
2,проблемы,
3,правого,B-TERM
4,регулирования,I-TERM
5,организации,B-TERM
6,и,
7,деятельности,B-TERM
8,контрольно,B-TERM
9,-,I-TERM
10,счетных,I-TERM
11,органов,I-TERM
12,муниципальных,B-TERM
13,образований,I-TERM
14,и,
15,возникающие,
16,в,
17,связи,
18,с,
19,этим,
20,в,
21,деятельности,B-TERM
22,судебных,B-TERM
23,органов,I-TERM
24,проблемы,
25,применения,
26,правовых,B-TERM
27,норм,I-TERM
28,.,
29,Рассматривается,
30,вопрос,
31,об,
32,обязательности,
33,создания,
34,контрольно,B-TERM
35,-,I-TERM
36,счетного,I-TERM
37,органа,I-TERM
38,в,
39,каждом,
40,муниципальном,B-TERM
41,образовании,I-TERM
42,.,
43,Так,
44,",",
45,в,
46,основополагающих,
47,нормативных,B-TERM
48,правовых,I-TERM
49,актах,I-TERM
50,",",
51,регулирующих,
52,вопросы,
53,организации,B-TERM
54,и,
55,деятельности,B-TERM
56,контрольно,B-TERM
57,-,I-TERM
58,счетных,I-TERM
59,органов,I-TERM
60,муниципальных,B-TERM
61,образований,I-TERM
62,",",
63,содержатся,
64,противоречивые,
65,требования,
66,.,
67,Действующие,
68,правовые,B-TERM
69,нормы,I-TERM
70,позволяют,
71,судебным,B-TERM
72,органам,I-TERM
73,в,
74,одном,
75,случае,
76,возложить,
77,на,
78,муниципальное,B-TERM
79,образование,I-TERM
80,обязанность,B-TERM
81,по,
82,созданию,
83,контрольно,B-TERM
84,-,I-TERM
85,счетного,I-TERM
86,органа,I-TERM
87,",",
88,а,
89,в,
90,другом,
91,–,
92,признать,
93,вопрос,
94,создания,
95,контрольно,B-TERM
96,-,I-TERM
97,счетного,I-TERM
98,органа,I-TERM
99,правом,B-TERM
100,муниципального,B-TERM
101,образования,I-TERM
102,",",
103,т,
104,.,
105,е,
106,.,
107,сложившееся,
108,правовое,B-TERM
109,регулирование,I-TERM
110,не,
111,является,
112,определенным,
113,и,
114,системным,
115,.,
116,Учитывая,
117,требования,
118,о,
119,необходимости,
120,осуществления,
121,действенного,B-TERM
122,и,
123,эффективного,B-TERM
124,контроля,I-TERM
125,за,
126,средствами,B-TERM
127,местного,B-TERM
128,бюджета,I-TERM
129,",",
130,а,
131,также,
132,практику,
133,муниципальных,B-TERM
134,образований,I-TERM
135,по,
136,созданию,
137,контрольно,B-TERM
138,-,I-TERM
139,счетных,I-TERM
140,органов,I-TERM
141,",",
142,автор,
143,предлагает,
144,возможные,
145,способы,
146,устранения,
147,противоречий,
148,в,
149,предписаниях,
150,соответствующих,
151,правовых,B-TERM
152,норм,I-TERM
153,.,
