id,token,tag
0,Статья,
1,посвящена,
2,вопросам,
3,",",
4,связанным,
5,с,
6,использованием,
7,цифровых,B-TERM
8,средств,I-TERM
9,фиксации,I-TERM
10,при,
11,проведении,
12,следственных,B-TERM
13,действий,I-TERM
14,",",
15,особенностям,
16,оформления,
17,криминалистически,B-TERM
18,значимой,I-TERM
19,информации,I-TERM
20,сотрудниками,
21,экспертных,B-TERM
22,подразделений,I-TERM
23,.,
24,В,
25,связи,
26,с,
27,этим,
28,обращается,
29,внимание,
30,на,
31,классификацию,
32,форм,B-TERM
33,фиксации,I-TERM
34,",",
35,которые,
36,предложили,
37,ученые,B-TERM
38,-,I-TERM
39,криминалисты,I-TERM
40,.,
41,Отмечается,
42,",",
43,что,
44,эта,
45,форма,B-TERM
46,фиксации,I-TERM
47,в,
48,повседневной,
49,деятельности,
50,используется,
51,как,
52,дополнительная,
53,при,
54,производстве,
55,различных,
56,следственных,B-TERM
57,действий,I-TERM
58,(,
59,осмотр,B-TERM
60,места,I-TERM
61,происшествия,I-TERM
62,",",
63,следственный,B-TERM
64,эксперимент,I-TERM
65,",",
66,предъявление,B-TERM
67,для,I-TERM
68,опознания,I-TERM
69,и,
70,др,
71,.,
72,),
73,",",
74,но,
75,при,
76,этом,
77,способствует,
78,не,
79,только,
80,их,
81,эффективности,
82,",",
83,объективности,
84,",",
85,достоверности,
86,и,
87,наглядности,
88,",",
89,но,
90,и,
91,оперативности,
92,и,
93,экономичности,
92,.,
93,Однако,
94,их,
95,использование,
96,не,
97,лишено,
98,недостатков,
99,.,
100,В,
101,определенной,
102,мере,
103,это,
104,обусловлено,
105,недостатком,
106,методических,B-TERM
107,рекомендаций,I-TERM
108,по,
109,порядку,
110,применения,
111,средств,B-TERM
112,цифровой,I-TERM
113,фиксации,I-TERM
114,и,
115,компьютерной,B-TERM
116,техники,I-TERM
117,при,
118,производстве,B-TERM
119,и,
120,оформлении,B-TERM
121,результатов,I-TERM
122,следственных,B-TERM
123,действий,I-TERM
124,.,
125,Делается,
126,вывод,
127,о,
128,том,
129,",",
130,что,
131,процесс,
132,внедрения,
133,способов,B-TERM
134,и,
135,методов,B-TERM
136,цифровых,B-TERM
137,средств,I-TERM
138,фиксации,I-TERM
139,в,
140,практику,
141,расследования,B-TERM
142,преступлений,I-TERM
143,требует,
144,хорошего,
145,знания,
146,возможностей,
147,и,
148,принципов,
149,работы,
150,цифровых,B-TERM
151,технических,I-TERM
152,средств,I-TERM
153,.,
154,В,
155,условиях,
156,непрерывного,
157,совершенствования,
158,и,
159,внедрения,
160,инноваций,
161,в,
162,криминалистическую,B-TERM
163,технику,I-TERM
164,требуются,
165,более,
166,глубокие,
167,",",
168,специальные,
169,познания,
170,в,
171,их,
172,применении,
173,и,
174,использовании,
175,.,
