id,token,tag,nested_1,nested_2,wiki_id
0,Применение,O,,,
1,модельно,B-TERM,,,"Q6888132:1,2,3,4"
2,-,I-TERM,,,
3,ориентированного,I-TERM,,,
4,проектирования,I-TERM,,,
5,к,O,,,
6,созданию,O,,,
7,АСУ,B-TERM,B-TERM,,"Q787422:7,8"
8,ТП,I-TERM,I-TERM,,
9,опасных,I-TERM,B-TERM,,
10,промышленных,I-TERM,I-TERM,,
11,объектов,I-TERM,I-TERM,,
12,Представлена,O,,,
13,реализация,O,,,
14,подхода,B-TERM,,,Q1799072:14
15,«,O,,,
16,модельно,B-TERM,,,"Q6888132:16,17,18,19"
17,-,I-TERM,,,
18,ориентированного,I-TERM,,,
19,проектирования,I-TERM,,,
20,»,O,,,
21,для,O,,,
22,решения,O,,,
23,задачи,O,,,
24,создания,O,,,
25,автоматизированных,B-TERM,,,"Q787422:25,26,27,28,29"
26,систем,I-TERM,,,
27,управления,I-TERM,,,
28,технологическими,I-TERM,,,
29,процессами,I-TERM,,,
30,(,O,,,
31,АСУ,B-TERM,,,"Q787422:31,32"
32,ТП,I-TERM,,,
33,),O,,,
34,горнодобывающих,B-TERM,,,"Q2990216:34,35"
35,предприятий,I-TERM,,,
36,.,O,,,
37,Подход,B-TERM,,,Q1799072:37
38,«,O,,,
39,модельно,B-TERM,,,"Q6888132:39,40,41,42"
40,-,I-TERM,,,
41,ориентированного,I-TERM,,,
42,проектирования,I-TERM,,,
43,»,O,,,
44,заключается,O,,,
45,в,O,,,
46,организации,O,,,
47,контура,B-TERM,,,
48,тестирования,I-TERM,,,
49,",",O,,,
50,в,O,,,
51,котором,O,,,
52,испытуемый,B-TERM,,,
53,объект,I-TERM,,,
54,функционирует,O,,,
55,в,O,,,
56,среде,B-TERM,,,
57,",",O,,,
58,идентичной,O,,,
59,реальному,B-TERM,,,
60,процессу,I-TERM,,,
61,по,O,,,
62,входным,B-TERM,,,
63,сигналам,I-TERM,,,
64,.,O,,,
65,Подход,B-TERM,,,Q1799072:65
66,основан,O,,,
67,на,O,,,
