id,token,tag,nested_1,nested_2,wiki_id
0,Обзор,O,,,
1,объектно,B-TERM,,,"Q79872:1,2,3,4"
2,-,I-TERM,,,
3,ориентированной,I-TERM,,,
4,парадигмы,I-TERM,,,
5,в,O,,,
6,приложении,O,,,
7,к,O,,,
8,разработке,B-TERM,,,
9,баз,I-TERM,B-TERM,,"Q8513:9,10"
10,данных,I-TERM,I-TERM,,
11,В,O,,,
12,статье,O,,,
13,приводится,O,,,
14,обзор,O,,,
15,проектов,O,,,
16,",",O,,,
17,технологий,O,,,
18,",",O,,,
19,программных,B-TERM,,,"Q40056:19,20"
20,продуктов,I-TERM,,,
21,",",O,,,
22,разрабатываемых,O,,,
23,для,O,,,
24,реализации,O,,,
25,идей,O,,,
26,объектно,B-TERM,,,"Q79872:26,27,28,29"
27,-,I-TERM,,,
28,ориентированного,I-TERM,,,
29,подхода,I-TERM,,,
30,к,O,,,
31,проектированию,B-TERM,,,
32,баз,I-TERM,B-TERM,,"Q8513:32,33"
33,данных,I-TERM,I-TERM,,
34,.,O,,,
35,В,O,,,
36,1980,O,,,
37,-,O,,,
38,е,O,,,
39,гг,O,,,
40,.,O,,,
41,велось,O,,,
42,множество,O,,,
43,проектов,O,,,
44,",",O,,,
45,посвященных,O,,,
46,идее,O,,,
47,ООБД,B-TERM,,,Q118171:47
48,",",O,,,
49,многие,O,,,
50,специалисты,O,,,
51,ожидали,O,,,
52,",",O,,,
53,что,O,,,
54,в,O,,,
55,ближайшее,O,,,
56,время,O,,,
57,реляционные,B-TERM,,,"Q192588:57,58,59"
58,базы,I-TERM,B-TERM,,
59,данных,I-TERM,I-TERM,,
60,будут,O,,,
61,вытеснены,O,,,
62,объектно,B-TERM,,,"Q118171:62,63,64"
63,-,I-TERM,,,
64,ориентированными,I-TERM,,,
65,.,O,,,
66,Несмотря,O,,,
67,на,O,,,
68,впечатляющее,O,,,
69,количество,O,,,
70,проектов,O,,,
71,",",O,,,
72,проводимых,O,,,
73,как,O,,,
74,коллективами,O,,,
75,ученых,O,,,
76,",",O,,,
77,так,O,,,
78,и,O,,,
79,коммерческими,O,,,
80,компаниями,O,,,
81,",",O,,,
82,ориентированными,O,,,
83,на,O,,,
84,практическое,O,,,
85,внедрение,O,,,
86,",",O,,,
87,не,O,,,
88,появилось,O,,,
89,четкой,O,,,
90,формулировки,O,,,
91,объектно,B-TERM,,,
92,-,I-TERM,B-TERM,,
93,ориентированной,I-TERM,I-TERM,,
94,модели,I-TERM,I-TERM,B-TERM,"Q1172480:94,95"
95,данных,I-TERM,I-TERM,I-TERM,
96,",",O,,,
97,каждый,O,,,
98,коллектив,O,,,
99,представлял,O,,,
100,свое,O,,,
101,видение,O,,,
102,применения,O,,,
103,принципов,B-TERM,,,
