id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Локализация,B-TERM,,,,
1,источников,I-TERM,B-TERM,,,
2,активности,I-TERM,I-TERM,B-TERM,,
3,мозга,I-TERM,I-TERM,I-TERM,,
4,на,O,,,,
5,его,O,,,,
6,трехмерной,B-TERM,,,,"Q47034631:6,7"
7,модели,I-TERM,,,,
8,при,O,,,,
9,помощи,O,,,,
10,совместного,B-TERM,,,,
11,анализа,I-TERM,,,,
12,данных,I-TERM,,,,
13,ЭЭГ,I-TERM,B-TERM,,,Q179965:13
14,/,I-TERM,,,,
15,cМРТ,I-TERM,B-TERM,,,
16,Несмотря,O,,,,
17,на,O,,,,
18,большое,O,,,,
19,количество,O,,,,
20,существующих,O,,,,
21,методов,B-TERM,,,,
22,диагностики,I-TERM,,,,
23,головного,I-TERM,B-TERM,,,"Q1073:23,24"
24,мозга,I-TERM,I-TERM,,,
25,",",O,,,,
26,он,O,,,,
27,остается,O,,,,
28,наименее,O,,,,
29,изученной,O,,,,
30,частью,O,,,,
31,человеческого,O,,,,
32,организма,O,,,,
33,.,O,,,,
34,Электроэнцефалография,B-TERM,,,,Q179965:34
35,(,O,,,,
36,ЭЭГ,B-TERM,,,,Q179965:36
37,),O,,,,
38,–,O,,,,
39,один,O,,,,
40,из,O,,,,
41,наиболее,O,,,,
42,популярных,O,,,,
43,методов,B-TERM,,,,
44,исследования,I-TERM,,,,
45,мозговой,I-TERM,B-TERM,,,
46,активности,I-TERM,I-TERM,,,
47,.,O,,,,
48,Это,O,,,,
49,обусловлено,O,,,,
50,относительной,O,,,,
51,дешевизной,O,,,,
52,",",O,,,,
53,безвредностью,O,,,,
54,и,O,,,,
55,мобильностью,O,,,,
56,оборудования,O,,,,
57,.,O,,,,
58,При,O,,,,
59,анализе,B-TERM,,,,
60,данных,I-TERM,,,,
61,ЭЭГ,I-TERM,B-TERM,,,Q179965:61
62,возникает,O,,,,
63,проблема,O,,,,
64,решения,O,,,,
65,обратной,B-TERM,,,,
66,задачи,I-TERM,,,,
67,электроэнцефалографии,I-TERM,B-TERM,,,Q179965:67
68,–,O,,,,
69,локализации,B-TERM,,,,
70,источников,I-TERM,B-TERM,,,
71,электрической,I-TERM,I-TERM,B-TERM,,
72,активности,I-TERM,I-TERM,I-TERM,B-TERM,
73,мозга,I-TERM,I-TERM,I-TERM,I-TERM,
74,.,O,,,,
75,Ее,O,,,,
76,можно,O,,,,
77,сформулировать,O,,,,
78,следующим,O,,,,
79,образом,O,,,,
80,:,O,,,,
81,по,O,,,,
82,сигналам,B-TERM,,,,Q174984:82
83,",",O,,,,
84,регистрируемым,O,,,,
85,на,O,,,,
86,поверхности,B-TERM,,,,
87,головы,I-TERM,,,,
88,",",O,,,,
89,необходимо,O,,,,
90,определить,O,,,,
91,",",O,,,,
92,в,O,,,,
93,какой,O,,,,
94,области,B-TERM,,,,"Q1620186:94,959"
95,мозга,I-TERM,,,,
96,расположены,O,,,,
97,источники,B-TERM,,,,
98,этих,O,,,,
99,сигналов,B-TERM,,,,Q174984:99
100,.,O,,,,
101,Целью,O,,,,
102,исследования,O,,,,
103,является,O,,,,
104,разработка,O,,,,
105,программной,B-TERM,,,,"Q2429814:105,106"
106,системы,I-TERM,,,,
107,для,O,,,,
108,локализации,B-TERM,,,,
109,источников,I-TERM,B-TERM,,,
110,мозговой,I-TERM,I-TERM,B-TERM,,
111,активности,I-TERM,I-TERM,I-TERM,,
112,на,O,,,,
113,основе,O,,,,
114,совместного,B-TERM,,,,
115,анализа,I-TERM,,,,
116,данных,I-TERM,,,,
117,ЭЭГ,I-TERM,B-TERM,,,Q179965:117
118,и,I-TERM,,,,
119,сМРТ,I-TERM,B-TERM,,,
120,.,O,,,,
121,Существуют,O,,,,
122,различные,O,,,,
123,подходы,O,,,,
124,к,O,,,,
125,решению,B-TERM,,,,
126,обратной,I-TERM,,,,
127,задачи,I-TERM,,,,
128,ЭЭГ,I-TERM,B-TERM,,,Q179965:128
129,.,O,,,,
130,Для,O,,,,
131,получения,O,,,,
132,наиболее,O,,,,
133,точных,O,,,,
134,результатов,O,,,,
135,некоторые,O,,,,
136,из,O,,,,
137,них,O,,,,
138,предполагают,O,,,,
139,использование,O,,,,
140,данных,B-TERM,,,,
141,сМРТ,I-TERM,B-TERM,,,
142,(,O,,,,
143,изображений,B-TERM,,,,
144,структурной,I-TERM,B-TERM,,,
145,магнитнорезонансной,I-TERM,I-TERM,,,
146,томографии,I-TERM,I-TERM,,,
147,"),",O,,,,
148,описывающих,O,,,,
149,индивидуальную,O,,,,
150,анатомию,B-TERM,,,,
151,головы,I-TERM,B-TERM,,,"Q3409626:151,152"
152,человека,I-TERM,I-TERM,,,
153,.,O,,,,
154,В,O,,,,
155,этой,O,,,,
156,работе,O,,,,
157,используется,O,,,,
158,один,O,,,,
159,из,O,,,,
160,таких,O,,,,
161,подходов,B-TERM,,,,Q1799072:161
162,–,O,,,,
163,EMSICA,B-TERM,,,,
164,(,O,,,,
165,Electromagnetic,B-TERM,,,,
166,Spatiotemporal,I-TERM,,,,
167,Independent,I-TERM,,,,
168,Component,I-TERM,,,,
169,Analysis,I-TERM,,,,
170,"),",O,,,,
171,предложенный,O,,,,
172,A,O,,,,
173,.,O,,,,
174,Tsai,O,,,,
175,.,O,,,,
176,В,O,,,,
177,статье,O,,,,
178,рассмотрены,O,,,,
179,основные,O,,,,
180,этапы,B-TERM,,,,
181,работы,I-TERM,,,,
182,системы,I-TERM,,,,
183,",",O,,,,
184,такие,O,,,,
185,как,O,,,,
186,предварительная,B-TERM,,,,
187,обработка,I-TERM,,,,
188,исходных,I-TERM,,,,
189,данных,I-TERM,,,,
190,;,O,,,,
191,расчет,B-TERM,,,,
192,специальной,I-TERM,,,,
193,матрицы,I-TERM,,,,
194,подхода,I-TERM,,,,
195,EMSICA,I-TERM,B-TERM,,,
196,",",O,,,,
197,значения,O,,,,
198,которой,O,,,,
199,показывают,O,,,,
200,уровень,B-TERM,,,,
201,активности,I-TERM,,,,
202,определенного,I-TERM,,,,
203,участка,I-TERM,B-TERM,,,"Q1620186:203,204"
204,мозга,I-TERM,I-TERM,,,
205,;,O,,,,
206,визуализация,B-TERM,,,,
207,источников,I-TERM,B-TERM,,,
208,активности,I-TERM,I-TERM,B-TERM,,
209,мозга,I-TERM,I-TERM,I-TERM,,
210,на,O,,,,
211,его,O,,,,
212,трехмерной,B-TERM,,,,"Q47034631:212,213"
213,модели,I-TERM,,,,
214,.,O,,,,
