id,token,tag,nested_1,wiki_id
0,Восстановление,O,,
1,трехмерной,B-TERM,B-TERM,
2,геометрии,I-TERM,I-TERM,
3,сосудов,I-TERM,,
4,по,O,,
5,данным,O,,
6,компьютерной,B-TERM,,"Q32566:6,7"
7,томографии,I-TERM,,
8,Рассматриваются,O,,
9,алгоритмы,B-TERM,,
10,построения,I-TERM,,
11,триангуляции,I-TERM,B-TERM,Q188056:11
12,внутренней,I-TERM,,
13,поверхности,I-TERM,,
14,коронарных,I-TERM,B-TERM,"Q18361829:14,15,16"
15,артерий,I-TERM,I-TERM,
16,сердца,I-TERM,I-TERM,
17,по,O,,
18,данным,O,,
19,компьютерной,B-TERM,,"Q32566:19,20"
20,томографии,I-TERM,,
21,.,O,,
22,Точное,O,,
23,определение,O,,
24,геометрии,B-TERM,,
25,сосудов,I-TERM,,
26,необходимо,O,,
27,для,O,,
28,построения,O,,
29,гидродинамической,B-TERM,,
30,модели,I-TERM,,
31,кровоснабжения,I-TERM,B-TERM,"Q497232:31,32"
32,сердца,I-TERM,I-TERM,
33,и,O,,
34,расчета,O,,
35,параметров,B-TERM,,
36,кровотока,I-TERM,B-TERM,Q4381136:36
37,с,O,,
38,помощью,O,,
39,уравнений,B-TERM,,"Q201321:39,40,41,42"
40,Навье,I-TERM,,
41,–,I-TERM,,
42,Стокса,I-TERM,,
43,.,O,,
44,Для,O,,
45,восстановления,O,,
46,трехмерной,B-TERM,,
47,геометрии,I-TERM,,
48,применяется,O,,
49,комбинация,O,,
50,двух,O,,
51,основных,O,,
52,методов,B-TERM,,Q1799072:52
53,:,O,,
54,трехмерного,B-TERM,,
55,алгоритма,I-TERM,,
56,роста,I-TERM,,
57,области,I-TERM,,
58,из,I-TERM,,
59,семени,I-TERM,,
60,и,O,,
61,ячеечного,B-TERM,,
62,метода,I-TERM,,
63,",",O,,
64,использующего,O,,
65,разбиение,B-TERM,,
66,пространства,I-TERM,,
67,на,O,,
68,тетраэдры,B-TERM,,Q160003:68
69,.,O,,
70,При,O,,
71,этом,O,,
72,используется,O,,
73,тетраэдрическая,B-TERM,,
74,сеть,I-TERM,B-TERM,
75,",",O,,
76,предложенная,O,,
77,в,O,,
78,работах,O,,
79,S,O,,
80,.,O,,
81,Chan,O,,
82,",",O,,
83,E,O,,
84,.,O,,
85,Purisima,O,,
86,(,O,,
87,1998,O,,
88,),O,,
89,и,O,,
90,V,O,,
91,.,O,,
92,Skala,O,,
93,(,O,,
94,2000,O,,
95,"),",O,,
96,в,O,,
97,которой,O,,
98,тетраэдры,B-TERM,,Q160003:98
99,строятся,O,,
100,в,O,,
101,кубической,B-TERM,,"Q473227:101,102"
102,решетке,I-TERM,,
103,на,O,,
104,общих,B-TERM,,
105,гранях,I-TERM,,
106,смежных,B-TERM,,
107,кубов,I-TERM,,
108,.,O,,
109,Эта,O,,
110,сеть,B-TERM,,
111,строится,O,,
112,не,O,,
113,на,O,,
114,всем,O,,
115,пространстве,B-TERM,,Q107:115
116,",",O,,
117,а,O,,
118,только,O,,
119,в,O,,
120,окрестности,B-TERM,,
121,границы,I-TERM,,
122,множества,I-TERM,,
123,вокселей,I-TERM,B-TERM,Q663554:123
124,",",O,,
125,вычисленного,O,,
126,на,O,,
127,первом,O,,
128,этапе,O,,
129,как,O,,
130,результат,O,,
131,применения,O,,
132,трехмерного,B-TERM,,
133,алгоритма,I-TERM,,
134,роста,I-TERM,,
135,области,I-TERM,,
136,.,O,,
