id,token,tag,nested_1,wiki_id
0,Используют,O,,
1,ли,O,,
2,российские,O,,
3,ученые,O,,
4,современные,O,,
5,технологии,B-TERM,,Q11016:5
6,научных,B-TERM,,"Q472328:6,7"
7,коммуникаций,I-TERM,,
8,?,O,,
9,Веб,B-TERM,,
10,-,I-TERM,,
11,технологии,I-TERM,,
12,и,O,,
13,социальные,B-TERM,,"Q3220391:13,14"
14,сети,I-TERM,,
15,качественно,O,,
16,изменили,O,,
17,систему,B-TERM,,
18,научных,I-TERM,B-TERM,"Q472328:18,19"
19,коммуникаций,I-TERM,I-TERM,
20,.,O,,
21,Насколько,O,,
22,успешно,O,,
23,российские,O,,
24,ученые,O,,
25,ими,O,,
26,пользуются,O,,
27,?,O,,
28,Это,O,,
29,исследование,B-TERM,,Q42240:29
30,состоит,O,,
31,из,O,,
32,двух,O,,
33,частей,O,,
34,.,O,,
35,В,O,,
36,первой,O,,
37,были,O,,
38,изучены,O,,
39,персональные,B-TERM,,Q2737701:39
40,сайты,I-TERM,B-TERM,
41,(,O,,
42,при,O,,
43,их,O,,
44,наличии,O,,
45,),O,,
46,действительных,B-TERM,,"Q414528:46,47"
47,членов,I-TERM,,
48,и,O,,
49,членов,B-TERM,,"Q4516936:49,50,51,52,53,54"
50,-,I-TERM,,
51,корреспондентов,I-TERM,,
52,Российской,I-TERM,,
53,академии,I-TERM,,
54,наук,I-TERM,,
55,.,O,,
56,Во,O,,
57,второй,O,,
58,–,O,,
59,степень,B-TERM,,
60,проникновения,I-TERM,,
61,социальной,B-TERM,B-TERM,"Q3220391:61,62"
62,сети,I-TERM,I-TERM,
63,ResearchGate,I-TERM,B-TERM,Q754454:63
64,в,O,,
65,российские,B-TERM,,
66,научные,I-TERM,,
67,организации,I-TERM,,
68,.,O,,
69,Оказалось,O,,
70,",",O,,
71,что,O,,
72,около,O,,
73,половины,O,,
74,выдающихся,O,,
75,ученых,O,,
76,имеют,O,,
77,свой,O,,
78,персональный,B-TERM,,"Q2737701:78,79"
79,сайт,I-TERM,B-TERM,
80,на,O,,
81,русском,O,,
82,языке,O,,
83,",",O,,
84,но,O,,
85,из,O,,
86,них,O,,
87,более,O,,
88,90,O,,
89,%,O,,
90,не,O,,
91,имеют,O,,
92,сайта,B-TERM,,Q35127:92
93,на,O,,
94,английском,O,,
95,.,O,,
96,Также,O,,
97,более,O,,
98,90,O,,
99,%,O,,
100,ученых,O,,
101,не,O,,
102,размещают,O,,
103,на,O,,
104,своих,O,,
105,сайтах,B-TERM,,Q35127:105
106,ссылки,B-TERM,,
107,на,O,,
108,полные,O,,
109,тексты,B-TERM,,
110,статей,I-TERM,,
111,и,O,,
112,не,O,,
113,зарегистрированы,O,,
114,в,O,,
115,ResearchGate,B-TERM,,Q754454:115
116,.,O,,
