id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Автоматический,B-TERM,,,,
1,рефакторинг,I-TERM,B-TERM,B-TERM,,Q116877:1
2,Java,I-TERM,I-TERM,B-TERM,B-TERM,Q251:2
3,-,I-TERM,I-TERM,I-TERM,,
4,кода,I-TERM,I-TERM,I-TERM,,
5,с,O,,,,
6,использованием,O,,,,
7,Stream,B-TERM,,,,
8,API,I-TERM,,,,
9,Долгое,O,,,,
10,время,O,,,,
11,функциональное,B-TERM,,,,"Q193076:11,12"
12,программирование,I-TERM,,,,
13,на,O,,,,
14,Java,B-TERM,,,,Q251:14
15,было,O,,,,
16,невозможно,O,,,,
17,.,O,,,,
18,Однако,O,,,,
19,в,O,,,,
20,8,O,,,,
21,версии,O,,,,
22,Java,B-TERM,B-TERM,,,"Q251:22,23"
23,языке,I-TERM,,,,
24,появились,O,,,,
25,лямбда,B-TERM,,,,"Q567612:25,26,27"
26,-,I-TERM,,,,
27,выражения,I-TERM,,,,
28,.,O,,,,
29,Благодаря,O,,,,
30,поддержке,O,,,,
31,стандартных,O,,,,
32,библиотечных,B-TERM,,,,
33,классов,I-TERM,,,,
34,(,O,,,,
35,Stream,B-TERM,,,,
36,",",O,,,,
37,Optional,B-TERM,,,,
38,и,O,,,,
39,т,O,,,,
40,.,O,,,,
41,д,O,,,,
42,.),O,,,,
43,на,O,,,,
44,Java,B-TERM,,,,Q251:44
45,стало,O,,,,
46,возможно,O,,,,
47,описывать,O,,,,
48,преобразования,B-TERM,,,,
49,над,I-TERM,,,,
50,данными,I-TERM,,,,
51,в,O,,,,
52,функциональном,B-TERM,,,,
53,стиле,I-TERM,,,,
54,.,O,,,,
55,Java,B-TERM,,,,Q251:55
56,-,O,,,,
57,достаточно,O,,,,
58,старый,O,,,,
59,язык,O,,,,
60,",",O,,,,
61,на,O,,,,
62,нем,O,,,,
63,написано,O,,,,
64,большое,O,,,,
65,количество,O,,,,
66,императивного,B-TERM,,,,
67,кода,I-TERM,,,,
68,.,O,,,,
69,Для,O,,,,
70,того,O,,,,
71,",",O,,,,
72,чтобы,O,,,,
73,воспользоваться,O,,,,
74,преимуществами,O,,,,
75,нового,O,,,,
76,подхода,B-TERM,,,,Q1799072:76
77,",",O,,,,
78,требуется,O,,,,
79,выполнить,O,,,,
80,нетривиальный,O,,,,
81,рефакторинг,B-TERM,,,,Q116877:81
82,",",O,,,,
83,что,O,,,,
84,в,O,,,,
85,случае,O,,,,
86,осуществления,O,,,,
87,человеком,O,,,,
88,может,O,,,,
89,быть,O,,,,
90,весьма,O,,,,
91,утомительным,O,,,,
92,",",O,,,,
93,легко,O,,,,
94,совершить,O,,,,
95,ошибку,O,,,,
96,.,O,,,,
97,К,O,,,,
98,счастью,O,,,,
99,",",O,,,,
100,для,O,,,,
101,достаточно,O,,,,
102,большого,O,,,,
103,количества,O,,,,
104,ситуаций,O,,,,
105,данный,O,,,,
106,рефакторинг,B-TERM,,,,Q116877:106
107,можно,O,,,,
108,безопасно,O,,,,
109,осуществить,O,,,,
110,автоматически,O,,,,
111,.,O,,,,
112,На,O,,,,
113,основе,O,,,,
114,IntelliJ,B-TERM,,,,"Q1206660:114,115"
115,Idea,I-TERM,,,,
116,был,O,,,,
117,разработан,O,,,,
118,программный,B-TERM,,,,
119,инструмент,I-TERM,,,,
120,",",O,,,,
121,который,O,,,,
122,позволяет,O,,,,
123,обнаружить,O,,,,
124,места,O,,,,
125,",",O,,,,
126,где,O,,,,
127,возможно,O,,,,
128,автоматическое,O,,,,
129,преобразование,B-TERM,,,,
130,императивного,I-TERM,B-TERM,,,
131,кода,I-TERM,I-TERM,,,
132,в,O,,,,
133,эквивалентный,O,,,,
134,с,O,,,,
135,использованием,O,,,,
136,Stream,B-TERM,,,,
137,API,I-TERM,,,,
138,",",O,,,,
139,а,O,,,,
140,также,O,,,,
141,автоматическое,B-TERM,,,,
142,исправление,I-TERM,,,,
143,",",O,,,,
144,которое,O,,,,
145,позволяет,O,,,,
146,произвести,O,,,,
147,замену,B-TERM,,,,Q23009439:147
148,.,O,,,,
149,Рефакторинг,B-TERM,,,,Q116877:149
150,пользуется,O,,,,
151,средствами,O,,,,
152,IntelliJ,B-TERM,,,,"Q1206660:152,153"
153,Idea,I-TERM,,,,
154,для,O,,,,
155,анализа,B-TERM,,,,Q217602:155
156,Java,B-TERM,B-TERM,,,Q251:156
157,кода,I-TERM,,,,
158,",",O,,,,
159,а,O,,,,
160,также,O,,,,
161,интегрируется,O,,,,
162,в,O,,,,
163,саму,O,,,,
164,IDE,B-TERM,,,,Q13741:164
165,.,O,,,,
166,Одним,O,,,,
167,из,O,,,,
168,основных,O,,,,
169,критериев,B-TERM,,,,
170,корректности,I-TERM,,,,
171,работы,I-TERM,,,,
172,алгоритма,I-TERM,,,,
173,является,O,,,,
174,безопасность,O,,,,
175,данного,O,,,,
176,преобразования,B-TERM,,,,
177,.,O,,,,
178,Пользователь,O,,,,
179,не,O,,,,
180,может,O,,,,
181,доверять,O,,,,
182,инструменту,O,,,,
183,",",O,,,,
184,если,O,,,,
185,преобразование,B-TERM,,,,
186,может,O,,,,
187,изменять,O,,,,
188,семантику,B-TERM,,,,
189,кода,I-TERM,,,,
190,.,O,,,,
191,В,O,,,,
192,данной,O,,,,
193,статье,O,,,,
194,рассматриваются,O,,,,
195,различные,O,,,,
196,ограничения,B-TERM,,,,
197,",",O,,,,
198,которые,O,,,,
199,накладываются,O,,,,
200,на,O,,,,
201,шаблоны,B-TERM,,,,
202,кода,I-TERM,,,,
203,",",O,,,,
204,для,O,,,,
205,того,O,,,,
206,",",O,,,,
207,чтобы,O,,,,
208,преобразование,B-TERM,,,,
209,без,O,,,,
210,искажения,O,,,,
211,семантики,B-TERM,,,,
212,было,O,,,,
213,возможно,O,,,,
214,.,O,,,,
215,Данный,O,,,,
216,рефакторинг,B-TERM,,,,Q116877:216
217,был,O,,,,
218,протестирован,O,,,,
219,на,O,,,,
220,различных,O,,,,
221,библиотеках,B-TERM,,,,Q188860:221
222,",",O,,,,
223,для,O,,,,
224,проверки,O,,,,
225,сохранения,O,,,,
226,семантики,B-TERM,,,,
227,",",O,,,,
228,путем,O,,,,
229,проверки,O,,,,
230,результатов,B-TERM,,,,
231,тестирования,I-TERM,B-TERM,,,Q188522:231
232,до,O,,,,
233,и,O,,,,
234,после,O,,,,
235,применения,O,,,,
236,рефакторинга,B-TERM,,,,Q116877:236
237,.,O,,,,
238,В,O,,,,
239,данной,O,,,,
240,статье,O,,,,
241,не,O,,,,
242,будет,O,,,,
243,обсуждаться,O,,,,
244,влияние,O,,,,
245,использования,O,,,,
246,Stream,B-TERM,,,,
247,API,I-TERM,,,,
248,на,O,,,,
249,производительность,B-TERM,B-TERM,,,Q2111958:249
250,приложения,I-TERM,,,,
251,.,O,,,,
