id,token,tag,nested_1,nested_2,wiki_id
0,Разработка,O,,,
1,сервиса,B-TERM,,,
2,задания,I-TERM,,,
3,сценариев,I-TERM,B-TERM,B-TERM,Q613417:3
4,предъявления,I-TERM,I-TERM,,
5,стимулов,I-TERM,I-TERM,,
6,с,O,,,
7,использованием,O,,,
8,модельно,B-TERM,,,
9,-,I-TERM,,,
10,ориентированного,I-TERM,,,
11,подхода,I-TERM,B-TERM,,
12,Современная,O,,,
13,физиология,B-TERM,,,Q521:13
14,не,O,,,
15,может,O,,,
16,обойтись,O,,,
17,без,O,,,
18,методов,B-TERM,,,
19,количественного,I-TERM,,,
20,анализа,I-TERM,B-TERM,,"Q1988917:20,21"
21,данных,I-TERM,I-TERM,,
22,.,O,,,
23,Необходимым,O,,,
24,условием,O,,,
25,для,O,,,
26,использования,O,,,
27,математической,B-TERM,,,"Q745328:27,28"
28,статистики,I-TERM,,,
29,",",O,,,
30,анализа,B-TERM,,,"Q208163:30,31"
31,сигналов,I-TERM,,,
32,и,O,,,
33,машинного,B-TERM,,,"Q2539:33,34"
34,обучения,I-TERM,,,
35,является,O,,,
36,наличие,O,,,
37,должным,O,,,
38,образом,O,,,
39,собранных,B-TERM,,,
40,",",O,,,
41,размеченных,B-TERM,,,
42,и,O,,,
43,подготовленных,B-TERM,,,
44,данных,I-TERM,,,
45,.,O,,,
46,С,O,,,
47,возможностью,O,,,
48,совместной,B-TERM,,,
49,обработки,I-TERM,B-TERM,,"Q6661985:49,50"
50,данных,I-TERM,I-TERM,,
51,",",O,,,
52,собранных,O,,,
53,в,O,,,
54,разных,O,,,
55,условиях,O,,,
56,и,O,,,
57,в,O,,,
58,рамках,O,,,
59,разных,O,,,
60,протоколов,B-TERM,,,
61,экспериментов,I-TERM,,,
62,",",O,,,
63,появилась,O,,,
64,потребность,O,,,
65,в,O,,,
66,наличии,O,,,
67,структурированной,B-TERM,,,
68,метаинформации,I-TERM,,,
69,.,O,,,
70,В,O,,,
71,настоящее,O,,,
72,время,O,,,
73,существует,O,,,
74,множество,O,,,
75,программных,B-TERM,,,"Q2429814:75,76"
76,систем,I-TERM,B-TERM,,
77,",",O,,,
78,позволяющих,O,,,
79,создавать,O,,,
80,",",O,,,
81,редактировать,O,,,
82,и,O,,,
83,запускать,O,,,
84,сценарии,B-TERM,B-TERM,,Q613417:84
85,представления,I-TERM,,,
86,стимулов,I-TERM,,,
87,.,O,,,
88,Их,O,,,
89,проблемой,O,,,
90,является,O,,,
91,сложность,O,,,
92,использования,O,,,
93,реализованного,O,,,
94,сценария,B-TERM,,,Q613417:94
95,как,O,,,
96,в,O,,,
97,рамках,O,,,
98,других,O,,,
99,систем,B-TERM,,,Q2429814:99
100,",",O,,,
101,так,O,,,
102,и,O,,,
103,для,O,,,
104,аннотирования,B-TERM,,,
105,данных,I-TERM,,,
106,",",O,,,
107,полученных,O,,,
108,экспериментально,O,,,
109,.,O,,,
110,Целью,O,,,
111,работы,O,,,
112,является,O,,,
113,разработка,O,,,
114,сервиса,B-TERM,,,
115,",",O,,,
116,позволяющего,O,,,
117,задавать,O,,,
118,сценарии,B-TERM,,,
119,представления,I-TERM,,,
120,стимулов,I-TERM,,,
121,с,O,,,
122,помощью,O,,,
