id,token,tag,nested_1,nested_2,wiki_id
0,Программная,B-TERM,,,"Q2429814:0,1"
1,система,I-TERM,,,
2,для,O,,,
3,определения,B-TERM,,,
4,речевых,I-TERM,B-TERM,,"Q25481968:4,5"
5,действий,I-TERM,I-TERM,,
6,в,O,,,
7,текстах,B-TERM,,,
8,естественного,I-TERM,,,
9,языка,I-TERM,,,
10,Статья,O,,,
11,посвящена,O,,,
12,разработке,B-TERM,,,
13,методов,I-TERM,B-TERM,,
14,извлечения,I-TERM,I-TERM,,
15,речевых,I-TERM,I-TERM,B-TERM,"Q25481968:15,16"
16,действий,I-TERM,I-TERM,I-TERM,
17,из,O,,,
18,текстов,B-TERM,,,
19,естественного,I-TERM,,,
20,языка,I-TERM,,,
21,.,O,,,
22,В,O,,,
23,настоящее,O,,,
24,время,O,,,
25,одной,O,,,
26,из,O,,,
27,наиболее,O,,,
28,важных,O,,,
29,проблем,B-TERM,,,Q621184:29
30,является,O,,,
31,проблема,B-TERM,,,
32,создания,I-TERM,,,
33,человеко,I-TERM,B-TERM,,"Q1348085:33,34,35,36"
34,-,I-TERM,I-TERM,,
35,машинных,I-TERM,I-TERM,,
36,интерфейсов,I-TERM,I-TERM,,
37,.,O,,,
38,В,O,,,
39,данной,O,,,
40,работе,O,,,
41,рассматривается,O,,,
42,задача,B-TERM,,,
43,построения,I-TERM,,,
44,подобных,O,,,
45,интерфейсов,B-TERM,,,Q1348085:45
46,путем,O,,,
47,автоматизированного,B-TERM,,,
48,извлечения,I-TERM,B-TERM,,
49,речевых,I-TERM,I-TERM,B-TERM,"Q25481968:49,50"
50,действий,I-TERM,I-TERM,I-TERM,
51,из,O,,,
52,текстов,B-TERM,,,
53,естественного,I-TERM,,,
54,языка,I-TERM,,,
55,.,O,,,
56,Использование,O,,,
57,речевых,B-TERM,,,"Q25481968:57,58"
58,действий,I-TERM,,,
59,позволяет,O,,,
60,задавать,O,,,
61,контекст,B-TERM,B-TERM,,Q196626:61
62,диалога,I-TERM,B-TERM,,Q131395:62
63,и,O,,,
64,уточнять,O,,,
65,смысл,B-TERM,,,Q183046:65
66,употребляемых,O,,,
67,понятий,B-TERM,,,Q595523:67
68,.,O,,,
69,По,O,,,
70,результатам,O,,,
71,исследования,B-TERM,,,Q42240:71
72,была,O,,,
73,разработана,O,,,
74,программная,B-TERM,,,"Q2429814:74,75"
75,система,I-TERM,,,
76,",",O,,,
77,которая,O,,,
78,способна,O,,,
79,определять,O,,,
80,типы,B-TERM,,,
81,речевых,I-TERM,B-TERM,,"Q25481968:81,82"
82,действий,I-TERM,I-TERM,,
83,",",O,,,
84,представленных,O,,,
85,в,O,,,
86,текстах,B-TERM,,,
87,естественного,I-TERM,,,
88,языка,I-TERM,,,
89,.,O,,,
90,Одно,O,,,
91,из,O,,,
92,возможных,O,,,
93,применений,O,,,
94,результатов,B-TERM,,,Q2995644:94
95,данного,O,,,
96,исследования,B-TERM,,,Q42240:96
97,заключается,O,,,
98,в,O,,,
99,использовании,O,,,
100,разработанной,O,,,
101,программной,B-TERM,,,"Q2429814:101,102"
102,системы,I-TERM,,,
103,при,O,,,
104,создании,O,,,
105,чат,B-TERM,,,"Q870780:105,106,107"
106,-,I-TERM,,,
107,ботов,I-TERM,,,
108,.,O,,,
