id,token,tag,nested_1,nested_2,wiki_id
0,Код,B-TERM,,,Q128751:0
1,«,O,,,
2,Виртуальный,B-TERM,B-TERM,,
3,планетарий,I-TERM,I-TERM,,
4,»,O,,,
5,для,O,,,
6,моделирования,B-TERM,B-TERM,,
7,астрофизических,I-TERM,B-TERM,,
8,объектов,I-TERM,I-TERM,,
9,:,O,,,
10,математическая,B-TERM,,,"Q486902:10,11"
11,модель,I-TERM,,,
12,",",O,,,
13,методология,B-TERM,,,Q351682:13
14,и,O,,,
15,первые,O,,,
16,результаты,B-TERM,,,Q17104930:16
17,Сложность,O,,,
18,астрофизических,B-TERM,,,"Q15401756:18,19"
19,процессов,I-TERM,,,
20,заключается,O,,,
21,в,O,,,
22,совместном,O,,,
23,рассмотрении,O,,,
24,компонент,O,,,
25,различной,O,,,
26,природы,O,,,
27,.,O,,,
28,Так,O,,,
29,",",O,,,
30,например,O,,,
31,",",O,,,
32,в,O,,,
33,задаче,B-TERM,,,
34,столкновения,I-TERM,,,
35,галактик,I-TERM,,,
36,рассматривается,O,,,
37,трехмерная,B-TERM,B-TERM,,
38,динамика,I-TERM,I-TERM,,
39,межзвездного,I-TERM,B-TERM,,"Q4288711:39,40"
40,газа,I-TERM,I-TERM,,
41,и,O,,,
42,звездной,B-TERM,,,
43,компоненты,I-TERM,,,
44,.,O,,,
45,В,O,,,
46,основе,O,,,
47,моделирования,B-TERM,,,Q1116876:47
48,этих,O,,,
49,компонент,B-TERM,,,
50,могут,O,,,
51,лежать,O,,,
52,совершенно,O,,,
53,разные,O,,,
54,классы,B-TERM,,,
55,численных,I-TERM,B-TERM,,"Q24262840:55,56"
56,методов,I-TERM,I-TERM,B-TERM,
57,.,O,,,
58,Одним,O,,,
59,из,O,,,
60,возможных,O,,,
61,решений,O,,,
62,этой,O,,,
63,проблемы,O,,,
64,является,O,,,
65,использование,O,,,
66,эйлерово,B-TERM,,,
67,-,I-TERM,,,
68,лагранжева,I-TERM,,,
69,подхода,I-TERM,,,
70,",",O,,,
71,в,O,,,
72,котором,O,,,
73,физические,B-TERM,,,"Q107715:73,74"
74,величины,I-TERM,,,
75,сосредоточены,O,,,
76,в,O,,,
77,материальных,B-TERM,,,"Q723931:77,78"
78,точках,I-TERM,,,
79,",",O,,,
80,что,O,,,
81,характерно,O,,,
82,для,O,,,
83,метода,B-TERM,B-TERM,,"Q733073:83,84"
84,SPH,I-TERM,B-TERM,,
85,(,O,,,
86,Smoothed,B-TERM,,,"Q733073:86,87,88"
87,Particle,I-TERM,,,
88,Hydrodynamics,I-TERM,,,
89,"),",O,,,
90,а,O,,,
91,расчет,B-TERM,,,
92,сил,I-TERM,,,
93,производится,O,,,
94,на,O,,,
95,адаптивной,B-TERM,,,
96,сетке,I-TERM,,,
97,",",O,,,
98,привязанной,O,,,
99,к,O,,,
100,системе,B-TERM,,,
101,материальных,I-TERM,B-TERM,,"Q723931:101,102"
102,точек,I-TERM,I-TERM,,
103,.,O,,,
104,Такой,O,,,
105,подход,O,,,
106,единообразно,O,,,
107,учитывает,O,,,
108,как,O,,,
109,динамику,B-TERM,B-TERM,,Q128030:109
110,сплошной,I-TERM,B-TERM,,"Q4437984:110,111"
111,среды,I-TERM,I-TERM,,
112,",",O,,,
113,так,O,,,
114,и,O,,,
115,дискретных,B-TERM,,,
116,частиц,I-TERM,,,
117,",",O,,,
118,а,O,,,
119,также,O,,,
120,позволяет,O,,,
121,устранить,O,,,
122,ряд,O,,,
123,недостатков,O,,,
124,",",O,,,
125,присущих,O,,,
126,оригинальному,O,,,
127,методу,B-TERM,,,Q1799072:127
128,.,O,,,
129,Расчет,B-TERM,,,
130,гравитационного,B-TERM,,,"Q11412:130,131"
131,взаимодействия,I-TERM,,,
132,осуществляется,O,,,
133,путем,O,,,
134,решения,O,,,
135,уравнения,B-TERM,,,"Q827688:135,136"
136,Пуассона,I-TERM,,,
137,для,O,,,
138,гравитационного,B-TERM,,,"Q1544012:138,139"
139,потенциала,I-TERM,,,
140,.,O,,,
141,При,O,,,
142,этом,O,,,
143,все,O,,,
144,частицы,B-TERM,,,Q1621273:144
145,проецируются,O,,,
146,на,O,,,
147,расчетную,B-TERM,,,"Q4418033:147,148"
148,сетку,I-TERM,,,
149,и,O,,,
150,уже,O,,,
151,по,O,,,
152,ней,O,,,
153,вычисляются,O,,,
154,значения,B-TERM,,,
155,потенциала,I-TERM,B-TERM,,Q1544012:155
156,в,O,,,
157,каждой,O,,,
158,ячейке,B-TERM,,,
159,.,O,,,
160,Решение,B-TERM,B-TERM,,
161,уравнения,I-TERM,B-TERM,,"Q827688:161,162"
162,Пуассона,I-TERM,I-TERM,,
163,для,O,,,
164,гравитационного,B-TERM,,,"Q1544012:164,165"
165,потенциала,I-TERM,,,
166,выполняется,O,,,
167,с,O,,,
168,использованием,O,,,
169,быстрого,B-TERM,,,"Q623950:169,170,171"
170,преобразования,I-TERM,,,
171,Фурье,I-TERM,,,
172,.,O,,,
173,В,O,,,
174,статье,O,,,
175,описан,O,,,
176,новый,O,,,
177,код,B-TERM,,,Q128751:177
178,«,O,,,
179,Виртуальный,B-TERM,,,
180,планетарий,I-TERM,,,
181,»,O,,,
182,для,O,,,
183,моделирования,B-TERM,B-TERM,,
184,астрофизических,I-TERM,B-TERM,,
185,объектов,I-TERM,I-TERM,,
186,на,O,,,
187,основе,O,,,
188,метода,B-TERM,B-TERM,,
189,SPH,I-TERM,B-TERM,,
190,",",O,,,
191,дополненным,O,,,
192,методом,B-TERM,B-TERM,,"Q4291826:192,193"
193,Годунова,I-TERM,,,
194,для,O,,,
195,вычисления,B-TERM,B-TERM,,
196,потоков,I-TERM,B-TERM,,
197,давления,I-TERM,I-TERM,,
198,и,O,,,
199,импульса,B-TERM,,,
200,между,I-TERM,,,
201,частицами,I-TERM,B-TERM,,Q1621273:201
202,",",O,,,
203,и,O,,,
204,методом,B-TERM,B-TERM,,"Q623950:204,205,206,207"
205,быстрого,I-TERM,B-TERM,,
206,преобразования,I-TERM,I-TERM,,
207,Фурье,I-TERM,I-TERM,,
208,для,O,,,
209,решения,B-TERM,B-TERM,,
210,уравнения,I-TERM,B-TERM,,"Q827688:210,211"
211,Пуассона,I-TERM,I-TERM,,
212,для,O,,,
213,гравитационного,B-TERM,,,"Q1544012:213,214"
214,потенциала,I-TERM,,,
215,.,O,,,
216,В,O,,,
217,работе,O,,,
218,описано,O,,,
219,обоснование,O,,,
220,для,O,,,
221,перехода,O,,,
222,к,O,,,
223,такой,O,,,
224,вычислительной,B-TERM,,,
225,модели,I-TERM,,,
226,",",O,,,
227,детально,O,,,
228,описаны,O,,,
229,кинетические,B-TERM,B-TERM,,
230,и,I-TERM,,,
231,гидродинамические,I-TERM,B-TERM,,
232,подходы,I-TERM,I-TERM,,
233,.,O,,,
234,Выполнено,O,,,
235,моделирование,B-TERM,B-TERM,,Q1116876:235
236,коллапса,I-TERM,,,
237,изотермического,I-TERM,,,
238,газового,I-TERM,,,
239,облака,I-TERM,,,
240,",",O,,,
241,показана,O,,,
242,возможность,O,,,
243,метода,B-TERM,,,Q1799072:243
244,воспроизводить,O,,,
245,развитие,B-TERM,,,
246,неустойчивостей,I-TERM,,,
247,в,O,,,
248,виде,O,,,
249,образования,O,,,
250,двух,O,,,
251,рукавов,B-TERM,,,
252,плотности,I-TERM,,,
253,.,O,,,
