id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Применение,O,,,,
1,методов,B-TERM,,,,
2,нелинейной,I-TERM,B-TERM,,,"Q660848:2,3"
3,динамики,I-TERM,I-TERM,,,
4,для,O,,,,
5,исследования,O,,,,
6,хаотичности,B-TERM,B-TERM,,,Q76574329:6
7,сигналов,I-TERM,B-TERM,B-TERM,,
8,-,I-TERM,I-TERM,,,
9,переносчиков,I-TERM,I-TERM,,,
10,защищенных,I-TERM,B-TERM,,,
11,систем,I-TERM,I-TERM,,,
12,связи,I-TERM,I-TERM,,,
13,на,O,,,,
14,основе,O,,,,
15,динамического,B-TERM,,,,"Q12100618:15,16"
16,хаоса,I-TERM,,,,
17,Исследуется,O,,,,
18,хаотичность,B-TERM,B-TERM,,,Q76574329:18
19,передаваемых,I-TERM,,,,
20,сигналов,I-TERM,B-TERM,,,Q174984:20
21,защищенных,I-TERM,B-TERM,,,
22,систем,I-TERM,I-TERM,,,
23,связи,I-TERM,I-TERM,,,
24,на,O,,,,
25,основе,O,,,,
26,динамического,B-TERM,,,,"Q12100618:26,27"
27,хаоса,I-TERM,,,,
28,с,O,,,,
29,помощью,O,,,,
30,распространенных,O,,,,
31,методов,B-TERM,,,,
32,нелинейной,I-TERM,B-TERM,,,"Q660848:32,33"
33,динамики,I-TERM,I-TERM,,,
34,(,O,,,,
35,максимальный,B-TERM,,,,
36,показатель,I-TERM,B-TERM,,,"Q1238630:36,37"
37,Ляпунова,I-TERM,I-TERM,,,
38,",",O,,,,
39,показатель,B-TERM,,,,"Q1638718:39,40"
40,Хёрста,I-TERM,,,,
41,и,O,,,,
42,рекуррентные,B-TERM,,,,
43,графики,I-TERM,,,,
44,).,O,,,,
45,В,O,,,,
46,качестве,O,,,,
47,защищенной,B-TERM,,,,
48,системы,I-TERM,,,,
49,связи,I-TERM,,,,
50,на,O,,,,
51,основе,O,,,,
52,динамического,B-TERM,,,,"Q12100618:52,53"
53,хаоса,I-TERM,,,,
54,рассмотрено,O,,,,
55,устройство,B-TERM,,,,
56,имитозащиты,I-TERM,B-TERM,,,Q4200279:56
57,контролируемых,I-TERM,,,,
58,объектов,I-TERM,,,,
59,с,O,,,,
60,повышенной,B-TERM,,,,
61,структурной,I-TERM,B-TERM,,,
62,скрытностью,I-TERM,I-TERM,,,
63,сигналов,I-TERM,I-TERM,B-TERM,B-TERM,
64,-,I-TERM,I-TERM,I-TERM,,
65,переносчиков,I-TERM,I-TERM,I-TERM,,
66,.,O,,,,
67,С,O,,,,
68,помощью,O,,,,
69,методов,B-TERM,,,,
70,нелинейной,I-TERM,B-TERM,,,"Q660848:70,71"
71,динамики,I-TERM,I-TERM,,,
72,",",O,,,,
73,проведено,O,,,,
74,исследование,O,,,,
75,временных,B-TERM,,,,
76,реализаций,I-TERM,,,,
77,передаваемых,O,,,,
78,в,O,,,,
79,канале,B-TERM,,,,"Q733553:79,80"
80,связи,I-TERM,,,,
81,сигналов,B-TERM,,,,Q174984:81
82,",",O,,,,
83,полученных,O,,,,
84,в,O,,,,
85,среде,B-TERM,,,,"Q7433441:85,86"
86,ScicosLab,I-TERM,,,,
87,с,O,,,,
88,помощью,O,,,,
89,рассматриваемого,O,,,,
90,устройства,B-TERM,,,,Q1183543:90
91,.,O,,,,
92,Анализ,B-TERM,,,,Q217602:92
93,полученных,O,,,,
94,данных,O,,,,
95,показывает,O,,,,
96,",",O,,,,
97,что,O,,,,
98,исследуемые,O,,,,
99,сигналы,B-TERM,,,,Q174984:99
100,в,O,,,,
101,целом,O,,,,
102,обладают,O,,,,
103,свойствами,B-TERM,,,,
104,хаотичности,I-TERM,B-TERM,,,Q76574329:104
105,и,O,,,,
106,потенциально,O,,,,
107,могут,O,,,,
108,обеспечить,O,,,,
109,защищенность,B-TERM,,,,
110,передаваемой,O,,,,
111,в,O,,,,
112,беспроводных,B-TERM,,,,
113,каналах,I-TERM,B-TERM,,,"Q733553:113,114"
114,связи,I-TERM,I-TERM,,,
115,информации,B-TERM,,,,Q11028:115
116,от,O,,,,
117,несанкционированного,B-TERM,,,,"Q4317610:117,118"
118,доступа,I-TERM,,,,
119,.,O,,,,
120,Описанный,O,,,,
121,в,O,,,,
122,данной,O,,,,
123,работе,O,,,,
124,подход,B-TERM,,,,
125,к,O,,,,
126,исследованию,O,,,,
127,хаотичности,B-TERM,B-TERM,,,Q76574329:127
128,передаваемых,I-TERM,,,,
129,сигналов,I-TERM,B-TERM,,,Q174984:129
130,",",O,,,,
131,основанный,O,,,,
132,на,O,,,,
133,комплексном,O,,,,
134,применении,O,,,,
135,известного,O,,,,
136,математического,B-TERM,,,,"Q12121859:136,137"
137,аппарата,I-TERM,,,,
138,методов,B-TERM,,,,
139,нелинейной,I-TERM,B-TERM,,,"Q660848:139,140"
140,динамики,I-TERM,I-TERM,,,
141,",",O,,,,
142,потенциально,O,,,,
143,можно,O,,,,
144,применять,O,,,,
145,для,O,,,,
146,исследования,O,,,,
147,хаотичности,B-TERM,B-TERM,,,Q76574329:147
148,передаваемых,I-TERM,,,,
149,сигналов,I-TERM,B-TERM,,,Q174984:149
150,широкого,O,,,,
151,класса,O,,,,
152,систем,B-TERM,,,,
153,защищенной,I-TERM,,,,
154,связи,I-TERM,,,,
155,на,O,,,,
156,основе,O,,,,
157,динамического,B-TERM,,,,"Q12100618:157,158"
158,хаоса,I-TERM,,,,
159,.,O,,,,
