id,token,tag,nested_1,nested_2,wiki_id
0,Методологические,B-TERM,B-TERM,,
1,аспекты,I-TERM,I-TERM,,
2,применения,I-TERM,,,
3,инструментария,I-TERM,,,
4,ГИС,I-TERM,B-TERM,,Q483130:4
5,для,O,,,
6,управления,B-TERM,B-TERM,,
7,трудоустройством,I-TERM,B-TERM,,
8,выпускников,I-TERM,I-TERM,,
9,региональных,I-TERM,I-TERM,,
10,вузов,I-TERM,I-TERM,,
11,Целью,O,,,
12,данного,O,,,
13,исследования,O,,,
14,является,O,,,
15,совершенствование,O,,,
16,механизма,B-TERM,,,
17,трудоустройства,I-TERM,B-TERM,,
18,выпускников,I-TERM,I-TERM,,
19,вузов,I-TERM,I-TERM,,
20,по,O,,,
21,специальностям,O,,,
22,с,O,,,
23,учётом,O,,,
24,нужд,O,,,
25,региона,O,,,
26,с,O,,,
27,использованием,O,,,
28,современных,O,,,
29,компьютерных,B-TERM,,,
30,технологий,I-TERM,,,
31,.,O,,,
32,В,O,,,
33,статье,O,,,
34,рассматриваются,O,,,
35,преимущества,O,,,
36,и,O,,,
37,методологические,B-TERM,B-TERM,,
38,аспекты,I-TERM,I-TERM,,
39,применения,I-TERM,,,
40,инструментария,I-TERM,,,
41,географических,I-TERM,B-TERM,,"Q483130:41,42,43"
42,информационных,I-TERM,I-TERM,,
43,систем,I-TERM,I-TERM,,
44,",",O,,,
45,которые,O,,,
46,являются,O,,,
47,симбиозом,O,,,
48,возможностей,O,,,
49,управления,O,,,
50,большими,O,,,
51,базами,B-TERM,,,"Q483130:51,52"
52,данных,I-TERM,,,
53,и,O,,,
54,пространственной,B-TERM,,,
55,визуализации,I-TERM,,,
56,",",O,,,
57,характерной,O,,,
58,для,O,,,
59,топографических,B-TERM,,,"Q216526:59,60"
60,карт,I-TERM,,,
61,с,O,,,
62,использованием,O,,,
63,QGIS,B-TERM,,,Q1329181:63
64,.,O,,,
65,Каждый,O,,,
66,информационный,B-TERM,,,
67,слой,I-TERM,,,
68,представлен,O,,,
69,таблицей,B-TERM,,,
70,реляционной,I-TERM,B-TERM,,"Q192588:70,71,72"
71,базы,I-TERM,I-TERM,B-TERM,
72,данных,I-TERM,I-TERM,I-TERM,
73,или,O,,,
74,электронной,B-TERM,,,
75,таблицей,I-TERM,,,
76,",",O,,,
77,в,O,,,
78,которых,O,,,
79,имеется,O,,,
80,поле,B-TERM,,,
81,привязки,I-TERM,,,
82,к,I-TERM,,,
83,географическому,I-TERM,B-TERM,,"Q2221906:83,84"
84,местоположению,I-TERM,I-TERM,,
85,",",O,,,
86,что,O,,,
87,позволяет,O,,,
88,разместить,O,,,
89,данные,B-TERM,,,Q494756:89
90,на,O,,,
91,карте,B-TERM,,,Q216526:91
92,.,O,,,
93,Научная,O,,,
94,значимость,O,,,
95,статьи,O,,,
96,обусловлена,O,,,
97,тем,O,,,
98,",",O,,,
99,что,O,,,
100,данная,O,,,
101,технология,B-TERM,,,
102,способствует,O,,,
103,созданию,O,,,
104,единого,B-TERM,,,
105,информационного,I-TERM,B-TERM,,"Q4202250:105,106"
106,пространства,I-TERM,I-TERM,,
107,рынка,I-TERM,,,
108,работодателей,I-TERM,,,
109,по,O,,,
110,востребованным,O,,,
111,специальностям,O,,,
112,",",O,,,
113,а,O,,,
114,также,O,,,
115,активному,O,,,
116,налаживанию,O,,,
117,сотрудничества,O,,,
118,между,O,,,
119,вузами,O,,,
120,и,O,,,
121,работодателями,O,,,
122,с,O,,,
123,целью,O,,,
124,совершенствования,O,,,
125,механизма,B-TERM,,,
126,трудоустройства,I-TERM,B-TERM,,
127,выпускников,I-TERM,I-TERM,,
128,вузов,I-TERM,I-TERM,,
129,на,O,,,
130,основе,O,,,
131,компетентностного,B-TERM,,,
132,подхода,I-TERM,,,
133,.,O,,,
134,Результатом,O,,,
135,исследования,O,,,
136,являются,O,,,
137,методологические,B-TERM,,,
138,аспекты,I-TERM,,,
139,применения,O,,,
140,открытой,B-TERM,,,"Q1329181:140,141,142,143"
141,геоинформационной,I-TERM,B-TERM,,
142,системы,I-TERM,I-TERM,,
143,QGIS,I-TERM,B-TERM,,
144,для,O,,,
145,управления,O,,,
146,трудоустройством,B-TERM,,,
147,молодых,I-TERM,,,
148,специалистов,I-TERM,,,
149,.,O,,,
150,Кроме,O,,,
151,того,O,,,
152,",",O,,,
153,поставлены,O,,,
154,задачи,O,,,
155,для,O,,,
156,перспективного,O,,,
157,развития,O,,,
158,механизма,B-TERM,,,
159,применения,I-TERM,,,
160,геоинформационных,I-TERM,,,
161,технологий,I-TERM,,,
162,в,O,,,
163,трудоустройстве,B-TERM,,,
164,выпускников,I-TERM,,,
165,вузов,I-TERM,,,
166,.,O,,,
