id,token,tag,nested_1,wiki_id
0,Разработка,O,,
1,автоматизированного,B-TERM,,
2,модуля,I-TERM,B-TERM,
3,минерализации,I-TERM,I-TERM,
4,поливной,I-TERM,,
5,воды,I-TERM,,
6,Статья,O,,
7,посвящена,O,,
8,разработке,O,,
9,системы,B-TERM,B-TERM,"Q959968:9,10"
10,управления,I-TERM,I-TERM,
11,фертигацией,I-TERM,B-TERM,Q1408226:11
12,",",O,,
13,которая,O,,
14,позволяет,O,,
15,осуществлять,O,,
16,автоматическую,B-TERM,,
17,подачу,I-TERM,,
18,удобрений,I-TERM,,
19,с,O,,
20,учетом,O,,
21,показателей,B-TERM,,
22,pH,I-TERM,,
23,и,O,,
24,EC,B-TERM,,
25,",",O,,
26,полученных,O,,
27,от,O,,
28,соответствующих,O,,
29,датчиков,B-TERM,,Q167676:29
30,.,O,,
31,Для,O,,
32,решения,O,,
33,этой,O,,
34,задачи,O,,
35,разработан,O,,
36,модуль,B-TERM,,
37,минерализации,I-TERM,,
38,",",O,,
39,состоящий,O,,
40,из,O,,
41,двух,O,,
42,подмодулей,B-TERM,,
43,:,O,,
44,подмодуль,B-TERM,,
45,измерения,I-TERM,,
46,и,O,,
47,регулирования,B-TERM,,
48,pH,I-TERM,B-TERM,Q40936:48
49,и,O,,
50,подмодуль,B-TERM,,
51,измерения,I-TERM,,
52,и,O,,
53,регулирования,B-TERM,,
54,EC,I-TERM,,
55,.,O,,
56,Данные,O,,
57,передаются,O,,
58,микроконтроллеру,B-TERM,,Q165678:58
59,для,O,,
60,дальнейших,O,,
61,действий,O,,
62,по,O,,
63,управлению,O,,
64,системой,B-TERM,,
65,.,O,,
66,В,O,,
67,качестве,O,,
68,системы,B-TERM,B-TERM,
69,принятия,I-TERM,B-TERM,"Q1331926:69,70"
70,решений,I-TERM,I-TERM,
71,в,O,,
72,работе,O,,
73,использована,O,,
74,интеллектуальная,B-TERM,,"Q19616187:74,75"
75,система,I-TERM,B-TERM,
76,на,O,,
77,основе,O,,
78,нечеткой,B-TERM,,"Q224821:78,79"
79,логики,I-TERM,,
80,.,O,,
