id,token,tag,nested_1,wiki_id
0,Разработка,O,,
1,и,O,,
2,реализация,O,,
3,алгоритмов,B-TERM,B-TERM,Q8366:3
4,разрешения,I-TERM,,
5,конфликтов,I-TERM,,
6,по,I-TERM,,
7,доступу,I-TERM,,
8,к,I-TERM,,
9,памяти,I-TERM,,
10,в,O,,
11,динамическом,B-TERM,,
12,компиляторе,I-TERM,B-TERM,Q47506:12
13,Java,I-TERM,B-TERM,Q251:13
14,для,O,,
15,процессора,B-TERM,,Q1466064:15
16,«,O,,
17,Эльбрус,B-TERM,,
18,»,O,,
19,Рассмотрены,O,,
20,особенности,O,,
21,разработки,O,,
22,алгоритмов,B-TERM,B-TERM,Q8366:22
23,разрешения,I-TERM,,
24,конфликтов,I-TERM,,
25,по,I-TERM,,
26,доступу,I-TERM,,
27,к,I-TERM,,
28,памяти,I-TERM,,
29,и,O,,
30,их,O,,
31,реализация,O,,
32,в,O,,
33,динамическом,B-TERM,,
34,компиляторе,I-TERM,B-TERM,Q47506:34
35,Java,I-TERM,B-TERM,Q251:35
36,для,O,,
37,отечественной,O,,
38,платформы,B-TERM,,
39,«,O,,
40,Эльбрус,B-TERM,,
41,».,O,,
42,Эти,O,,
43,алгоритмы,B-TERM,,
44,позволяют,O,,
45,существенно,O,,
46,расширить,O,,
47,возможности,O,,
48,планировщика,B-TERM,,
49,инструкций,I-TERM,,
50,–,O,,
51,ключевой,O,,
52,оптимизации,B-TERM,,
53,VLIW,B-TERM,,"Q249743:53,54,55"
54,-,I-TERM,,
55,процессоров,I-TERM,,
56,.,O,,
57,В,O,,
58,работе,O,,
59,исследуются,O,,
60,статические,B-TERM,,
61,и,O,,
62,динамические,B-TERM,,Q4161791:62
63,подходы,I-TERM,B-TERM,
64,к,O,,
65,анализу,O,,
66,зависимостей,B-TERM,,
67,по,I-TERM,,
68,памяти,I-TERM,,
69,",",O,,
70,и,O,,
71,приводится,O,,
72,сравнение,O,,
73,эффективности,O,,
74,реализованных,O,,
75,алгоритмов,B-TERM,,Q8366:75
76,на,O,,
77,основе,O,,
78,стандартной,O,,
79,тестовой,B-TERM,B-TERM,
80,сюиты,I-TERM,I-TERM,
81,SpecJVM2008,I-TERM,B-TERM,
82,.,O,,
