id,token,tag,nested_1,nested_2,wiki_id
0,Семантический,B-TERM,,,
1,подход,I-TERM,,,
2,к,O,,,
3,моделированию,B-TERM,,,
4,фонда,I-TERM,B-TERM,,
5,оценочных,I-TERM,I-TERM,,
6,средств,I-TERM,I-TERM,,
7,Фонд,B-TERM,,,
8,оценочных,I-TERM,,,
9,средств,I-TERM,,,
10,является,O,,,
11,составной,O,,,
12,частью,O,,,
13,нормативно,B-TERM,B-TERM,,
14,-,I-TERM,I-TERM,,
15,методического,I-TERM,I-TERM,,
16,обеспечения,I-TERM,I-TERM,,
17,системы,I-TERM,B-TERM,,
18,оценки,I-TERM,I-TERM,,
19,качества,I-TERM,I-TERM,,
20,освоения,I-TERM,I-TERM,,
21,студентом,O,,,
22,учебного,B-TERM,,,
23,материала,I-TERM,,,
24,.,O,,,
25,Онтологический,B-TERM,,,
26,подход,I-TERM,,,
27,к,O,,,
28,моделированию,B-TERM,,,
29,фонда,I-TERM,B-TERM,,
30,оценочных,I-TERM,I-TERM,,
31,средств,I-TERM,I-TERM,,
32,позволяет,O,,,
33,формировать,O,,,
34,актуальные,O,,,
35,оценочные,B-TERM,,,
36,документы,I-TERM,,,
37,",",O,,,
38,которые,O,,,
39,учитывают,O,,,
40,не,O,,,
41,только,O,,,
42,всевозможные,O,,,
43,пожелания,O,,,
44,экзаменатора,B-TERM,,,
45,",",O,,,
46,но,O,,,
47,и,O,,,
48,степень,B-TERM,,,
49,усвоения,I-TERM,,,
50,различных,O,,,
51,компетенций,B-TERM,,,Q644238:51
52,и,O,,,
53,степень,B-TERM,,,
54,овладения,I-TERM,,,
55,различными,O,,,
56,профессиональными,B-TERM,,,
57,функциями,I-TERM,,,
58,.,O,,,
59,В,O,,,
60,статье,O,,,
61,приведено,O,,,
62,описание,O,,,
63,онтологии,B-TERM,,,Q324254:63
64,",",O,,,
65,семантической,B-TERM,,,
66,и,O,,,
67,нечеткой,B-TERM,,,
68,моделей,I-TERM,B-TERM,,
69,фонда,I-TERM,I-TERM,B-TERM,
70,оценочных,I-TERM,I-TERM,I-TERM,
71,средств,I-TERM,I-TERM,I-TERM,
72,.,O,,,
73,Описан,O,,,
74,алгоритм,B-TERM,B-TERM,B-TERM,Q8366:74
75,порождения,I-TERM,I-TERM,,
76,шаблона,I-TERM,I-TERM,B-TERM,
77,оценочного,I-TERM,B-TERM,,
78,документа,I-TERM,I-TERM,,
79,",",O,,,
80,состоящий,O,,,
81,из,O,,,
82,трех,O,,,
83,этапов,O,,,
84,:,O,,,
85,сужение,B-TERM,,,
86,",",O,,,
87,ограничение,B-TERM,,,
88,и,O,,,
89,определение,B-TERM,,,
90,.,O,,,
91,На,O,,,
92,каждом,O,,,
93,этапе,O,,,
94,генерируется,O,,,
95,соответствующая,O,,,
96,нечеткая,B-TERM,,,
97,модель,I-TERM,,,
98,",",O,,,
99,в,O,,,
100,рамках,O,,,
101,которой,O,,,
102,проверяется,O,,,
103,непротиворечивость,B-TERM,,,Q1319773:103
104,заданного,O,,,
105,шаблона,B-TERM,,,
106,и,O,,,
107,выполнимость,B-TERM,,,
108,данного,O,,,
109,шаблона,B-TERM,,,
110,на,O,,,
111,имеющейся,O,,,
112,базе,B-TERM,,,
113,оценочных,I-TERM,,,
114,средств,I-TERM,,,
115,.,O,,,
116,Для,O,,,
117,формирования,O,,,
118,комплекта,B-TERM,,,
119,оценочных,I-TERM,,,
120,документов,I-TERM,,,
121,используется,O,,,
122,алгоритм,B-TERM,B-TERM,,Q8366:74
123,CLOPE,I-TERM,B-TERM,,
124,",",O,,,
125,позволяющий,O,,,
126,кластеризовать,O,,,
127,категорийные,B-TERM,,,
128,данные,I-TERM,,,
129,.,O,,,
